metadata,feature,value,coef,stderr,N,N.not.0,pval,qval
Line,4c8288bfbd76958c0c094d87b97650f8,Vil1Cre,4.2490144,0.6559572203,95,40,5.37E-09,1.84E-06
Type,bbf6f74f140636ff3f33ef2bc3d892a3,Mucosal,-0.6592816594,0.09730149628,95,66,2.05E-08,3.51E-06
Line,fbbeae3dceada6928b2cdc472f5d9901,Vil1Cre,4.456859491,0.6727761471,95,35,5.28E-08,6.04E-06
Type,3bffd5a2b1cf48b46d1e51628c3551fc,Mucosal,-0.8479422505,0.1399788404,95,34,2.26E-07,1.29E-05
Type,ad4e760fa406db6470c29766422a47d2,Mucosal,-0.8586391703,0.1392703501,95,82,1.52E-07,1.29E-05
Type,17bccd87573679acdd1eda74fc49bde7,Mucosal,0.6388902049,0.1048201466,95,84,1.99E-07,1.29E-05
Type,87ab9c664033e00f6b64f2afc71a6d90,Mucosal,-0.6261232697,0.1126341578,95,17,1.26E-06,6.19E-05
Line,ad4e760fa406db6470c29766422a47d2,JJWT,-2.662445856,0.4781094859,95,82,1.65E-06,7.06E-05
Type,4c8288bfbd76958c0c094d87b97650f8,Mucosal,2.146867343,0.4477626873,95,40,6.67E-06,0.000208131791
Sequencing_Run,6f0b4058c92e83c77533a218739a0e38,NovaSeq_Jan_Twenty,3.130416906,0.6049191031,95,18,5.79E-06,0.000208131791
Line,6f0b4058c92e83c77533a218739a0e38,Vil1Cre,2.333545821,0.4512771759,95,18,6.50E-06,0.000208131791
Sequencing_Run,6f06d4c3412c12274598b1a4bc468d3a,NovaSeq_Jan_Twenty,3.666381173,0.7902395565,95,10,1.22E-05,0.0003498201426
Line,89c209abd89a5232343a4c87c93cb4ea,JJWT,-4.195740362,0.8516668046,95,15,1.37E-05,0.0003611751821
Line,6f06d4c3412c12274598b1a4bc468d3a,JJWT,-4.579438848,0.9994792669,95,10,1.53E-05,0.0003747982737
Type,6d5171bbc6ef97262119e6d152d82164,Mucosal,1.266960934,0.2914651726,95,37,7.46E-05,0.001598328483
Type,178d4eb06bd14fca2d3c300f9f05e384,Mucosal,0.5456297627,0.1250169918,95,88,7.02E-05,0.001598328483
Sequencing_Run,89c209abd89a5232343a4c87c93cb4ea,NovaSeq_Jan_Twenty,2.757726532,0.6718864274,95,15,0.0001798821108,0.003629386117
Type,6f06d4c3412c12274598b1a4bc468d3a,Mucosal,1.562616463,0.4012658514,95,10,0.0001927823553,0.003673574881
Line,6d5171bbc6ef97262119e6d152d82164,JJWT,-3.589975362,0.8892284047,95,37,0.0002274453532,0.003900687808
Type,48082d1ff66a9207ede6bf05e9846d6e,Mucosal,-0.4899750184,0.1224905224,95,93,0.0002268657704,0.003900687808
Type,204736c3bd4a4c1f840e9fc99a5155d2,Mucosal,0.5880134227,0.151164023,95,69,0.0003175947312,0.005187380609
Sequencing_Run,6f0b4058c92e83c77533a218739a0e38,NovaSeq_Mar_Twenty,4.043937825,1.071822576,95,18,0.0005059816518,0.007888713934
Type,a172874a13d3e6df1391f0797d95d6bc,Mucosal,-0.3955065431,0.1071519704,95,61,0.0005858312043,0.008736526221
Line,6f0b4058c92e83c77533a218739a0e38,JJWT,-2.795342903,0.7660124241,95,18,0.0007226096345,0.01032729603
Line,c8433912bf1d2d7d9dd177739211ae41,JJWT,-2.046628312,0.5658806167,95,73,0.0007960651284,0.01092201356
Type,c8433912bf1d2d7d9dd177739211ae41,Mucosal,-0.5238246239,0.1505045021,95,73,0.001095973363,0.01445841783
Line,fbbeae3dceada6928b2cdc472f5d9901,JJWT,3.899194959,1.137376556,95,35,0.001371706006,0.01742574667
Line,ad4e760fa406db6470c29766422a47d2,Vil1Cre,-0.9523065007,0.2822914298,95,82,0.001624942774,0.01990554898
Line,b3111baca54677926264de26b4a9bf7a,LyzCre,1.561615333,0.485070518,95,68,0.002548075859,0.03013758689
Line,a5641950b2a3a47827849d91242f0ead,Vil1Cre,-0.8034635228,0.2512863034,95,92,0.002707604737,0.03095694749
Line,762fd96b2d1336974fba68fedd33fefa,JJWT,2.358673674,0.7510636355,95,80,0.003100651613,0.03128010304
Line,2e11ee45d4ccab0775222da825d3bd42,Vil1Cre,-1.0317127,0.327543183,95,91,0.003025105511,0.03128010304
Line,5b74065cc4963be8f6447b2c9ffcbc87,JJWT,4.46020194,1.419668388,95,29,0.003081040176,0.03128010304
Type,5167710b7280856d9e512a4f58068687,Mucosal,0.5925814354,0.1890995899,95,17,0.002994209728,0.03128010304
Line,eee9bab26577ab7978a3c7bb4a082922,LyzCre,-1.983182399,0.6505992982,95,24,0.004046202475,0.03965278425
Line,f9130f059b9380b9961aef118b3a529e,Vil1Cre,-0.6231306267,0.2058630476,95,91,0.004267239119,0.04065730605
Type,772ad2feb9f19ddeace71e8e2e707858,Mucosal,-0.4252875443,0.1422698466,95,94,0.004471737233,0.04101621952
Sex,eee9bab26577ab7978a3c7bb4a082922,Male,1.298519851,0.4366911378,95,24,0.004544070968,0.04101621952
Line,6d5171bbc6ef97262119e6d152d82164,Vil1Cre,-1.561088127,0.5243511182,95,37,0.004888192786,0.04299102886
Type,5ae5ad642b9c2cc68c4fc59e4902ff63,Mucosal,-0.4012321457,0.1378674466,95,91,0.005569112611,0.04775514064
Sequencing_Run,762fd96b2d1336974fba68fedd33fefa,NovaSeq_Jan_Twenty,-1.706321086,0.5903546028,95,80,0.006043044134,0.05055522288
Line,64864a4b76fc5cccc00f4e44f8dbcff4,Vil1Cre,-0.7900964514,0.2754206716,95,92,0.006449976266,0.05267480618
Line,17bccd87573679acdd1eda74fc49bde7,Vil1Cre,-0.7001314073,0.2476092323,95,84,0.007209358693,0.05750721004
Sequencing_Run,6d5171bbc6ef97262119e6d152d82164,NovaSeq_Jan_Twenty,1.95477942,0.7017133351,95,37,0.007958120774,0.05972099144
Line,7186c67c129c329bce7d6c988267b231,Vil1Cre,-0.5559563521,0.1991501933,95,43,0.008009229173,0.05972099144
Line,772ad2feb9f19ddeace71e8e2e707858,Vil1Cre,-0.9851113018,0.3523258731,95,94,0.00785392363,0.05972099144
Sequencing_Run,4c8288bfbd76958c0c094d87b97650f8,NovaSeq_Jan_Twenty,2.350313213,0.8818088711,95,40,0.00916719745,0.06690103671
Sequencing_Run,89c209abd89a5232343a4c87c93cb4ea,NovaSeq_Mar_Twenty,3.133760504,1.192347227,95,15,0.01199384193,0.08570599544
Line,49e9cee41713f4c00f8b171ecaff09b5,Vil1Cre,-0.6995497693,0.2729068866,95,69,0.01414497298,0.09901481087
Line,a589fa026973c67d0f1c7b741d85b90c,Vil1Cre,-0.713105243,0.2851942228,95,95,0.01651141053,0.1022523228
Line,235c319ab46f87d377a28a34ba10bfa1,Vil1Cre,0.8788834102,0.3477162061,95,93,0.01538345929,0.1022523228
Line,89c209abd89a5232343a4c87c93cb4ea,LyzCre,-1.354636519,0.5395725934,95,15,0.01613799419,0.1022523228
Line,b3111baca54677926264de26b4a9bf7a,JJWT,1.925064633,0.7605803491,95,68,0.01532019806,0.1022523228
Line,292a57429f3bed0adc53c07dc4c62c9f,JJWT,-1.797873646,0.7205846856,95,76,0.016693653,0.1022523228
Line,bbf6f74f140636ff3f33ef2bc3d892a3,JJWT,2.112600792,0.8466681534,95,66,0.01669425679,0.1022523228
Line,37e0f2e7c7ab2a2f738b92a61085aec0,Vil1Cre,-0.8039520417,0.3199136065,95,78,0.01600795072,0.1022523228
Type,eee9bab26577ab7978a3c7bb4a082922,Mucosal,-0.487286863,0.2010514722,95,24,0.01935347846,0.1164604055
Line,c8433912bf1d2d7d9dd177739211ae41,Vil1Cre,-0.808314179,0.3343995335,95,73,0.02015560575,0.1191960823
Sequencing_Run,c8433912bf1d2d7d9dd177739211ae41,NovaSeq_Jan_Twenty,1.067877103,0.4456660912,95,73,0.02102995364,0.122258883
Sequencing_Run,6d5171bbc6ef97262119e6d152d82164,NovaSeq_Mar_Twenty,2.974377573,1.244752026,95,37,0.02153850761,0.1231284685
Type,7186c67c129c329bce7d6c988267b231,Mucosal,-0.2913504912,0.1244548251,95,43,0.02362068856,0.1328179701
Line,c42634f8d1aad4956aa9638465e86565,JJWT,-2.322727829,1.005362629,95,93,0.02589933501,0.143281805
Type,292a57429f3bed0adc53c07dc4c62c9f,Mucosal,0.3261388215,0.143173804,95,76,0.02742905875,0.1470026117
Line,1e65ef9ba16ebcd3b8413c31e58cada1,Vil1Cre,-0.8261605214,0.3602764149,95,83,0.02703204656,0.1470026117
Type,6f0b4058c92e83c77533a218739a0e38,Mucosal,0.610704971,0.2708824025,95,18,0.02887154589,0.1500445491
Sequencing_Run,5167710b7280856d9e512a4f58068687,NovaSeq_Jan_Twenty,-1.261540249,0.5569197613,95,17,0.02869465187,0.1500445491
Type,235c319ab46f87d377a28a34ba10bfa1,Mucosal,-0.2317026186,0.1035740321,95,93,0.03014028294,0.1520311331
Type,87c1f25ee57f851893eda4c10a460604,Mucosal,0.5499493045,0.24556053,95,73,0.03000113668,0.1520311331
Sequencing_Run,6f06d4c3412c12274598b1a4bc468d3a,NovaSeq_Mar_Twenty,3.047304196,1.397378346,95,10,0.03190225249,0.1542519033
Type,37e0f2e7c7ab2a2f738b92a61085aec0,Mucosal,-0.2198150088,0.09932890207,95,78,0.03192969427,0.1542519033
Sequencing_Run,eee9bab26577ab7978a3c7bb4a082922,NovaSeq_Mar_Twenty,-3.192232053,1.43034294,95,24,0.03109592272,0.1542519033
Type,f5fb42e8863737981eb6e04a3de22e29,Mucosal,-0.2421938588,0.1112069302,95,95,0.03452451695,0.161966907
Sequencing_Run,5167710b7280856d9e512a4f58068687,NovaSeq_Mar_Twenty,-2.161070681,0.9906339314,95,17,0.0349090499,0.161966907
Line,07a0081d4bc5233563d0269fc2c734d0,Vil1Cre,-0.759964917,0.3478203172,95,10,0.03494329772,0.161966907
Sequencing_Run,b3111baca54677926264de26b4a9bf7a,NovaSeq_Jan_Twenty,-1.282521441,0.5969113962,95,68,0.03752941018,0.1686527222
Type,1e65ef9ba16ebcd3b8413c31e58cada1,Mucosal,0.3445279846,0.1611553513,95,83,0.03780292263,0.1686527222
Line,46864a6aa122ecb439eb59a3c0542ee6,Vil1Cre,-0.5596010731,0.2608276812,95,88,0.03786081519,0.1686527222
Sequencing_Run,9ff8565480eb4d1ae1feec02a0dfce35,NovaSeq_Mar_Twenty,4.752613883,2.235041216,95,75,0.03938359851,0.1731868499
Type,49e9cee41713f4c00f8b171ecaff09b5,Mucosal,-0.2879544811,0.1364784864,95,69,0.04026465586,0.1748199615
Line,f745d265f36ea7eac26d97280e690796,LyzCre,-1.452418346,0.6892852161,95,16,0.04126148191,0.1769086037
Sequencing_Run,b3111baca54677926264de26b4a9bf7a,NovaSeq_Mar_Twenty,-2.198206238,1.065476903,95,68,0.04545308155,0.1924741602
Line,3bffd5a2b1cf48b46d1e51628c3551fc,JJWT,-1.291848455,0.6319056154,95,34,0.04724258531,0.1973976648
Sequencing_Run,bbf6f74f140636ff3f33ef2bc3d892a3,NovaSeq_Jan_Twenty,-1.344409613,0.6611650107,95,66,0.04834228525,0.1973976648
