metadata	feature	value	coef	stderr	N	N.not.0	pval	qval
Site	a2afdab2db82e62d5de07d2f29111f10	Cecum	-0.362756896101762	0.0305167753867781	141	102	5.0151567446847e-20	6.49964314111137e-17
Site	efe64b2cd066392c8b5379c583817500	Cecum	-0.43724807241904	0.0408695975036501	141	87	1.8350881705026e-17	1.18913713448569e-14
Site	X9c6efccec7649fddce7cb4c0b868559f	Cecum	-0.437115441863256	0.0413684923636901	141	88	3.82513101184326e-17	1.65245659711629e-14
Site	dcd0c235615b718f89bb8cc76b5a627f	Cecum	-0.277866117320997	0.0270888117091758	141	132	7.96293974008463e-17	2.57999247578742e-14
Site	X49d5e983bbc870059084d932fb344b75	Cecum	-0.519403972899435	0.0546819564944258	141	72	9.13780504131325e-15	2.36851906670839e-12
Site	X7cd17d18c05e35c6001cc253ac15c517	Cecum	-0.0771834194445429	0.00852936448730729	141	141	2.28719672854921e-14	4.9403449336663e-12
Site	X55b5e18dcec6eaff69b53b2c4cbb0a16	Cecum	-0.133906052258277	0.0152056916741471	141	140	7.4098225934259e-14	1.37187572586857e-11
Site	X8064a19ea488e28609ef25daab20653e	Cecum	-0.419508033456098	0.0516258457501894	141	97	3.09025754589744e-12	5.00621722435386e-10
Site	X48082d1ff66a9207ede6bf05e9846d6e	Cecum	-0.0591345456195172	0.00738895439287812	141	141	3.54802564627535e-12	5.10915693063651e-10
Site	X0247032b5537cfe290e9fe3067f9257e	Cecum	-0.0755369565048238	0.0103876864676734	141	137	1.3234274275423e-10	1.70897211495953e-08
Site	a0f4041ccc6a3b1f6512919ebe00613d	Cecum	-0.160008948989879	0.0220358786962406	141	131	1.45051645559837e-10	1.70897211495953e-08
Site	f5fb42e8863737981eb6e04a3de22e29	Cecum	0.0967452129465695	0.0134623256846349	141	140	1.76992628854998e-10	1.91152039163397e-08
Site	X759abfc82a4b189214d7e148d4aef180	Cecum	-0.099535744426275	0.0140844982440063	141	140	2.98216236271555e-10	2.97298647852257e-08
Site	X1b20077c579ec346099b958af37ff02d	Cecum	0.343445221947909	0.0469891593477546	141	63	4.93682715631e-10	4.5700914246984e-08
Site	a2afdab2db82e62d5de07d2f29111f10	Proximal_Colon	-0.206431085374117	0.0303960446297717	141	102	1.28893111774543e-09	1.11363648573205e-07
Site	X2f65298490e0fe48b880145471ec54eb	Cecum	-0.0546438648899782	0.00828017261558118	141	141	2.59159592058948e-09	1.86594906282443e-07
Site	e78a270ccd8d01d326e840cd85e1c1e2	Cecum	-0.0771484878340488	0.0116159266806816	141	139	2.50456719572823e-09	1.86594906282443e-07
Site	b3703a2157a018a94473b0861589dde0	Cecum	-0.0493813496571436	0.00741442231208381	141	138	2.32198076248377e-09	1.86594906282443e-07
Site	efe64b2cd066392c8b5379c583817500	Proximal_Colon	-0.25781354457784	0.0403399929131457	141	87	9.15605774872317e-09	6.2453951801817e-07
Site	X44166d043ae4422d941e1e4c779151f8	Cecum	-0.125425613990525	0.0208089410041561	141	138	3.56637227069991e-08	2.31100923141354e-06
Site	X65553cd263bb61cf36d1a75d750952f3	Cecum	-0.132239972020913	0.0224295058669339	141	136	6.32804289474101e-08	3.90530647218302e-06
Site	d013db1a71d477496cb864ee431c3420	Cecum	-0.0539727947357264	0.00935479939152845	141	141	1.05975763238414e-07	6.24293587077205e-06
Site	a93ecb34623d57ce5a83ac109551229b	Cecum	0.142999496751984	0.0251987545465998	141	130	1.70993319521969e-07	9.63510183045527e-06
Site	X0789b8bf342cad7160cfe6e2e074f034	Cecum	0.529132906198061	0.0905474756646604	141	22	1.90864634312662e-07	1.03066902528837e-05
Site	X55b5e18dcec6eaff69b53b2c4cbb0a16	Proximal_Colon	-0.0852811918804047	0.0152056916741471	141	140	2.12788380890431e-07	1.10309496653599e-05
Sequencing_Run	X0d193515752095f48f18055431a650f0	NovaSeq_Jan_Twenty	-0.351294982510631	0.0585058813319542	141	115	4.024180386341e-07	2.00589914642228e-05
Site	ae7aa9c977dea18de5954b3f29c80278	Cecum	0.138656581034012	0.0240865017046831	141	77	4.50499442207295e-07	2.08516884678805e-05
Site	X84a1034f71767fa92491aebf1bdf7fdc	Cecum	0.157275558153418	0.0286962665286717	141	118	4.40477064516373e-07	2.08516884678805e-05
Site	f80a7e9c950f857ec31ac4d0cc9c6a03	Cecum	-0.113612426072096	0.021428781585905	141	129	8.11671494971423e-07	3.62733192235505e-05
Site	X0247032b5537cfe290e9fe3067f9257e	Proximal_Colon	-0.0544245348364938	0.0103122176397667	141	137	9.20776806000247e-07	3.97775580192107e-05
Site	X48fe77b828ac410d9e0effc44fbeb57e	Cecum	0.214109144374427	0.0405055525205786	141	75	1.05750180114934e-06	4.42103978803081e-05
Site	X1b20077c579ec346099b958af37ff02d	Proximal_Colon	0.249095615174037	0.0465072061238758	141	63	1.20076618702092e-06	4.86310305743471e-05
Site	X4a82bd4ce156dbdc137b21a1d7e75f93	Cecum	-0.299568649351106	0.0572929604452995	141	57	1.25113180694227e-06	4.91353582362782e-05
Site	X2580cbc77481600b1be7553a25c35a83	Proximal_Colon	0.205722410455339	0.0389056204343583	141	82	1.64119163441223e-06	6.2558363476419e-05
Site	X0daddf1b0a2e7ae6c3add7261ca7b510	Cecum	0.0774482966442716	0.0152373434018741	141	136	2.02752887919986e-06	7.50764979269435e-05
Site	X7186c67c129c329bce7d6c988267b231	Cecum	0.383067307645424	0.0766282934325561	141	45	2.12421132191219e-06	7.64716075888387e-05
Site	X7cd17d18c05e35c6001cc253ac15c517	Proximal_Colon	-0.0430196317063908	0.00852936448730729	141	141	2.28309728003021e-06	7.78656335505039e-05
Site	ad23727bc3e6dc84a4c52399fe4f0d39	Cecum	-0.0468758489825424	0.0092694668226819	141	140	2.24139848154189e-06	7.78656335505039e-05
Site	e78a270ccd8d01d326e840cd85e1c1e2	Proximal_Colon	-0.0584823099432207	0.0115953418980046	141	139	2.42234495982758e-06	8.04963863573473e-05
Site	X2e11ee45d4ccab0775222da825d3bd42	Cecum	0.199305146220091	0.0388146148570242	141	90	2.65542433291938e-06	8.6035748386588e-05
Site	X9e39af3708ad41aca6e8d5ab47b4efa2	Cecum	0.371778622853842	0.0696430254285142	141	50	3.31249346518788e-06	0.000104707110509353
Site	X298c6e520261d927af2fb9e7c1e4cebc	Cecum	-0.071277470051358	0.0144607671791915	141	141	3.6411052316235e-06	0.000107535945970818
Site	b3703a2157a018a94473b0861589dde0	Proximal_Colon	-0.0366737650678142	0.00741442231208381	141	138	3.6277017434984e-06	0.000107535945970818
Site	a8bb13e9e2b548216ed9a9619c1767a0	Cecum	0.529825413770793	0.102736596849237	141	18	3.65091174592283e-06	0.000107535945970818
Site	e8ed0e081283c5963ce9860944f651c6	Proximal_Colon	0.142328586468081	0.0289936924022927	141	106	4.6373270310903e-06	0.000131615923916688
Site	X49d5e983bbc870059084d932fb344b75	Proximal_Colon	-0.256740177727619	0.0521725940044036	141	72	4.77310835191693e-06	0.000131615923916688
Site	X9e39af3708ad41aca6e8d5ab47b4efa2	Proximal_Colon	0.365169646628295	0.0693628294659415	141	50	4.68449886374931e-06	0.000131615923916688
Site	X861fb4882b4c65b68e5998bb89ad59e8	Cecum	-0.208489358461584	0.0429375577532291	141	86	5.54597894821371e-06	0.00014974143160177
