metadata	feature	value	coef	stderr	N	N.not.0	pval	qval
Line	X5adc2daa2981bc07e21b14d53496ff67	Vil1Cre	-2.95182557712576	0.373747626899844	137	68	1.99793056037634e-09	3.16616316666583e-06
Line	X72cb656da17f65d184d9186ee5260f53	Vil1Cre	-3.97044001655501	0.524697185438377	137	63	3.17887868139139e-09	3.16616316666583e-06
Sequencing_Run	X6f0b4058c92e83c77533a218739a0e38	NovaSeq_Jan_Twenty	2.83487925288485	0.431682084437824	137	43	7.60870127775901e-08	5.05217764843198e-05
Line	fbbeae3dceada6928b2cdc472f5d9901	Vil1Cre	4.51254009417836	0.717681432822299	137	67	1.88673232551908e-07	9.39592698108504e-05
Site	X6d5171bbc6ef97262119e6d152d82164	Ileum	1.58911331955889	0.302735654603383	137	100	1.03688454283344e-06	0.000413094801864841
Sequencing_Run	X6f0b4058c92e83c77533a218739a0e38	NovaSeq_Mar_Twenty	4.28780631855394	0.766146482327152	137	43	1.40650791309491e-06	0.000466960627147511
Line	X772ad2feb9f19ddeace71e8e2e707858	Vil1Cre	-3.34566355438568	0.62542770061021	137	51	3.97415114359961e-06	0.00113092986829292
Site	X2f65298490e0fe48b880145471ec54eb	Jejunum	0.74727643619964	0.15476989344727	137	137	5.71070359641268e-06	0.00142196519550676
Site	X332d720adc8e107df05b716fd88b601c	Jejunum	-1.24069017653315	0.266499645506675	137	123	1.12559506661971e-05	0.00249131708078495
Line	c50f108c7f26f34cb8226f54985908be	Vil1Cre	-3.82703332159809	0.775450140266713	137	58	1.45992498847952e-05	0.00290817057705121
Sequencing_Run	X96c7cedbae877361d087a8b39206d408	NovaSeq_Jan_Twenty	1.80437020251077	0.368323404794683	137	29	1.66143113126504e-05	0.00300870073952723
Line	e8ed0e081283c5963ce9860944f651c6	Vil1Cre	1.63358395327254	0.337898194661893	137	80	2.06347908395896e-05	0.00342537527937187
Line	X234b63e9a181c1a4a2abf89444577cef	JJWT	-4.3112915921789	0.902432836069981	137	53	2.43311104705133e-05	0.00372827477363557
Line	e6b0f68e8f6db48ea780944a44ac99a1	Vil1Cre	1.39077414617448	0.293353268449969	137	79	2.89184037554334e-05	0.00411467573434453
Line	X9b5ce504ace88223f14f8b0848d1b054	LyzCre	-3.90546490436108	0.848974541966813	137	133	4.21481888441131e-05	0.00524744951109208
Site	X332d720adc8e107df05b716fd88b601c	Ileum	-1.16054716629042	0.268289795287693	137	123	3.95341462428438e-05	0.00524744951109208
