metadata,feature,value,coef,stderr,N,N.not.0,pval,qval
Type,4c8288bfbd76958c0c094d87b97650f8,Mucosal,3.733578013,0.413643728,91,70,5.79E-14,9.85E-11
Type,c42634f8d1aad4956aa9638465e86565,Mucosal,-1.835971315,0.2061180346,91,91,2.25E-11,1.92E-08
Type,3bffd5a2b1cf48b46d1e51628c3551fc,Mucosal,-1.491730753,0.1850527856,91,78,3.13E-10,1.77E-07
Type,a93ecb34623d57ce5a83ac109551229b,Mucosal,-1.513926203,0.2000542593,91,84,1.81E-09,7.71E-07
Type,f5fb42e8863737981eb6e04a3de22e29,Mucosal,-1.408218683,0.2003498988,91,89,8.20E-09,2.79E-06
Type,b3ef12a80d40902556c2fd4de5924438,Mucosal,-1.398870141,0.2031343538,91,42,1.44E-08,4.08E-06
Type,fc7e77e237e910e3f38dbb8e3c69c5bd,Mucosal,-1.690289831,0.2561619626,91,63,3.98E-08,9.67E-06
Type,6d5171bbc6ef97262119e6d152d82164,Mucosal,1.988676871,0.3395625176,91,69,5.21E-07,8.86E-05
Type,9bc2935704d00be01387e4b91d0ec358,Mucosal,-1.165436197,0.1974965745,91,37,4.88E-07,8.86E-05
Type,a30dd65fa0f17c9ffe88b70cc66d024b,Mucosal,-1.008083806,0.1713914136,91,35,4.57E-07,8.86E-05
Line,89c209abd89a5232343a4c87c93cb4ea,JJWT,-5.531022664,0.9639949319,91,78,9.12E-07,0.0001292083016
Type,048a59d179f89089b6e3a2d50f389e94,Mucosal,-0.8307914176,0.1452141162,91,65,8.69E-07,0.0001292083016
Line,772ad2feb9f19ddeace71e8e2e707858,Vil1Cre,-2.969570777,0.5184807524,91,37,1.00E-06,0.0001312129236
Type,7cd17d18c05e35c6001cc253ac15c517,Mucosal,-1.108512823,0.2030258306,91,86,1.95E-06,0.0002211327683
Type,028e2c1b650e2e2b5847154a153e0166,Mucosal,1.622271873,0.2981229266,91,48,1.90E-06,0.0002211327683
Type,832fb872172e67da702355444f34bc1c,Mucosal,-0.8259242589,0.1629445455,91,22,2.39E-06,0.000254207851
Type,f80a7e9c950f857ec31ac4d0cc9c6a03,Mucosal,-0.8810773574,0.16411798,91,80,2.76E-06,0.0002603863484
Type,17bccd87573679acdd1eda74fc49bde7,Mucosal,0.7628724236,0.1402084079,91,21,2.64E-06,0.0002603863484
Type,21f3474eb0a2647e96181ab06ed9b764,Mucosal,-1.013298469,0.1935589295,91,73,4.60E-06,0.0004115986413
Type,e78a270ccd8d01d326e840cd85e1c1e2,Mucosal,-1.010129008,0.1947717956,91,83,4.86E-06,0.0004130638715
Type,759abfc82a4b189214d7e148d4aef180,Mucosal,-1.076648609,0.2116631832,91,85,7.04E-06,0.0005702344667
Type,1b23073ca2a2884ac2bd7895dda760bc,Mucosal,-1.375237389,0.2698006246,91,52,7.76E-06,0.0006003374206
Type,c0fa6fc4716f50a194d3a3bc520ba870,Mucosal,-1.01775811,0.2063799081,91,45,1.16E-05,0.0008605315032
Line,72cb656da17f65d184d9186ee5260f53,Vil1Cre,-2.895651283,0.5828672665,91,43,1.27E-05,0.0008973692692
Sex,397aa1ad0378774f826b9825c958427e,Male,-2.448666199,0.5170613049,91,86,1.66E-05,0.001126745244
Type,44166d043ae4422d941e1e4c779151f8,Mucosal,-1.180015344,0.2459007082,91,83,1.81E-05,0.001135017947
Line,978c4b2965a576a78cac987d12c9e0a0,Vil1Cre,1.198848325,0.2639236475,91,16,1.87E-05,0.001135017947
Line,c50f108c7f26f34cb8226f54985908be,Vil1Cre,-3.172208272,0.6520176886,91,35,1.78E-05,0.001135017947
Line,b818498a79e2d7a40cdaf0d29b43c7c0,Vil1Cre,-1.37388952,0.2834865853,91,44,2.20E-05,0.001291292132
Line,87ab9c664033e00f6b64f2afc71a6d90,Vil1Cre,0.9097822301,0.1906920933,91,16,2.40E-05,0.001361357156
Type,04af8257d41718f9636b8bbc789b0fcf,Mucosal,-1.111411963,0.2366626944,91,72,2.76E-05,0.001514764437
Line,fbbeae3dceada6928b2cdc472f5d9901,Vil1Cre,3.334279191,0.7031308555,91,53,2.92E-05,0.001550931604
Type,6f0b4058c92e83c77533a218739a0e38,Mucosal,1.261161624,0.2882162014,91,38,3.50E-05,0.00180214849
Type,8f139f903db65b737165fab17b843584,Mucosal,0.8104228716,0.1774190729,91,26,3.64E-05,0.001819854548
Sequencing_Run,6f0b4058c92e83c77533a218739a0e38,NovaSeq_Jan_Twenty,2.375520944,0.5538977466,91,38,4.82E-05,0.002344944106
Sequencing_Run,89c209abd89a5232343a4c87c93cb4ea,NovaSeq_Jan_Twenty,3.297326509,0.7431787521,91,78,6.79E-05,0.003209118779
Type,298c6e520261d927af2fb9e7c1e4cebc,Mucosal,-0.8068491587,0.1841168918,91,85,7.06E-05,0.003244232183
Type,090dac4c317bdb16f9ab434da4e8a35f,Mucosal,0.82741169,0.1896111903,91,25,7.53E-05,0.003338571407
Line,be50260bd56c9b191a9e0845fc908179,LyzCre,-0.9776689311,0.2351363652,91,33,7.78E-05,0.003338571407
Type,b92f84c206887ecd667f142dd3606ac3,Mucosal,0.7829185571,0.1797018877,91,32,7.85E-05,0.003338571407
