metadata,feature,value,coef,stderr,N,N.not.0,pval,qval
Type,759abfc82a4b189214d7e148d4aef180,Mucosal,-1.560529488,0.08307821052,95,93,5.41E-23,1.04E-19
Type,e78a270ccd8d01d326e840cd85e1c1e2,Mucosal,-1.717062378,0.1127119775,95,89,3.68E-19,3.55E-16
Type,65553cd263bb61cf36d1a75d750952f3,Mucosal,-1.818167635,0.1252843958,95,81,1.77E-18,1.14E-15
Type,f80a7e9c950f857ec31ac4d0cc9c6a03,Mucosal,-1.401184861,0.1036435384,95,80,2.91E-17,1.41E-14
Type,8064a19ea488e28609ef25daab20653e,Mucosal,-1.736721775,0.1362093111,95,62,1.29E-16,5.00E-14
Type,298c6e520261d927af2fb9e7c1e4cebc,Mucosal,-1.185363351,0.09307426917,95,94,4.63E-16,1.33E-13
Type,49d5e983bbc870059084d932fb344b75,Mucosal,-1.88659187,0.150378176,95,48,4.84E-16,1.33E-13
Type,55b5e18dcec6eaff69b53b2c4cbb0a16,Mucosal,-1.42437017,0.1194520238,95,93,1.73E-15,4.19E-13
Type,9c9d2dfde9ad67dcb9628dc8c30ec99f,Mucosal,-1.269347893,0.1094963507,95,93,3.14E-15,6.73E-13
Type,48082d1ff66a9207ede6bf05e9846d6e,Mucosal,-1.072330453,0.09190841831,95,94,3.90E-15,7.53E-13
Type,21f3474eb0a2647e96181ab06ed9b764,Mucosal,-1.591069458,0.1394466507,95,62,4.71E-15,8.26E-13
Type,ad23727bc3e6dc84a4c52399fe4f0d39,Mucosal,-1.1545814,0.1053754018,95,94,2.10E-14,3.39E-12
Type,a2afdab2db82e62d5de07d2f29111f10,Mucosal,-1.801687548,0.1713919818,95,61,6.69E-14,9.94E-12
Type,73e42306e185be6f0c6060d4ed924469,Mucosal,-1.362843254,0.1305813591,95,87,8.62E-14,1.11E-11
Type,b221a65a4ab995abd7110ddcd600e1fb,Mucosal,-1.521544166,0.1415635025,95,49,8.65E-14,1.11E-11
Type,861fb4882b4c65b68e5998bb89ad59e8,Mucosal,-1.098547511,0.1035756192,95,72,9.90E-14,1.20E-11
Type,44166d043ae4422d941e1e4c779151f8,Mucosal,-1.541268175,0.1489807713,95,88,1.26E-13,1.35E-11
Type,e895ba3e92642f6c374d12d4ba87bf0a,Mucosal,-1.293447573,0.1247663742,95,58,1.20E-13,1.35E-11
Type,7cd17d18c05e35c6001cc253ac15c517,Mucosal,-1.242687606,0.1200743679,95,93,1.37E-13,1.39E-11
Type,a0f4041ccc6a3b1f6512919ebe00613d,Mucosal,-1.405512531,0.1367796315,95,86,1.95E-13,1.88E-11
Type,048a59d179f89089b6e3a2d50f389e94,Mucosal,-1.831416081,0.1769131417,95,50,2.51E-13,2.31E-11
Type,0247032b5537cfe290e9fe3067f9257e,Mucosal,-1.148732716,0.1151779222,95,91,4.09E-13,3.59E-11
Type,9c6efccec7649fddce7cb4c0b868559f,Mucosal,-1.387433301,0.141013055,95,66,6.62E-13,5.56E-11
Type,977eb5e61f5d9a0c3618c4f129859cd3,Mucosal,1.816387661,0.1914818639,95,82,1.96E-12,1.58E-10
Type,8b317947d610fc3e351d94e2466ab1ab,Mucosal,1.044141305,0.1126750702,95,71,3.65E-12,2.82E-10
Type,4a82bd4ce156dbdc137b21a1d7e75f93,Mucosal,-0.9901641114,0.1065624748,95,63,6.30E-12,4.68E-10
Type,691f2dbdac94ad2f7e2486ab73a772af,Mucosal,-1.095312345,0.1210558677,95,86,8.27E-12,5.92E-10
Type,0dc69705aa39eb92e3dc26eed8d677c6,Mucosal,1.131333029,0.1254207426,95,28,1.08E-11,7.48E-10
Type,d013db1a71d477496cb864ee431c3420,Mucosal,-1.135753427,0.1269096305,95,93,1.21E-11,8.07E-10
Line,c4bb856f00469484de24c5d7e0a221b6,LyzCre,-2.750594128,0.3000705624,95,37,1.73E-11,1.11E-09
Type,b3703a2157a018a94473b0861589dde0,Mucosal,-0.954176751,0.109689855,95,93,2.84E-11,1.77E-09
