	Itg.10.DTT455.S49	Vil1.01B.FP07	Lyz2.04B.FP243.S92	Vil1.04B.DTT43	Vil1.07B.DTT79	Vil1.06B.FP67	Lyz2.01B.DTT207.S47	Itg.22.FP515.S18	Lyz2.05B.FP255.S52	Lyz2.04B.DTT243.S84	Vil1.04B.FP43	Vil1.09B.FP106	Itg.02.DTT407.S99	Lyz2.08B.DTT291.S133	Itg.24.DTT527.S22	Itg.26.DTT539.S35	Lyz2.08B.FP291.S89	Vil1.06B.DTT67	Vil1.02B.FP19	Itg.26.FP539.S43	Itg.18.FP491.S94	Itg.12.DTT467.S61	Vil1.07B.FP79	Lyz2.02B.DTT219.S59	Itg.24.FP527.S30	Lyz2.07B.FP279.S77	Lyz2.03B.FP231.S79	Itg.18.DTT491.S86	Itg.06.DTT431.S24	Lyz2.05B.DTT255.S96	Itg.08.FP443.S44	Lyz2.07B.DTT279.S121	Vil1.08B.FP94	Vil1.05B.DTT55	Itg.16.FP479.S81	Vil1.05B.FP55	Lyz2.06B.DTT267.S108	Itg.16.DTT479.S73	Itg.12.FP467.S69	Vil1.14B.FP166	Itg.20.DTT503.S98	Itg.22.DTT515.S10	Itg.06.FP431.S32	Lyz2.06B.FP267.S64	Vil1.013B.DTT151	Itg.02.FP407.S7	Itg.04.FP419.S19	Vil1.02B.DTT19	Lyz2.01B.FP207.S55	Itg.08.DTT443.S36	Vil1.13B.FP154	Vil1.03B.FP31	Vil1.010B.DTT115	Vil1.08B.DTT91	Vil1.014B.DTT163	Vil1.09B.DTT103	Itg.10.FP455.S57	Lyz2.03B.DTT231.S71	Itg.20.FP503.S6	Lyz2.02B.FP219.S67	Itg.04.DTT419.S11	Vil1.10B.FP118	LYZdtt351	SLCFP067	SLCdtt019	SLCFP091	LYZFP327	SLCFP073	SLCFP019a	SLCFP049	LYZFP339	LYZFP315	SLCFP127	LYZdtt363	LYZdtt315	LYZFP351	LYZFP303	SLCdtt109	SLCdtt001	LYZdtt303	SLCFP001	SLCFP109	LYZdtt339	LYZdtt327	SLCdtt067	SLCdtt163	SLCdtt145	SLCFP163	SLCFP145
Itg.10.DTT455.S49	0.0	2.8285351203613076	2.015754671943407	0.9175807891916051	1.6951040846442598	3.053723161352076	0.692443308704956	2.699855454772073	1.9521436278148296	0.20274997127997813	2.165142595497594	3.278117442629624	0.5700158807844721	1.3522046395344696	0.6455147684342638	1.1078981550462983	2.0918700473595004	1.5906064637636368	2.4865003842957623	2.706791732365447	2.138227395547148	1.0369029099485076	3.590607147752099	1.1211099215698503	1.1213324291595166	2.538569343435705	2.097763165933925	0.7498486790286204	1.6121487519410769	1.3658364916381194	2.7862053229396935	0.8050438307562251	1.4654096344809968	1.5530387529707947	2.8516543607969593	2.4987499392914776	1.1398531960554459	1.8369455986571257	1.5881886310232183	3.1729756492554917	1.1787372534666138	2.0552481835547747	1.4014655913567156	0.8593281175027749	2.9404139627935013	1.7913191325728797	0.8474430255669202	2.26138092078736	1.8503465246344037	1.6323907089269	2.9739044789866904	3.000538358045946	2.0759407270912744	1.8193817285563272	1.4619641813647177	2.470326595568701	2.1008296488466525	0.8455754996979843	1.8267831335494702	1.4323272254584218	0.5149043429377986	2.4217187226315966	1.7885091539877018	2.4906585740517837	1.9097012430217195	1.7509885319497938	3.6676523958559772	2.0882085973909312	1.8321547330936596	1.5326928094821455	2.6495325469580746	2.3213607102626828	2.4797877076737476	2.362273159627565	0.9504096418551232	2.4362079566630155	2.219295914595543	1.1730151190171083	1.8157037545912493	0.5631635499981716	2.160864160668228	2.153063801273475	0.7981981640249596	2.6048910441827027	1.5391733014281195	1.646980445416368	0.8938051665909494	2.599838825741942	2.524520364170875
Vil1.01B.FP07	2.8285351203613076	0.0	0.8844343183499273	2.1584003595947507	2.195315113086534	1.2695375910898625	3.2369303175133064	0.4998953918333222	0.9341043082836401	2.759005424011186	0.6857798544175261	2.575488715138627	3.2474659190870585	2.5215197858057543	3.432680400610368	1.7260534470293396	0.8576628284696783	2.339818180157732	0.3664510668932782	0.29374923878577236	0.7430735001764135	1.8123604828785225	0.781630154779188	3.314840352475014	1.8786853719683034	0.4635812289917784	0.7974981152783929	2.08654540580393	1.402177724494317	2.077595010295546	0.3786545112967166	3.1837033826452457	2.749251796426851	2.2762770930829	0.604832491043872	0.9260607776406226	3.9020584106784084	1.971947975457308	1.3109660244803132	2.8886817511511578	1.661900787381267	1.0529870497229952	1.4592003358577244	2.5971991838134048	3.000378972716792	1.1244887123691012	2.5006208189112367	1.9578844304584315	1.918344104664222	2.8989317412851943	2.452929545735487	0.5860785277908472	2.445667228235348	2.40865977266733	2.9350594703414243	2.4586308110304005	0.7415290512151212	3.2455877731943	1.2539957969773274	2.757779166047422	2.675730489335887	2.5793571823715697	2.7788803435187686	1.5016465142867155	1.8070894697259432	1.139832915362352	1.1864483656155873	0.9573490909014167	1.181888777126453	1.3353995322726082	1.895314487871368	2.172454643596886	0.5668980913752533	3.9883735740836808	2.709877996610404	2.550701714635319	1.8877190951413199	1.980008185771421	2.0965376704400396	2.4788228359848223	0.8914893594159234	0.8346919310605082	2.5609390046863116	0.798193933382248	2.108222629539915	1.7300404922363435	3.5200718154497626	0.3762494462013502	0.39036578818062223
Lyz2.04B.FP243.S92	2.015754671943407	0.8844343183499273	0.0	1.293487372089758	1.5997066407327833	1.7459393307844238	2.5098571584654428	0.6934689919237679	0.15504957352083942	1.9219680398613426	0.40515839549289756	2.199982604016793	2.391034068674535	1.6591390467107665	2.6406292257922908	0.9306156630955978	0.6525095000934462	1.6919246457561126	0.5195407759769272	0.7137802192528774	0.545865773175501	1.0733911623325798	1.6458431484844716	2.677874821183125	1.2471560109532118	0.6868876902826447	0.10628784553112204	1.3070771573826823	0.5201577453581983	1.215567668464035	0.7736108083069426	2.3080640111948934	1.8944295620756746	1.539567607489241	0.858542294409422	1.155850839881372	3.1273450705222006	1.1908157510777575	0.749697625846835	2.402956104539213	0.9154379757350082	0.3149912340400928	0.7914260484126058	1.963212201429003	2.434377675420588	0.34582286472869306	1.8609586414984534	1.3300300426766924	1.660686189956757	2.0547551047796824	2.030032031689384	0.994069952675101	1.7453327305258817	1.6741688190099977	2.073386065789916	1.8414246383681132	0.22327688782796062	2.372292823210932	0.9300547121292081	2.278424849253702	1.810911873105808	1.912197491129807	2.40717531168871	1.0615163198094333	1.0958599277681644	0.5301841834938404	1.98447649993691	0.8001501328361237	0.3778861936871062	0.64376500763504	2.0074491871595455	2.088156692294936	0.5651580411574513	3.5566290171755326	1.8471560523997277	2.442329415790288	1.8027297035488954	1.1113347626565977	1.3471718632408867	1.75759902548015	0.34679883912884174	0.3414408459972717	1.7416040502169674	1.1403160534374162	1.276712927370515	0.9139804558429516	2.658426630689502	0.8216465030433397	0.728195150451916
Vil1.04B.DTT43	0.9175807891916051	2.1584003595947507	1.293487372089758	0.0	1.1384944609243117	2.6810649601113585	1.544505706378511	1.9241302365072008	1.2254223508766628	0.7850065168557218	1.518859510021579	2.4152407765347603	1.1461755383019756	0.7086176440683682	1.5038286710524718	0.6037199741426282	1.5494683852897928	1.0623135305376614	1.8023304429595117	1.9748056950543091	1.5728399142822067	0.7466938644639984	2.9034703546841127	1.8798046087863536	0.9939945422436063	1.8406391776814985	1.3708186892066612	0.6357089192308989	0.8192801614361227	0.4984619623980017	2.0329615367861105	1.036696489616591	0.9213446345684085	0.827625639070086	2.052143610546766	2.073230053761939	1.9968993022616501	0.9790467518464623	1.1577717333212367	2.3505182416010606	0.7972129013442097	1.2433278608506555	0.9692302351496005	1.3307800269497492	2.1579019966583863	1.0465117927375884	1.2405214607444919	1.3632438552658481	1.8554990191491914	1.1255084488351517	2.0941139665124173	2.2122494546709386	1.2665733591136217	1.0408866265888197	1.0413506026527668	1.6290099004891139	1.443379569556666	1.0914246409285973	1.49184907136971	1.883467001579849	0.5581431778706162	1.6365181245779217	2.190754748696414	1.5789296612829007	0.9961317799005572	1.1283721582461577	3.159266887705128	1.6086507470298512	1.0222714282297694	0.9515697860669762	2.5649134034829033	2.387606866309275	1.7233357066195527	3.0456605833116988	0.5930130785826893	2.610528695343533	2.195153646314886	0.25959995883045006	0.9356082572320742	0.9837619166554606	1.3627256375731787	1.3872665707367193	0.540804543008797	2.153411911439649	0.6706354709745814	0.7330671741816025	1.377127131718095	1.9984034873575145	1.9080284009426325
Vil1.07B.DTT79	1.6951040846442598	2.195315113086534	1.5997066407327833	1.1384944609243117	0.0	2.5111611207353097	2.0451076563411745	2.0009187118464578	1.4561501601593574	1.6718111487056304	1.6059500861092186	2.618620987091338	1.910815872208631	1.51399836801897	2.0643742369158757	1.2322743457220304	1.5808295900238136	0.20231347283935644	1.9397846436084472	2.005943334488703	1.6934122396044653	1.3412267772073954	2.7699943070576443	2.21913386931621	1.3488229585128022	1.744062349015874	1.6038220091374955	1.4020093332336498	1.3941621422501551	1.2837202274648771	2.098646225148348	1.8217898222729136	1.6474486885147075	0.6098212510941436	2.0998976342713447	2.019335375353701	2.4648939386242583	1.5815535740489726	1.436144723914297	2.5166815951244907	1.416083679814118	1.5709998043020246	1.359490298990914	1.7176138913064518	2.215737814930209	1.2602459323193467	1.6100043745864032	1.6172923997313338	1.9635099007106995	1.8173159847427414	1.97252544886647	2.257940300304482	1.3364821515136396	1.0338790190402019	1.784163671682251	1.791850272100116	1.7091882445454796	1.8215074656781947	1.6964136449660092	2.099835299914551	1.487076246916978	2.0567218365861724	2.381089782657747	1.6674986093327329	1.1427595186852444	1.2363782453244863	3.0310869962444285	1.6192479510157292	1.2722151228360283	1.1915359000326153	2.552779473897372	2.4416801285874166	1.6792743817541358	3.2004897428514356	1.2866134384819259	2.6072546053181465	2.2917502809992256	1.115482249903811	1.1590156965625489	1.5587793875856804	1.446076025877927	1.4327668897985941	0.9912317802478777	2.150544223979431	1.2779953622584135	1.184347681137809	2.0156891771874546	1.9912780940284844	1.9146537864376303
Vil1.06B.FP67	3.053723161352076	1.2695375910898625	1.7459393307844238	2.6810649601113585	2.5111611207353097	0.0	3.202508818878345	1.719110618257117	1.715250999380563	3.0690128055619486	1.3603558489599903	3.7608239387550375	3.580006413870504	3.260322627360025	3.5338417728153324	2.1147409134370037	1.1748621197382647	2.6821353779268526	1.4221799475443104	1.49087741172317	1.2198203043641156	2.0726819703085146	1.4203073098598338	3.0898023091503117	1.9352644376810384	1.3033754261397847	1.6818338499062926	2.355402415860743	2.177856982952688	2.822904443474365	1.626670171082244	3.637177129290517	3.498709851591495	2.83910256501237	1.8406239229903367	0.6216485971618204	3.9189139809033944	2.9104621649259523	1.548698840039994	4.004510309879378	1.9951903386229206	2.0278449611045977	1.7473378879734398	2.473515489752451	4.011353257195926	1.814605452296936	2.404266223465874	2.978208236783978	1.4190033341483674	3.6848256597039106	3.4797093543735924	1.8323878426505493	3.290193259636682	3.1385555501321734	3.6640498251603844	3.4574750029224366	1.540490388426503	3.6872560216515162	1.2614056144924302	2.350837174838774	3.1009723222254544	3.6148872517782245	2.2195967713310725	2.588064684537222	2.6660371183514893	1.5951861116255892	0.8496055865563699	1.0800950037098236	1.9769408043681533	1.735149002894329	0.9250950686734574	1.3652886554734414	1.5496399973684456	3.3675837463186147	3.239129953792491	1.6745815537551512	1.1895963642067398	2.6052599555467015	2.9217223951886995	2.54249831471266	1.8060042089395116	1.6847320572567548	2.930153765890685	0.6245231578462218	2.9043701270298343	2.54412970244091	3.8678212324546166	1.0084896717452547	1.0869947479029645
Lyz2.01B.DTT207.S47	0.692443308704956	3.2369303175133064	2.5098571584654428	1.544505706378511	2.0451076563411745	3.202508818878345	0.0	3.189681121869004	2.4329691085813785	0.8922728858317243	2.573130006355335	3.9456815810614656	0.9974972228033485	2.027297997193262	0.46665355133091074	1.58632718282724	2.428299824327012	1.9575122459394816	2.926077238252866	3.1570923035799523	2.5037989053876077	1.4426877576844341	3.972093512046234	0.48522728874101456	1.373208544381247	2.944119096270375	2.5808003846552503	1.211992573168398	2.183721564020691	2.02411299496326	3.2585513648933855	1.3396980080507246	2.126573663855612	2.066642690716848	3.354430693140576	2.727462408617538	0.7307848781116534	2.5032883190764323	1.9298791099811856	3.8350193146715768	1.6085531920846956	2.605984440332407	1.7799477477800099	0.730178236430002	3.573768992959447	2.277402234560574	0.8016113706678075	2.9053896202238674	1.8425295597469427	2.287512313898346	3.587888814170934	3.4959456782081784	2.6868472324597286	2.398271878462358	2.108817273405143	3.1159448772807674	2.5507682317290485	1.3458486933124667	2.08225934824846	1.1016183757942537	1.1880756432165	3.0978253633477357	1.4620042470147168	3.0922385924345703	2.5123894388322223	2.157668440500556	3.9134981969485616	2.381694574376811	2.3589284424288786	1.9463606410416452	2.6290108872357	2.2142429119337694	2.933745114961082	1.7357104424183227	1.5625645361468887	2.2159471597466935	2.2026323261389704	1.7965072384544207	2.4356118777975877	0.7598675877625849	2.6609655867938424	2.6271120720245174	1.308783701251031	2.8584003472659405	2.1927867227646782	2.262632897073459	1.2073470133536142	2.954963384212787	2.893551739406577
Itg.22.FP515.S18	2.699855454772073	0.4998953918333222	0.6934689919237679	1.9241302365072008	2.0009187118464578	1.719110618257117	3.189681121869004	0.0	0.7581724426950421	2.601803933604309	0.7087341618061743	2.0780641717209787	3.0516740241302767	2.1732222364286784	3.319984992359104	1.6111036280467426	0.9916909524042157	2.1245982913663766	0.4036633006944151	0.2292558154222091	0.8754710363326275	1.7520528636102333	1.0771963554522077	3.3360366019032934	1.88656613497998	0.5246985738455205	0.6111866739480126	1.9954322457043376	1.1376297028096982	1.7450048915783456	0.14331032572680322	2.9359474371725063	2.3861814268486343	1.9751866499781365	0.1854244195361834	1.2853885449241935	3.8062043636505725	1.5609540614023525	1.3458515861019393	2.389937821867475	1.5994953486544277	0.7089506215457853	1.439130504630749	2.616814153236837	2.5171347846962098	0.9355220862049826	2.512549053587872	1.4903785614314713	2.1380475902591587	2.518340428825369	1.975322916817	0.30691638546476635	2.0226169106027165	2.031299592257279	2.5778572197040774	1.9851708462691093	0.685053846537545	2.9968745907104535	1.415290764687669	2.876973882675632	2.46311301536798	2.1075564543396417	2.961986327592141	1.0169203605731558	1.4070499497881845	1.0811354991504445	1.6648441290633973	1.1380209721120371	0.910132286185403	1.2647266291558052	2.270289322331784	2.4787008512031354	0.3747522966867146	4.144991506074255	2.4311430483461858	2.8487338439475565	2.189340677583945	1.7084770668758833	1.6990319080084555	2.4351264717455514	0.5943832937029103	0.6112831083511077	2.348833178849248	1.2015026369281439	1.7415683142843736	1.3745688005711014	3.299803247960608	0.731241807689112	0.6769603445217481
Lyz2.05B.FP255.S52	1.9521436278148296	0.9341043082836401	0.15504957352083942	1.2254223508766628	1.4561501601593574	1.715250999380563	2.4329691085813785	0.7581724426950421	0.0	1.8664206060520079	0.3610589665108655	2.237850252708845	2.3326223094280243	1.627420884228867	2.5664314474154577	0.854849118062974	0.5803853463440284	1.55509587011837	0.5826096851430307	0.7605183192102132	0.5134486471012947	1.0011651587822612	1.6837546516458322	2.593924836862959	1.1570978062247206	0.6603210248830222	0.1663296662180775	1.2429966457238522	0.507571307335466	1.1780323950953513	0.8398923980392862	2.254142762650171	1.8628863149681825	1.4309237523833762	0.9219903123243132	1.117654591590615	3.0501928317694995	1.1963036184013027	0.6703267360511088	2.415663583744583	0.8585396529923526	0.368216522669941	0.7118072260182877	1.8794794125891303	2.4157095416578116	0.21109395477392529	1.773606908246671	1.3261781773579842	1.589502100723127	2.0302157478724965	2.0083749494477656	1.064519627343198	1.690786412544437	1.5962129966774992	2.042916631482885	1.824727885156844	0.28343433478821134	2.3141557818605185	0.8748329631334855	2.1954257004013393	1.7524866433095505	1.9223139890877112	2.3338974783326343	1.0689516597593913	1.0406783954605012	0.39550164444478114	2.0031286894746754	0.7275236069631847	0.29509135672606174	0.5276730607777489	1.9623596288176275	2.0300491612994795	0.5516883227223951	3.475107667104575	1.777807812762767	2.3732901275534504	1.7518559700702054	1.0489589774854673	1.2919332935560137	1.6809623733957886	0.30017812598224286	0.26420963314317003	1.6446517240245535	1.1268154052840094	1.2383742173172183	0.8683976996779307	2.593822936422676	0.8246589818546183	0.7284407922750198
Lyz2.04B.DTT243.S84	0.20274997127997813	2.759005424011186	1.9219680398613426	0.7850065168557218	1.6718111487056304	3.0690128055619486	0.8922728858317243	2.601803933604309	1.8664206060520079	0.0	2.1048396834791783	3.100439157807909	0.5346151289057585	1.1690067036423109	0.7970096648810815	1.046755084635463	2.059321463872361	1.5624774740675829	2.4083718183879657	2.6239610213004396	2.092864496345458	1.0108290661987112	3.526592842017687	1.321444311374649	1.1513939009491103	2.476025198812352	2.0081177639170016	0.7203915255693316	1.4901752687327776	1.2013368676089071	2.69385331887418	0.689451137107756	1.284364004767442	1.462920275409357	2.7477520094533627	2.4951308246866852	1.29030833950894	1.663362504426412	1.5638491041548483	2.99609499703315	1.1322808857964384	1.9376582047698856	1.3693524033251172	1.0090236278117208	2.7759352226373553	1.707668969436975	0.9828243256609618	2.0999250634680187	1.9266374197123923	1.450174456695134	2.823874221518012	2.898049709734309	1.9292568612834264	1.6912464980740956	1.2826835824929763	2.304707741014501	2.0228801121135143	0.746784367557653	1.8246725728108129	1.590583782983403	0.34616204484960683	2.237406254641299	1.9366559503230716	2.3496829462875626	1.7730161107622362	1.7008618856634987	3.646640338942193	2.0706457779165257	1.7303281228856455	1.485115200823099	2.7148188041070074	2.4130479703908745	2.3997014547428974	2.5562048829845323	0.8123187650885539	2.5547621279566117	2.2886556535244234	1.0349679811884092	1.6696236274169374	0.6731550809695678	2.0660401160958375	2.0690704757649434	0.7414733971127805	2.5906622030012305	1.375954234983684	1.5057338870533419	0.8702896960753556	2.5524186236315765	2.4732016421509924
