id	KO	Lyz2.04B.FP244.S41	Vil1.05B.FP57	Itg.02.FP409.S9	Vil1.01B.FP07	Lyz2.04B.FP243.S92	Lyz2.04B.FP245.S42	Vil1.01B.FP08	Vil1.14B.FP167	Vil1.06B.FP67	Lyz2.01B.FP208.S56	Vil1.09B.FP108	Itg.22.FP515.S18	Lyz2.05B.FP255.S52	Itg.24.FP528.S31	Vil1.04B.FP43	Vil1.08B.FP95	Vil1.09B.FP106	Vil1.10B.FP120	Vil1.03B.FP32	Vil1.08B.FP96	Itg.26.FP540.S44	Vil1.06B.FP68	Lyz2.08B.FP291.S89	Vil1.01B.FP09	Vil1.06B.FP69	Vil1.02B.FP19	Itg.26.FP539.S43	Itg.18.FP491.S94	Itg.16.FP481.S84	Vil1.03B.FP33	Itg.08.FP445.S46	Itg.24.FP529.S32	Lyz2.08B.FP292.S90	Vil1.10B.FP119	Vil1.04B.FP44	Itg.20.FP504.S7	Vil1.07B.FP79	Itg.24.FP527.S30	Lyz2.07B.FP279.S77	Lyz2.06B.FP269.S67	Lyz2.03B.FP231.S79	Lyz2.07B.FP281.S79	Vil1.09B.FP107	Itg.08.FP443.S44	Vil1.04B.FP45	Lyz2.05B.FP256.S53	Itg.12.FP469.S71	Itg.06.FP433.S34	Lyz2.02B.FP220.S68	Lyz2.05B.FP257.S54	Vil1.08B.FP94	Itg.02.FP408.S8	Vil1.02B.FP21	Itg.16.FP479.S81	Vil1.05B.FP55	Itg.22.FP516.S19	Itg.04.FP420.S20	Itg.10.FP456.S58	Vil1.13B.FP156	Itg.18.FP492.S95	Itg.12.FP468.S70	Itg.12.FP467.S69	Itg.20.FP505.S8	Vil1.14B.FP166	Itg.22.FP517.S20	Lyz2.06B.FP268.S65	Lyz2.03B.FP233.S81	Lyz2.02B.FP221.S69	Vil1.07B.FP81	Itg.06.FP431.S32	Lyz2.06B.FP267.S64	Itg.02.FP407.S7	Itg.04.FP419.S19	Lyz2.01B.FP207.S55	Vil1.13B.FP155	Itg.08.FP444.S45	Vil1.13B.FP154	Vil1.14B.FP168	Vil1.03B.FP31	Lyz2.03B.FP232.S80	Itg.18.FP493.S96	Itg.10.FP457.S59	Itg.06.FP432.S33	Lyz2.01B.FP209.S57	Lyz2.07B.FP280.S78	Itg.16.FP480.S83	Vil1.07B.FP80	Itg.10.FP455.S57	Vil1.05B.FP56	Vil1.02B.FP20	Itg.04.FP421.S21	Itg.26.FP541.S45	Lyz2.08B.FP293.S91	Itg.20.FP503.S6	Lyz2.02B.FP219.S67	Vil1.10B.FP118	SLCFP021	SLCFP069	SLCFP111	LYZFP304	SLCFP067	SLCFP051	LYZFP328	LYZFP317	SLCFP093	SLCFP091	LYZFP327	SLCFP073	SLCFP128	SLCFP092	SLCFP002	SLCFP019a	LYZFP316	SLCFP075	SLCFP049	LYZFP339	LYZFP315	SLCFP050	LYZFP352	LYZFP305	SLCFP127	LYZFP340	SLCFP129	LYZFP351	SLCFP074	LYZFP303	SLCFP003	SLCFP068	SLCFP001	SLCFP110	LYZFP353	SLCFP109	SLCFP020	LYZFP329	LYZFP341	SLCFP164	SLCFP163	SLCFP145	SLCFP165	SLCFP146	SLCFP147
K00001	K00001	20963.1	16400.92	6449.24	43195.88	89021.74	13852.93	25516.65	7113.14	20790.61	26672.91	47515.96	15386.04	9508.08	19165.04	26540.68	225184.06	50826.36	25265.54	20626.04	88848.84	14894.24	14429.58	39932.89	37523.56	15685.65	42811.45	13825.84	16041.1	19609.59	29577.46	14298.83	13848.58	24100.51	56472.63	19276.78	34752.23	22038.33	7871.39	5545.23	5961.78	106862.73	7772.29	58267.29	21694.14	15920.9	3544.92	18573.34	39592.56	64406.44	6220.01	114467.78	6775.78	23268.07	22322.96	22648.32	19920.31	25299.74	25887.96	10063.38	17228.1	14318.22	19243.94	28860.51	16296.08	14526.81	8696.92	93368.81	57741.42	20608.71	25098.96	12394.2	6188.91	10092.89	21747.6	17230.73	14781.04	47826.89	6633.79	25523.04	98804.94	12882.18	24289.76	52986.98	16591.94	11368.34	23421.49	22277.55	70983.62	12257.24	24346.67	19300.4	14771.16	21013.06	43143.66	22211.2	72503.89	7478.75	6185.38	3579.45	80943.34	12679.17	4587.22	15078.64	156251.93	12234.02	10314.65	65029.04	41765.23	17748.33	24073.06	8708.23	6228.53	90217.74	11145.5	8090.65	51960.01	103555.06	5940.38	15867.52	548463.98	19676.85	30356.59	7039.2	24065.46	25190.08	387659.54	9900	10520.75	12411.53	1762.7	9025.67	6930.68	7381.77	19993.09	31183.32	13776.65	16080.73	40755.28	10084.68	26877.5	11143.13
K00003	K00003	23330.99	44154.17	20403.82	24665.92	63922.75	17910.41	19348.67	21456	24071.67	43636.07	73354.83	14944.68	19411.07	30970.84	26201.41	128120.42	68343.92	37959.15	32373.91	89269.32	27879.09	29931.75	23763	34708.01	41544.91	37017.25	15591	23451.32	32811.74	48753.66	26203.24	30859.91	19441.1	81900.67	22746.68	38283.25	18868.67	18420.16	5979.91	18828.84	63356.93	15637.07	71209.01	22159.59	27500.75	8139.91	34041.16	33422.66	50768.91	17309.82	84474.17	16086.25	36308.34	21984.91	36595.91	36650	18416.24	28181.74	6880.34	32464.99	27134.59	26727.5	40726.49	33967.09	32978.91	21942.57	63509.91	44223.59	30381.74	19732.4	25589.25	10436.09	21202.41	22967.24	10548.42	18850.74	27237.5	20422.24	26936.17	62932.24	23602.08	33261	33299.41	30300.5	11226.99	33690.83	21366.92	57357.24	35697.26	27901.59	23164	26468.08	23072.34	33818.25	31630.92	74988.09	12547.5	8256.34	14039.33	81822.33	10658.66	18441.09	35027.5	161774.08	17974.42	16072	71791.17	24011.42	14228.48	28317.26	12545.74	12593.08	93351.35	10671.16	13010.92	51521.99	101319.08	9833.08	30815.51	313805.75	11695.51	36604.24	8585.41	44184.32	17968.67	220429.99	17509.75	9300.83	13577.66	7708.67	26484.58	12884.51	13785.52	60248.49	39890.91	21534.25	19908.5	26689.42	21044	33729.67	19401.82
K00004	K00004	10	69	11	27	35	10	8	172	63	90	989	61	15	146	622	2334	172	177	461	878	70	78	86	25	74	13	49	46	179	1159	189	118	47	192	303	82	33	60	18	48	22	22	109	269	360	6	93	49	41	10	1002	10	11	190	114	65	305	56	40	89	82	99	86	26	65	50	11	21	46	32	102	9	484	28	15	140	57	255	568	24	59	85	67	46	7	252	20	144	64	26	430	54	90	85	38	227	180	46	167	87	66	65	39	2599	752	736	97	4	11	545	227	181	94	0	81	15	139	60	21	296	12	19	0	82	8	275	316	53	365	72	17	239	217	56	22	37	36	48	70	58	83
K00005	K00005	6641.74	14515.25	5094.65	2379.75	12397.75	5688.41	3491	13811.5	3735.67	12951.07	4046	3390.18	3117.07	7469.84	5715.33	6597.5	2898.09	6442.32	6835.5	13170.65	8458.84	6995.83	2045	7357.26	9736.99	4872.83	3242.75	4764.82	6171.99	10131.41	7989.91	8565.16	4136.18	19742.75	4768.84	8854.75	1574.84	5182.66	1139.91	7144.42	5655.93	4747.57	3112.18	5678.84	6594.5	1954.91	9497.91	5632.16	7913.41	4085.32	6781.5	4174	7717.92	2050.91	8739.24	10566	2255.99	6569.99	457.42	8021.99	7596.34	6155.5	10286.99	11994.92	10361.66	6682.74	8830.41	6986.09	7137.49	3088.65	7757.75	2010.34	7602.66	5476.99	536	5011.99	3283.75	11791.24	3338.67	6928.99	6510.83	8944.75	2896.16	10259	1766.49	5032.83	2610	9423.66	12344.76	5542.84	6553.5	7245.83	6536.84	6428.5	8487.67	6004.59	2534.25	1519.01	4191.33	19532	1192.49	7373.42	7441.67	82530.25	6638	6063	3791.59	2313.34	3067.65	9704.26	2797.91	2394.5	32622.77	2744.16	5392.17	6114.41	37886	3444.25	6406.93	34848.67	1207.01	8175.41	2544.66	8847.49	3185.34	18729.91	4010.5	1277.33	3328.08	2530.17	6975.5	2983.18	2621.85	17583.74	10777.58	6803.83	7576.17	1666.58	6870.67	5470.17	4698.74
K00008	K00008	10464.59	48811.42	12024.32	7712.52	8527.95	12635.66	12628.49	1416	17393.57	41736.77	3222.53	4507.58	6039.72	13203.34	19108.49	34994.27	2736.77	4327.25	19332.49	125851.17	14789.94	29332.57	5413.1	25374.36	46519.73	8859.1	4153.95	9970.92	22093.29	33560.78	21096.24	20082.06	11483.15	7953.27	15146.35	42189.05	5869.9	11015.66	5175.21	13756.24	6699.73	22981.32	4120.11	6741.34	26777.13	5243.51	27690.61	21418.86	27758.71	12152.22	45057.17	6293.1	31788.49	5882.91	28711.33	26713.6	6849.69	11629.49	1485.19	17022.59	22338.24	17606.3	55299.79	1897.14	30732.76	14863.77	19484.11	23722.69	28611.59	12754.75	18047.2	3006.64	29031.16	18054.59	2628.27	8916.99	7281.6	2334.74	9189.57	8487.89	17874.83	20815.55	8142.46	31334.4	7361.69	17312.18	9544.37	10997.49	40844.73	14982.31	19927.9	13480.03	19273.19	25156.8	30895.37	6492.34	8294.75	10107.14	13801.53	45867.73	7323.66	29792.39	21289.7	13443.93	19206.77	15648.9	8588.77	6219.07	15304.48	17441.86	13081.64	6484.53	42054.05	6800.16	20990.07	12422.74	34794.88	13726.38	19934.16	15664.15	5546.11	16510.39	13832.36	27486.77	7748.67	20093.34	23725	6699.33	11601.61	7341.87	21106.78	8995.11	7694.12	51830.19	22708.86	8260.8	9167.9	11527.09	10462.1	36009.67	29233.87
K00009	K00009	7840.05	2929.2	4936.8	15766	34785.25	5016.75	8530.12	33871.75	6363.4	11816.65	24683.75	10112.4	2586.25	8755.35	10744.98	109736.25	27872.75	11554.25	5812.08	40400.55	6153.45	3738.67	18679.5	13205.7	3645.87	17393.5	5597.25	10289.2	6593.2	8975.92	6330.05	5595.7	10980	30872	8767.92	15805.15	5342.33	2918.35	1559.75	2379.75	47306.65	2631.75	31813.25	9682.45	5660.68	653.75	9866.65	17941.25	29800.15	1265	55540.25	6061.8	7867.15	9861.7	5101.42	13761.05	12122	15610.6	35452.5	14051.7	7118.75	8850.35	13256.8	61264.25	9348.2	3392.25	38507.35	26479.45	3983.35	10744	4429.25	4380	3884.4	9330.2	45233.25	6381.2	176777.75	25608	8065.35	42698.8	6875.2	12948.6	23216.4	7835.65	4488	8322	3579.5	37513.45	2564.22	8772.42	8721.75	6055.05	8830	19575.65	10324.75	36171	901.4	2825.9	1196.3	37718.55	4842.8	1051.85	2829.7	69284.35	12557.9	10828.1	21425.7	19054.65	7684.75	22172.85	5127.5	1072.9	39263	5019.45	1271.4	20647.05	44548.95	1699.85	6218	270634.05	9497.95	12396.25	3277.35	8044.25	10855.15	189617.35	5322.9	4206.6	6604	363.6	3231.5	2041.95	1365.15	2603.9	13399.15	5258.7	5038.55	20101.67	3747.4	16712.05	5455.55
K00010	K00010	1313.6	2837.25	940	992.85	1685.7	1569.5	1397.9	246.75	1393.4	5901.7	169.95	581.9	432.9	957.75	1500.75	6133.35	456.85	631.85	2366.75	20303.6	1846.85	1815.4	657.1	2413.35	2180.4	1173.1	691.7	837.6	1581.3	4830.2	717.5	1151.9	790.8	707.85	989.25	4243.3	1262.4	644.75	1039.3	862.4	1083.3	3077	387.35	488.25	1958.05	396.6	2382.2	1576.95	4015.3	871.9	7195.25	564.6	4012.4	876.25	2817.5	2532.35	387.7	1061	100.85	1093.6	1786.65	1589.05	5028.8	46.3	3385.1	1101.7	2959.7	2902.6	1867.85	1414.6	1411.7	351.8	1568	2964.6	178.6	378	237.1	254	1120.65	959.9	1101.5	1858.05	668.3	5132.15	1113.2	2182.6	874.2	1434.25	2099.8	1664.05	1061.15	1604.95	1225.6	2733.05	4818.45	609.25	506.25	1245.8	455.7	4590.9	989	3060.3	2812.7	1056.35	1218.6	1309.4	4628.1	1037.65	1901.25	1552.1	1845.15	531.7	4106.7	504.75	2358.9	2462.5	3444.05	1561.8	4188.9	1332.65	744.85	2281.65	1562.45	7111.45	509.75	3270.85	3212	800.5	2204.45	340.7	2958.7	1293.35	622.35	6940.45	3238.95	897.3	759.15	1740.25	597.1	5090.75	3326.3
K00012	K00012	24470.28	40285.15	22959.73	46683.08	84346.04	17565.83	30661.05	40253.14	31773.17	49183.35	73641.23	24921.8	20024.38	34674.72	37059.32	230121.9	79261.12	38665.79	35545.54	118946.93	29159.2	30804.98	43027.99	47381.48	39136.03	53090.46	20033.1	27133.53	34630.19	50243.56	23895.41	31044.16	29286.65	73691.47	29906.29	50773.45	25981.72	18311.56	8464.61	19190.09	105053.96	16299.36	77462.74	26485.8	29690.18	7889.28	33840.8	48580.58	79519.5	15902.4	126545.28	20723.72	41113.8	28996.55	44603.73	45840.58	29827.26	33902.81	41323.22	34389.2	27244.45	31241.59	48461.98	80254.63	37142.55	23563.52	92762.94	69460.3	31015.47	30643.07	29351.32	15248.06	21451.55	32345.51	55942.08	20969.22	203984.99	33652.8	35012.6	96213.17	24588	35972.29	57937.42	32155.51	14793.04	37045.25	26405.92	80064.19	32885.99	34813.12	29431.13	26938.51	29385.99	53551.11	37688.73	84267.4	12395.5	10589.68	13176.98	110715.83	16462.67	17635.6	37393.77	154573.36	25586.13	23626.71	97680.29	45407.97	24548.65	43037.25	15342.88	11792.41	119148.56	14789.48	18027.06	62810.26	127209.61	12901.75	36027.42	551258.71	22758.79	42352.89	11768.39	52758.92	30275.25	401248.87	19461.67	14360.93	20458.8	7338.91	27262.85	16270.96	13718.55	62322.2	45124.1	25532.11	22014.62	46309.87	22310.62	43208.83	21932.17
K00013	K00013	11497.59	40618.33	11106.39	18915.22	16287.08	10242.67	16657.82	2967.14	23772.11	36280.73	30233.04	7859.56	10229.98	14996.05	24710.75	17385.89	21083.28	20502.69	24587.12	49300.49	19597.67	29345.33	7078.39	27093.73	39361.39	17971.28	9370.75	23024.09	30981.49	33890.87	19928.49	19532.16	9143.94	26441.46	20370.46	25189.73	21952.83	11844.22	5839.89	12933.78	11541.41	12503.19	32899.64	15546.56	26159.14	5997.25	24801.59	15948.55	25470.27	11352.83	26859.78	7976.2	26541.74	17025.29	34813.23	24518.31	6375.81	12185.54	4008.13	29632.76	20464.64	20630.11	27971.17	5661	24567.38	14104.24	17811.31	20352.1	30775.95	10462.2	17112.95	4586.17	16034.3	17334	3928.98	15117.12	5339.64	3338.45	17586.04	12578.35	22722.09	20333.67	14326.22	25292.44	7436.83	33004.57	25632.47	18768.28	31952.76	19311.09	14126.4	17281.57	14943.48	18293.24	24669.95	26332.9	12178	5425.72	10495.28	45656.01	6691.33	16490.22	34234.73	18164.18	10582.94	11239.48	51187.54	8146.32	10675.48	12991.07	9896.89	12770.45	47431.85	6430.32	15336.24	41683.59	42981.31	10410.71	28826.78	13315.48	4879.36	30273.08	6411.94	45151.79	9598.42	27219.53	14998.25	6122.75	11994.11	6709.04	25023.83	9836.53	13197.12	62302.08	32454.65	13373.56	16728.23	11619.95	12410.02	20588.5	14909.87
K00014	K00014	15933.14	59194.03	23314.19	21331.72	20190.58	14193.42	20298.02	6299.64	27824.01	54922.63	55782.54	12276.46	20422.23	28298.65	30297.65	23263.89	45532.28	30618.19	36667.62	66439.79	31452.87	37144.33	9107.39	34767.43	49370.59	27583.78	14443.25	27105.79	40934.69	52956.37	26937.79	33541.36	13021.44	41709.21	26725.46	33155.63	23380.33	20630.82	7186.39	24241.53	14133.81	16775.44	47085.14	18583.26	35449.24	9984.75	36091.49	21346.55	35590.17	20769.83	35721.78	17082	39489.64	20440.99	48807.98	41179.11	9684.31	17354.64	4516.63	37449.46	30151.64	28728.21	37546.97	15902.25	39886.08	26310.74	23064.91	29360.3	37227.55	13557.7	30755.2	10557.17	22886.2	24812.2	4186.23	19424.32	6013.39	8443.7	26272.14	16498.15	30286.29	28589.77	17747.12	38607.84	9396.33	41716.32	27878.47	25401.48	47188.06	27528.09	21125.9	27789.37	21021.73	22873.14	35867.45	38152.65	15908.9	7536.62	17473.08	67083.06	8310.13	23631.32	52598.43	23935.78	14308.84	15289.08	76116.74	11036.22	12986.98	17965.67	12473.89	15917.85	67992.35	9902.02	19704.14	48631.89	59315.26	13750.31	41066.53	18029.53	5757.06	39078.58	8235.04	60983.04	14265.32	37173.88	18825.15	7871.85	14896.61	10832.14	37863.08	16454.73	16972.52	93408.73	44177.05	23249.26	21448.03	13689.95	23270.92	28342.3	20131.17
