feature	rank
K18979	15.31254851
K02429	15.26946135
K03593	15.03114822
K03561	14.96404912
K00950	14.79510045
K07148	14.79510045
K01847	14.71524428
K03183	14.71524428
K01661	14.54623049
K03585	14.54623049
K07263	14.54623049
K01911	14.51592791
K03773	14.33143052
K01633	14.13692507
K01991	14.08084843
K01079	14.07130466
K04084	14.00894355
K07085	14.00393546
K09760	13.87623378
K16264	13.80173122
K03771	13.61409659
K03559	13.58711341
K06142	13.53344937
K00024	13.35918495
K00677	13.32541392
K02517	13.26821476
K03770	13.26821476
K00833	13.20570761
K06966	13.17734162
K00970	13.14843424
K06911	13.14015438
K00265	13.13737859
K02484	13.05724509
K07735	13.0494191
K00240	13.04786127
K03118	13.04328249
K03587	12.95875583
K01993	12.79289214
K00029	12.75339764
K00331	12.75339764
K00340	12.75339764
K00341	12.75339764
K00343	12.75339764
K02621	12.75339764
K02622	12.75339764
K02523	12.75236516
K03832	12.75236516
K08218	12.75236516
K11996	12.74723429
K08289	12.74557968
K04564	12.71633768
K01585	12.67487974
K08156	12.67487974
K07277	12.64724829
K05807	12.62476358
K06188	12.61811841
K07259	12.61811841
K03772	12.44240933
K12340	12.41439189
K03474	12.41036678
K09125	12.39363562
K03640	12.36720149
K00330	12.36582617
K00339	12.36582617
K00342	12.36582617
K00748	12.36582617
K00912	12.36582617
K01627	12.36582617
K02527	12.36582617
K03313	12.36582617
K06861	12.36582617
K07106	12.36582617
K09810	12.36582617
K11065	12.36582617
K05595	12.2811457
K00338	12.25389434
K09808	12.25389434
K06167	12.24527562
K16053	12.24527562
K03327	12.19684749
K00241	12.17845894
K00337	12.11024134
K00946	12.07579332
K01809	12.06626259
K02551	11.98622551
K03718	11.98622551
K02342	11.88432591
K02536	11.88432591
K02919	11.77701842
K07322	11.74996585
K02065	11.72205731
K01284	11.7207674
K07001	11.54961679
K07588	11.54961679
K01205	11.44034243
K00652	11.39808765
K06178	11.39808765
K04761	11.34633255
K01433	11.34194896
K06041	11.3101847
K03814	11.27425709
K02067	11.17557051
K04762	11.17557051
K00525	11.14627605
K03775	11.04890862
K03885	10.98197052
K03269	10.80673538
K02437	10.75833059
K05776	10.75833059
K01840	10.73650085
K03116	10.66711662
K15977	10.65072044
K01197	10.64012367
K00857	10.61840435
K01719	10.61840435
K03787	10.57634783
K19353	10.54173345
K08307	10.4524934
K02022	10.42414679
K00239	10.35079248
K01200	10.29535681
K00674	10.28934728
K03839	10.2629227
K01425	10.25607198
K01186	10.2500256
K01058	10.24214375
K06143	10.22677732
K13378	10.22182401
K01081	10.20283649
K02066	10.16672186
K06890	10.03346257
K16211	10.02384088
K12524	9.969700335
K03473	9.919715634
K01241	9.900683677
K02014	9.900683677
K02361	9.900683677
K03281	9.871373892
K03113	9.826376223
K07091	9.826376223
K18691	9.826376223
K01089	9.799284707
K16363	9.783581171
K03289	9.758697228
K13694	9.758697228
K10563	9.750052394
K01579	9.727156144
K01438	9.716370915
K11537	9.716370915
K16089	9.707409662
K03606	9.683443791
K09015	9.65597054
K03453	9.652208951
K03744	9.627083451
K03827	9.607404991
K08223	9.55636587
K09014	9.550938128
K01057	9.545594057
K11720	9.532541288
K04656	9.440681274
K04654	9.439305196
K07405	9.361032083
K08717	9.242164745
K00895	9.22087186
K01858	9.192164895
K08999	9.151238567
K06211	9.095572387
K19091	9.070531915
K00943	9.063245002
K00657	9.041233951
K01960	9.040031624
K07164	9.006546924
K04518	8.99407133
K09758	8.991066738
K01802	8.970889626
K00883	8.958011451
K00605	8.952792245
K02795	8.931570462
K00979	8.904475014
K03305	8.900289717
K03270	8.888305621
K00818	8.825035046
K00425	8.806012188
K00426	8.806012188
K01297	8.806012188
K16055	8.789111488
K03590	8.737423098
K03455	8.726949709
K12373	8.721579772
K18785	8.716284052
K12343	8.708794229
K01173	8.707523332
K03620	8.707376614
K09939	8.707376614
K00208	8.653041824
K02430	8.640764294
K03577	8.640764294
K03656	8.640764294
K00346	8.633096273
K00347	8.633096273
K00348	8.633096273
K00349	8.633096273
K00350	8.633096273
K00351	8.633096273
K03490	8.633096273
K07102	8.633096273
K15984	8.629920804
K13043	8.619576851
K02426	8.592534371
K09011	8.497561704
K04042	8.490620123
K09789	8.482960764
K15726	8.44683261
K07713	8.426623993
K04516	8.418059501
K00033	8.409109568
K09922	8.402929073
K05970	8.353502169
K00036	8.33107793
K15727	8.320376783
K00257	8.30205593
K01144	8.289249892
K01277	8.289249892
K01785	8.285871587
K02796	8.281888835
K03530	8.271959495
K13993	8.240130594
K00901	8.209069994
K07250	8.208157747
K02445	8.203082519
K00130	8.144995039
K18139	8.140202497
K00963	8.120396631
K01195	8.066610348
K02169	8.066610348
K02897	8.066610348
K09793	8.066610348
K01372	8.066078718
K01278	8.05888909
K09797	8.05888909
K18930	8.022573227
K07027	7.955876643
K01442	7.942672653
K01476	7.928195985
K06975	7.905505721
K01834	7.891615654
K11717	7.879813715
K02548	7.844025832
K03605	7.837742683
K01935	7.827542288
K02221	7.827542288
K01218	7.817915673
K03644	7.67403183
K01201	7.65548807
K01791	7.631573157
K00980	7.601968271
K06908	7.585701916
K04047	7.459037851
K01066	7.431035553
K00996	7.413735564
K00382	7.398707934
K17836	7.394915986
K01077	7.392376459
K02217	7.385231241
K01679	7.354206866
K02761	7.343226788
K04653	7.31994179
K02760	7.251998572
K00832	7.229950529
K01126	7.202488439
K05985	7.154782893
K02759	7.141600506
K01101	7.139523223
K01807	7.139523223
K03048	7.139523223
K03346	7.139523223
K06948	7.139523223
K08724	7.139523223
K09976	7.139523223
K11144	7.139523223
K02240	7.138255012
K02243	7.138255012
K18692	7.138255012
K07273	7.135621952
K16509	7.135621952
K03801	7.128176197
K03451	7.106503243
K05340	7.077242772
K00798	7.073276238
K08191	7.063087107
K00564	7.051040319
K01246	7.050458523
K00560	7.045861503
K07386	7.039358194
K06281	7.03861556
K06282	7.03861556
K03648	7.021656733
K08138	7.020436938
K03733	6.994584266
K06885	6.992710099
K03701	6.9824111
K01424	6.882755045
K01547	6.882755045
K01548	6.882755045
K18478	6.882755045
K07403	6.880729564
K08659	6.863059668
K04655	6.84265431
K01546	6.8279193
K01181	6.803146666
K07496	6.779087711
K01744	6.775579141
K02913	6.771905409
K12251	6.769917592
K03719	6.767701509
K02236	6.764284045
K05346	6.752935842
K07029	6.752935842
K02428	6.736633771
K10254	6.735287272
K02086	6.715871173
K09861	6.709142144
K07304	6.676376781
K05516	6.676059535
K11741	6.655218675
K01580	6.642947752
K02245	6.625697076
K06286	6.624766448
K13678	6.624766448
K06199	6.614920295
K06934	6.614920295
K04094	6.577020624
K00847	6.556511704
K03975	6.556511704
K09963	6.549666907
K03817	6.541684621
K00563	6.539865156
K01787	6.535316777
K01159	6.512955139
K01256	6.503653761
K09698	6.479255577
K03386	6.476048572
K00259	6.473932489
K14445	6.473932489
K03616	6.473692898
K00872	6.471196666
K10040	6.467081501
K07406	6.466326391
K00841	6.462254533
K07056	6.460143164
K03092	6.455111812
K01589	6.450462111
K00951	6.442368234
K18104	6.442368234
K03316	6.4250065
K08161	6.419215762
K02069	6.417268611
K01895	6.409618983
K00226	6.407800915
K02248	6.407749704
K03543	6.407749704
K02441	6.407109609
K01142	6.396803701
K00566	6.392858093
K03697	6.391966219
K07177	6.389666376
K01153	6.375676068
K03799	6.363856117
K03471	6.361205295
K00791	6.359664319
K10041	6.356442961
K09790	6.349983394
K02851	6.348090928
K07220	6.34564107
K09384	6.341687875
K04763	6.341023453
K02204	6.337769806
K06994	6.33465834
K07118	6.331559028
K05363	6.311067963
K00992	6.298014618
K16165	6.298014618
K00685	6.295265323
K13714	6.292319098
K00526	6.272042444
K02777	6.272042444
K05822	6.268563752
K07025	6.256895035
K02191	6.251192149
K02825	6.251192149
K03296	6.251192149
K03399	6.251192149
K00691	6.245422177
K10039	6.232699011
K00641	6.221909349
K01966	6.209975092
K16209	6.209975092
K16235	6.209975092
K01258	6.197807682
K01676	6.185840862
K03647	6.185840862
K03315	6.178152784
K01784	6.167938443
K06148	6.156536236
K02794	6.148627766
K05306	6.148030324
K02793	6.146595083
K01597	6.144815062
K00244	6.140453196
K01304	6.136052425
K00567	6.123765318
K01447	6.12224448
K01223	6.120685704
K03492	6.120174851
K01928	6.11943625
K08969	6.113232909
K02077	6.098913021
K01684	6.09612446
K00054	6.093898045
K00055	6.093898045
K00523	6.093898045
K00867	6.093898045
K00869	6.093898045
K00938	6.093898045
K00942	6.093898045
K01071	6.093898045
K01119	6.093898045
K01281	6.093898045
K01641	6.093898045
K01713	6.093898045
K02082	6.093898045
K02242	6.093898045
K02244	6.093898045
K02246	6.093898045
K02440	6.093898045
K03095	6.093898045
K03195	6.093898045
K03196	6.093898045
K03200	6.093898045
K03203	6.093898045
K03204	6.093898045
K03293	6.093898045
K03367	6.093898045
K03739	6.093898045
K03740	6.093898045
K06020	6.093898045
K06198	6.093898045
K06441	6.093898045
K08323	6.093898045
K08987	6.093898045
K12069	6.093898045
K12071	6.093898045
K12081	6.093898045
K12267	6.093898045
K12555	6.093898045
K12685	6.093898045
K13531	6.093898045
K13796	6.093898045
K14188	6.093898045
K14267	6.093898045
K14987	6.093898045
K15270	6.093898045
K16169	6.093898045
K16216	6.093898045
K16267	6.093898045
K16929	6.093898045
K18130	6.093898045
K18926	6.093898045
K19005	6.093898045
K19340	6.093898045
K19341	6.093898045
K19342	6.093898045
K02859	6.093640587
K04772	6.082796777
K12553	6.082796777
K03319	6.076275624
K07009	6.072992763
K01092	6.072662708
K03199	6.072662708
K07218	6.072662708
K10711	6.065272405
K03282	6.056331418
K07078	6.055682766
K03311	6.054308031
K13038	6.043893763
K02074	6.032310945
K02075	6.032310945
K03322	6.032310945
K00845	6.029543007
K11712	6.029308262
K01187	6.024302191
K06013	6.018178522
K13041	6.018178522
K01730	6.002677423
K02113	6.000549474
K13040	6.000549474
K17363	6.000549474
K02356	5.99861408
K00364	5.995782328
K01956	5.995782328
K03294	5.976501017
K00887	5.969900307
K09685	5.969900307
K05823	5.959844404
K01243	5.941974478
K16925	5.941583876
K19545	5.941583876
K00760	5.935735071
K07305	5.935735071
K07006	5.930362287
K07696	5.922401842
K00865	5.920396089
K05814	5.897129379
K11695	5.889628676
K01613	5.883156929
K01118	5.875234167
K02804	5.869283214
K00210	5.868171036
K02564	5.863033953
K11104	5.857567542
K00812	5.855787865
K16012	5.855787865
K16013	5.855787865
K18928	5.855787865
K18929	5.855787865
K19050	5.855787865
K19048	5.849196588
K00853	5.838960394
K19002	5.838960394
K11694	5.837118695
K03654	5.836832295
K19689	5.835953213
K01621	5.814561894
K13923	5.794726758
