feature	rank
K02068	5.921116463
K02069	5.800305428
K19091	5.652161191
K07455	4.707204983
K01200	4.542893228
K00895	4.375049083
K01476	4.218097998
K01155	4.016260043
K00042	3.965899588
K09691	3.927103003
K07013	3.911357514
K09835	3.911357514
K15873	3.793966278
K00657	3.684695177
K10819	3.660658733
K09690	3.656693454
K00917	3.6265026
K03388	3.599612818
K03389	3.599612818
K03390	3.599612818
K09116	3.566089269
K12990	3.529238539
K18149	3.476948811
K00123	3.449132264
K01638	3.388295549
K02019	3.38406629
K07048	3.373097664
K01903	3.372628826
K18866	3.276781615
K09800	3.275332476
K13252	3.257799463
K13256	3.253910878
K10188	3.250121897
K07219	3.238670594
K03578	3.176251552
K07278	3.16319288
K07273	3.162200388
K06177	3.135848113
K00394	3.118035621
K00395	3.118035621
K10797	3.111226148
K01414	3.087398731
K02379	3.071146852
K06966	3.025331432
K01750	3.022644242
K02551	3.016263276
K07112	3.014555157
K01007	3.008289007
K18480	2.991227598
K01195	2.974462645
K00102	2.965808494
K06016	2.965808494
K10678	2.965134893
K00952	2.92540829
K07321	2.92267278
K02280	2.916030673
K10804	2.907318528
K19244	2.907318528
K16139	2.897063422
K02586	2.89004638
K02591	2.89004638
K10190	2.886025279
K00980	2.877163685
K02585	2.877163685
K01599	2.874624488
K02107	2.860637626
K09696	2.860637626
K09697	2.860637626
K14654	2.859542946
K14445	2.852100845
K09760	2.846990994
K02429	2.846764911
K08302	2.842155016
K06929	2.840818276
K06041	2.827581423
K19510	2.819310832
K06978	2.811254403
K01205	2.802019696
K12506	2.79603148
K00344	2.790428799
K07343	2.781098662
K06877	2.772827913
K11214	2.770266024
K00897	2.761704447
K16915	2.761154342
K10189	2.758802966
K03286	2.751553047
K02083	2.751210962
K07213	2.742807071
K00275	2.739052194
K06075	2.71991514
K02279	2.717205486
K02443	2.710995735
K05873	2.694602574
K07148	2.687704435
K14440	2.682204644
K00856	2.66341644
K04754	2.663219097
K07323	2.663219097
K08304	2.663219097
K09937	2.663219097
K17195	2.66019772
K02592	2.657123137
K09729	2.654532925
K07469	2.647266747
K07181	2.646656925
K09759	2.639459006
K03641	2.632052069
K05820	2.631258788
K10710	2.63109483
K01805	2.622970112
K06937	2.622623567
K02302	2.617130881
K03089	2.611155495
K16248	2.609945037
K03562	2.59423576
K05805	2.59423576
K14261	2.59423576
K02589	2.591515188
K02590	2.591515188
K01176	2.53538262
K05520	2.523757337
K01487	2.519684178
K02858	2.516286249
K08092	2.512337891
K03817	2.507223255
K05788	2.497253924
K01595	2.496138779
K07749	2.491041725
K06204	2.490543372
K03503	2.487688041
K00918	2.487093231
K06188	2.472764428
K10559	2.470830527
K14089	2.4682472
K03738	2.466677699
K14086	2.463420201
K14087	2.463420201
K14088	2.463420201
K14090	2.463420201
K19304	2.454421898
K00060	2.450796145
K00246	2.428128239
K01147	2.428128239
K06189	2.428128239
K00245	2.421445636
K06968	2.421102877
K07710	2.416239317
K05773	2.415016556
K06857	2.415016556
K12941	2.411089815
K09882	2.406484607
K01858	2.404712371
K03658	2.401976262
K16264	2.395221105
K07121	2.394143152
K07803	2.394143152
K09857	2.394143152
K09892	2.394143152
K11179	2.394143152
K01181	2.368931531
K02119	2.358181286
K07862	2.349507668
K07289	2.349087781
K01048	2.337295869
K00879	2.330726189
K00390	2.325478797
K02484	2.325478797
K00437	2.321962344
K06951	2.321962344
K07096	2.321962344
K07168	2.321962344
K11180	2.321962344
K11181	2.321962344
K11646	2.321962344
K11741	2.321962344
K13819	2.321962344
K14091	2.321962344
K18008	2.321962344
K01372	2.320709139
K03305	2.314240204
K09134	2.313274421
K00652	2.312247706
K09858	2.310026578
K05772	2.303402777
K01186	2.301105068
K00241	2.293114538
K02587	2.292098606
K08965	2.290296241
K15539	2.290296241
K01042	2.285163273
K02278	2.27822491
K02380	2.277765475
K14393	2.275706767
K16011	2.275706767
K10974	2.275029089
K02017	2.273568532
K01466	2.269876346
K11261	2.264633993
K03117	2.25460812
K08138	2.25443797
K02386	2.253965603
K02393	2.253965603
K02018	2.245144757
K00265	2.239073421
K02020	2.228536417
K03457	2.2203916
K03970	2.216585367
K03974	2.216585367
K06039	2.216585367
K07799	2.216585367
K09136	2.216585367
K02282	2.211919566
K09740	2.204901128
K11473	2.204016972
K01197	2.200764902
K10795	2.198428819
K10796	2.198428819
K01077	2.198362031
K06281	2.198362031
K06282	2.198362031
K03639	2.196969601
K08999	2.196422954
K07259	2.192048746
K03338	2.189733117
K07386	2.183604616
K03769	2.181517384
K00036	2.178856027
K09935	2.178664134
K01585	2.177444922
K03637	2.177371517
K09251	2.177371517
K12511	2.175651097
K13288	2.17504237
K02011	2.170097858
K03773	2.170097858
K11381	2.167265502
K00240	2.166671902
K07403	2.165269004
K00982	2.164042284
K00124	2.159881154
K10793	2.150879697
K01220	2.144634585
K02788	2.144634585
K11041	2.138554603
K01777	2.133392603
K10794	2.133392603
K06994	2.130823975
K10679	2.125998325
