feature	rank
K06285	23.43836664
K04076	21.44269206
K06382	18.23083425
K06385	18.23083425
K06390	18.23083425
K06392	18.23083425
K06393	18.23083425
K06396	18.23083425
K06397	18.23083425
K06438	18.23083425
K17734	18.23083425
K03660	18.20411343
K06283	18.03798323
K06403	17.90889179
K06404	17.90889179
K02171	17.7752857
K11689	17.59470155
K18119	17.5699917
K01567	17.49707848
K06310	17.42114148
K06381	17.42114148
K07452	17.39445246
K07464	17.39445246
K04769	17.35437617
K06012	17.35437617
K06379	17.35437617
K06398	17.35437617
K06399	17.35437617
K06405	17.35437617
K06406	17.35437617
K13653	17.17434549
K19309	17.17434549
K03088	17.12810203
K19310	17.12810203
K09779	17.09708557
K06409	17.063524
K08384	17.01059684
K06394	16.94460222
K05341	16.76656803
K03091	16.73798734
K10118	16.73798734
K12992	16.73155359
K11358	16.66233331
K09163	16.59294383
K02107	16.58683476
K07576	16.58683476
K02117	16.56430598
K02118	16.56430598
K02120	16.56430598
K02123	16.56430598
K02124	16.56430598
K03205	16.54744255
K07079	16.54408964
K07033	16.51946447
K07814	16.49926017
K10119	16.49926017
K06334	16.43322038
K07979	16.42805944
K09989	16.41279953
K06387	16.24980616
K00533	16.1423853
K04070	16.08948604
K01571	16.0321237
K02122	16.0321237
K06606	16.03039444
K15533	16.00807136
K07727	15.97874719
K05364	15.96352127
K06298	15.96352127
K06987	15.96352127
K19165	15.94256146
K10117	15.89451782
K11184	15.88845662
K17246	15.87933287
K01596	15.86377718
K02172	15.86377718
K06407	15.81139268
K09777	15.81139268
K07699	15.73026825
K19294	15.70642396
K06333	15.69445859
K06378	15.67145772
K01654	15.66447089
K07736	15.66447089
K09803	15.6283766
K00595	15.62430496
K16850	15.60939597
K09153	15.56500186
K02119	15.56199929
K02385	15.56199929
K12257	15.53266932
K00978	15.49097651
K16698	15.48929231
K01677	15.48111258
K01678	15.48111258
K01709	15.38847951
K13940	15.37905276
K12510	15.36500592
K09691	15.35465099
K01163	15.28659661
K02051	15.23074747
K00558	15.0679105
K06972	15.0679105
K07718	15.0679105
K10202	15.0679105
K06373	15.02313367
K06209	14.99682264
K03410	14.98692195
K00620	14.98477704
K17318	14.90090818
K04720	14.89693686
K01740	14.86621787
K01761	14.86621787
K02026	14.86621787
K03411	14.86621787
K07183	14.84200655
K02502	14.81659471
K07720	14.81320014
K01039	14.80830802
K01040	14.80830802
K06923	14.80076617
K02025	14.79603908
K06374	14.79603908
K10907	14.79603908
K17319	14.74761566
K09702	14.69556391
K17320	14.67761096
K00248	14.52060429
K02304	14.52060429
