feature,Enzyme_name,Description,Pathway_ID,Pathway_Name,L2 (Superpathway)
K00001,"E1.1.1.1, adh",alcohol dehydrogenase [EC:1.1.1.1],ko00010,Glycolysis / Gluconeogenesis,Carbohydrate Metabolism
K00001,"E1.1.1.1, adh",alcohol dehydrogenase [EC:1.1.1.1],ko00071,Fatty acid degradation,Lipid Metabolism
K00001,"E1.1.1.1, adh",alcohol dehydrogenase [EC:1.1.1.1],ko00350,Tyrosine metabolism,Amino Acid Metabolism
K00001,"E1.1.1.1, adh",alcohol dehydrogenase [EC:1.1.1.1],ko00625,Chloroalkane and chloroalkene degradation,Xenobiotics Biodegradation and Metabolism
K00001,"E1.1.1.1, adh",alcohol dehydrogenase [EC:1.1.1.1],ko00626,Naphthalene degradation,Xenobiotics Biodegradation and Metabolism
K00001,"E1.1.1.1, adh",alcohol dehydrogenase [EC:1.1.1.1],ko00830,Retinol metabolism,Metabolism of Cofactors and Vitamins
K00001,"E1.1.1.1, adh",alcohol dehydrogenase [EC:1.1.1.1],ko00980,Metabolism of xenobiotics by cytochrome P450,Xenobiotics Biodegradation and Metabolism
K00001,"E1.1.1.1, adh",alcohol dehydrogenase [EC:1.1.1.1],ko00982,Drug metabolism - cytochrome P450,Xenobiotics Biodegradation and Metabolism
K00001,"E1.1.1.1, adh",alcohol dehydrogenase [EC:1.1.1.1],ko01220,Degradation of aromatic compounds,#N/A
K00002,"AKR1A1, adh",alcohol dehydrogenase (NADP+) [EC:1.1.1.2],ko00010,Glycolysis / Gluconeogenesis,Carbohydrate Metabolism
K00002,"AKR1A1, adh",alcohol dehydrogenase (NADP+) [EC:1.1.1.2],ko00040,Pentose and glucuronate interconversions,Carbohydrate Metabolism
K00002,"AKR1A1, adh",alcohol dehydrogenase (NADP+) [EC:1.1.1.2],ko00561,Glycerolipid metabolism,Lipid Metabolism
K00002,"AKR1A1, adh",alcohol dehydrogenase (NADP+) [EC:1.1.1.2],ko00930,Caprolactam degradation,Xenobiotics Biodegradation and Metabolism
K00002,"AKR1A1, adh",alcohol dehydrogenase (NADP+) [EC:1.1.1.2],ko01220,Degradation of aromatic compounds,#N/A
