feature,coef,annotation
K03272,0.3458140852,Lipopolysaccharide biosynthesis
K02535,0.3210893837,Lipopolysaccharide biosynthesis
K03280,0.6091250262,Lipopolysaccharide biosynthesis
K03274,0.3098850423,Lipopolysaccharide biosynthesis
K02303,0.6630643633,Porphyrin and chlorophyll metabolism
K01698,0.3142876778,Porphyrin and chlorophyll metabolism
K01845,0.3051246354,Porphyrin and chlorophyll metabolism
K02492,0.3199346828,Porphyrin and chlorophyll metabolism
K02224,0.2980372008,Porphyrin and chlorophyll metabolism
K01749,0.2937840803,Porphyrin and chlorophyll metabolism
K05936,0.2884158071,Porphyrin and chlorophyll metabolism
K06042,0.2852182494,Porphyrin and chlorophyll metabolism
K00768,0.2685875587,Porphyrin and chlorophyll metabolism
K02233,0.2591070988,Porphyrin and chlorophyll metabolism
K03394,0.3030957377,Porphyrin and chlorophyll metabolism
K02227,0.258602878,Porphyrin and chlorophyll metabolism
K02191,0.5525176567,Porphyrin and chlorophyll metabolism
K03399,0.5525176567,Porphyrin and chlorophyll metabolism
K09882,0.349861799,Porphyrin and chlorophyll metabolism
K02231,0.2518494696,Porphyrin and chlorophyll metabolism
K02304,0.2909931246,Porphyrin and chlorophyll metabolism
K05895,0.3641540991,Porphyrin and chlorophyll metabolism
K00798,0.2812369809,Porphyrin and chlorophyll metabolism
K02190,0.2873895363,Porphyrin and chlorophyll metabolism
K05934,0.2689421731,Porphyrin and chlorophyll metabolism
K02189,0.2638418119,Porphyrin and chlorophyll metabolism
K01599,0.2688280399,Porphyrin and chlorophyll metabolism
K02188,0.2428761416,Porphyrin and chlorophyll metabolism
K02232,0.246352225,Porphyrin and chlorophyll metabolism
K13542,0.2223808791,Porphyrin and chlorophyll metabolism
K02226,0.2077705086,Porphyrin and chlorophyll metabolism
K04720,0.2247051796,Porphyrin and chlorophyll metabolism
K11785,0.37446774,Ubiquinone and other terpenoid-quinone biosynthesis
K11782,0.3720959427,Ubiquinone and other terpenoid-quinone biosynthesis
K11784,0.3541632286,Ubiquinone and other terpenoid-quinone biosynthesis
K03179,0.2685589813,Ubiquinone and other terpenoid-quinone biosynthesis
K11783,0.4120398719,Ubiquinone and other terpenoid-quinone biosynthesis
K00355,0.4218379732,Ubiquinone and other terpenoid-quinone biosynthesis
K03182,0.2022507552,Ubiquinone and other terpenoid-quinone biosynthesis
K08680,0.4284572117,Ubiquinone and other terpenoid-quinone biosynthesis
K02549,0.348933566,Ubiquinone and other terpenoid-quinone biosynthesis
K02552,0.3568161888,Ubiquinone and other terpenoid-quinone biosynthesis
K03183,0.1928217102,Ubiquinone and other terpenoid-quinone biosynthesis
K01911,0.2402092951,Ubiquinone and other terpenoid-quinone biosynthesis
K01661,0.2368104066,Ubiquinone and other terpenoid-quinone biosynthesis
K03186,0.1606186999,Ubiquinone and other terpenoid-quinone biosynthesis
