NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	K12373	40	4.546422958374023	0.002875361	Yes	
row_1	K01809	93	4.259353160858154	0.0016952975	Yes	
row_2	K01791	106	4.208400726318359	0.014033315	Yes	
row_3	K01787	118	4.139011383056641	0.026709285	Yes	
row_4	K08678	120	4.125072002410889	0.042764775	Yes	
row_5	K07106	165	4.0324482917785645	0.044288326	Yes	
row_6	K02564	203	3.8498706817626953	0.048177544	Yes	
row_7	K01840	242	3.720262289047241	0.051728807	Yes	
row_8	K01639	256	3.660013437271118	0.06372888	Yes	
row_9	K01198	281	3.573643922805786	0.07201147	Yes	
row_10	K00845	298	3.5311222076416016	0.08299768	Yes	
row_11	K00849	337	3.3753459453582764	0.08654894	Yes	
row_12	K13016	341	3.3644180297851562	0.101928525	Yes	
row_13	K02377	526	2.9597079753875732	0.0561388	Yes	
row_14	K00820	537	2.944706678390503	0.06915272	Yes	
row_15	K00847	558	2.930006504058838	0.07878712	Yes	
row_16	K00975	563	2.9217002391815186	0.09382875	Yes	
row_17	K01788	566	2.9173991680145264	0.10954629	Yes	
row_18	K01835	570	2.910285234451294	0.124925874	Yes	
row_19	K00075	574	2.904230833053589	0.14030546	Yes	
row_20	K01810	752	2.8153953552246094	0.0968814	Yes	
row_21	K01784	785	2.8039140701293945	0.10246038	Yes	
row_22	K00790	798	2.796603202819824	0.11479839	Yes	
row_23	K00523	961	2.5764026641845703	0.076443605	Yes	
row_24	K00012	1011	2.5397024154663086	0.0762774	Yes	
row_25	K08679	1069	2.4632606506347656	0.073407575	Yes	
row_26	K01709	1251	2.267634153366089	0.028631702	Yes	
row_27	K02795	1252	2.2672929763793945	0.045025144	Yes	
row_28	K00844	1265	2.243767499923706	0.05736316	Yes	
row_29	K02796	1268	2.2426252365112305	0.073080696	Yes	
row_30	K01183	1287	2.2177391052246094	0.083391	Yes	
row_31	K01443	1322	2.1725611686706543	0.088294074	Yes	
row_32	K00965	1327	2.1696736812591553	0.10333571	Yes	
row_33	K04042	1328	2.1694412231445312	0.119729154	Yes	
row_34	K12452	1348	2.134517192840576	0.12970151	Yes	
row_35	K01207	1369	2.0933799743652344	0.1393359	Yes	
row_36	K03431	1412	2.0441994667053223	0.14153536	Yes	
row_37	K06859	1424	2.040334939956665	0.15421133	Yes	
row_38	K02473	1449	1.9990298748016357	0.16249393	Yes	
row_39	K00978	1525	1.9162079095840454	0.15354097	Yes	
row_40	K01654	1578	1.836693286895752	0.1523609	Yes	
row_41	K00971	1605	1.7855947017669678	0.15996759	Yes	
row_42	K00963	1671	1.699328899383545	0.15439415	Yes	
row_43	K02794	1685	1.6835408210754395	0.16639422	Yes	
row_44	K13018	1696	1.6708590984344482	0.17940813	Yes	
row_45	K00983	1721	1.6342328786849976	0.18769073	Yes	
row_46	K13010	1795	1.5394736528396606	0.17941368	Yes	
row_47	K01711	1841	1.4597307443618774	0.18059927	Yes	
row_48	K02474	1887	1.3801794052124023	0.18178488	Yes	
row_49	K01209	1900	1.3573189973831177	0.1941229	Yes	
row_50	K02777	1969	1.217272162437439	0.1875356	Yes	
row_51	K02793	1971	1.2149128913879395	0.2035911	Yes	
row_52	K10012	2390	0.5639439225196838	0.078720585	No	
row_53	K02765	2436	0.4990401864051819	0.07990619	No	
row_54	K02779	2566	0.30293262004852295	0.05270382	No	
row_55	K13019	2632	0.22925978899002075	0.04713038	No	
row_56	K00972	2636	0.22712750732898712	0.06250996	No	
row_57	K02472	2719	0.13882306218147278	0.05119134	No	
row_58	K10011	2731	0.13832269608974457	0.06386731	No	
row_59	K13015	2740	0.13009849190711975	0.07755714	No	
row_60	K02804	2806	0.07970021665096283	0.071983695	No	
