NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	K01893	349	3.337306022644043	-0.08338907	Yes	
row_1	K02433	395	3.242361545562744	-0.0651059	Yes	
row_2	K02435	399	3.2380645275115967	-0.032775912	Yes	
row_3	K02434	400	3.2366011142730713	5.574239E-4	Yes	
row_4	K01876	453	3.122455358505249	0.016499456	Yes	
row_5	K01874	555	2.9354639053344727	0.016053528	Yes	
row_6	K01866	627	2.8198060989379883	0.025641043	Yes	
row_7	K01868	628	2.8198060989379883	0.058974378	Yes	
row_8	K01869	629	2.8198060989379883	0.09230772	Yes	
row_9	K01870	630	2.8198060989379883	0.12564105	Yes	
row_10	K01883	631	2.8198060989379883	0.15897438	Yes	
row_11	K01889	632	2.8198060989379883	0.19230773	Yes	
row_12	K01890	633	2.8198060989379883	0.22564106	Yes	
row_13	K01892	634	2.8198060989379883	0.2589744	Yes	
row_14	K04567	723	2.8198060989379883	0.26287627	Yes	
row_15	K01867	738	2.81954026222229	0.29152736	Yes	
row_16	K01875	739	2.81954026222229	0.3248607	Yes	
row_17	K01887	754	2.8150923252105713	0.35351175	Yes	
row_18	K01873	772	2.809483528137207	0.38115945	Yes	
row_19	K01881	787	2.803778886795044	0.4098105	Yes	
row_20	K01872	1036	2.504567861557007	0.3602007	No	
row_21	K00604	1076	2.4542646408081055	0.38049057	No	
row_22	K09759	1211	2.3057973384857178	0.36900786	No	
row_23	K09698	1349	2.1344592571258545	0.3565218	No	
row_24	K01880	1545	1.8840183019638062	0.32463774	No	
row_25	K01885	1756	1.5915592908859253	0.28773695	No	
row_26	K01878	1966	1.224501371383667	0.25117064	No	
row_27	K01879	1967	1.224501371383667	0.28450397	No	
row_28	K01886	2231	0.8077667355537415	0.22987744	No	
row_29	K01042	2701	0.16049756109714508	0.10635459	No	
