NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	K03648	240	3.7286176681518555	-0.0028906874	Yes	
row_1	K01142	257	3.656219005584717	0.068711475	Yes	
row_2	K01246	274	3.594130039215088	0.14031364	Yes	
row_3	K10563	564	2.9217002391815186	0.121127635	Yes	
row_4	K02335	639	2.8198060989379883	0.17344147	Yes	
row_5	K03652	710	2.8198060989379883	0.22708553	Yes	
row_6	K07462	730	2.8198060989379883	0.29769003	Yes	
row_7	K01972	871	2.6838152408599854	0.32805508	Yes	
row_8	K10773	875	2.6768131256103516	0.4039805	Yes	
row_9	K03660	1681	1.6883857250213623	0.21319489	No	
row_10	K01151	1840	1.462565541267395	0.2375739	No	
row_11	K03575	1909	1.3413206338882446	0.29188308	No	
row_12	K01247	2287	0.7061522006988525	0.24343203	No	
