NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	K03655	194	3.901796817779541	-0.019255262	Yes	
row_1	K03111	287	3.5545029640197754	-0.00448784	Yes	
row_2	K02342	338	3.372684955596924	0.02428892	Yes	
row_3	K02337	587	2.882023334503174	-0.012978349	Yes	
row_4	K02335	639	2.8198060989379883	0.015464857	Yes	
row_5	K02340	640	2.8198060989379883	0.060919404	Yes	
row_6	K02341	641	2.8198060989379883	0.10637395	Yes	
row_7	K02343	642	2.8198060989379883	0.1518285	Yes	
row_8	K03550	703	2.8198060989379883	0.1772697	Yes	
row_9	K03551	704	2.8198060989379883	0.22272424	Yes	
row_10	K03584	705	2.8198060989379883	0.2681788	Yes	
row_11	K04066	720	2.8198060989379883	0.30896357	Yes	
row_12	K06187	724	2.8198060989379883	0.35341746	Yes	
row_13	K07462	730	2.8198060989379883	0.39720422	Yes	
row_14	K02338	749	2.815779447555542	0.43665475	Yes	
row_15	K03553	789	2.803778886795044	0.46910062	Yes	
row_16	K03629	804	2.7940139770507812	0.5098854	Yes	
row_17	K03763	833	2.7575225830078125	0.54600036	Yes	
row_18	K03581	1047	2.498476982116699	0.52040756	No	
row_19	K01159	1993	1.1824467182159424	0.25065196	No	
row_20	K02339	2814	0.07751572132110596	0.022590823	No	
row_21	K02686	2960	0.01097868476063013	0.019679792	No	
