NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	K07719	35	4.60081148147583	-0.0024830508	No	
row_1	K01546	82	4.289650917053223	-0.008739687	No	
row_2	K01547	83	4.289650917053223	7.841233E-4	No	
row_3	K01548	84	4.289650917053223	0.010307933	No	
row_4	K07704	151	4.048264980316162	-0.0028097657	No	
row_5	K07717	196	3.8785810470581055	-0.008380295	No	
row_6	K07646	199	3.870882511138916	4.5740834E-4	No	
row_7	K02040	255	3.660499334335327	-0.008886706	No	
row_8	K07667	419	3.1901869773864746	-0.055280562	No	
row_9	K07706	425	3.1809775829315186	-0.04747202	No	
row_10	K13927	432	3.1693170070648193	-0.040006526	No	
row_11	K07705	448	3.138456106185913	-0.035628516	No	
row_12	K01644	481	3.0614912509918213	-0.037082408	No	
row_13	K01915	505	2.9964497089385986	-0.03544882	No	
row_14	K00027	591	2.873068332672119	-0.055084527	No	
row_15	K02313	638	2.8198060989379883	-0.061341163	No	
row_16	K01643	794	2.7976462841033936	-0.104990594	No	
row_17	K00692	822	2.779912233352661	-0.10472922	No	
row_18	K07699	845	2.732699155807495	-0.10275258	No	
row_19	K01646	880	2.673698663711548	-0.104892574	No	
row_20	K07696	885	2.6628007888793945	-0.09674098	No	
row_21	K07260	890	2.6534104347229004	-0.088589385	No	
row_22	K04771	916	2.623234987258911	-0.0876419	No	
row_23	K02650	930	2.6148996353149414	-0.08257778	No	
row_24	K07668	954	2.587602376937866	-0.080944195	No	
row_25	K02667	1029	2.5180091857910156	-0.09680632	No	
row_26	K07652	1066	2.4686012268066406	-0.09963243	No	
row_27	K01910	1093	2.4284093379974365	-0.099028	No	
row_28	K09696	1096	2.422529697418213	-0.09019029	No	
row_29	K09697	1097	2.422529697418213	-0.08066648	No	
row_30	K07777	1099	2.420567512512207	-0.07148573	No	
row_31	K11712	1153	2.356381416320801	-0.080143735	No	
row_32	K11690	1184	2.332540273666382	-0.08091152	No	
row_33	K07770	1186	2.3285529613494873	-0.07173076	No	
row_34	K07650	1194	2.3202173709869385	-0.06460833	No	
row_35	K13041	1212	2.3057973384857178	-0.06091642	No	
row_36	K07793	1219	2.3020880222320557	-0.053450927	No	
row_37	K07794	1260	2.252713441848755	-0.057649244	No	
row_38	K07707	1310	2.190824031829834	-0.06493504	No	
row_39	K07813	1326	2.1698555946350098	-0.060557026	No	
row_40	K13040	1332	2.1657023429870605	-0.052748483	No	
row_41	K07636	1341	2.1546764373779297	-0.0459691	No	
row_42	K00244	1360	2.1059062480926514	-0.042620245	No	
row_43	K13924	1362	2.097346782684326	-0.03343949	No	
row_44	K07775	1447	2.0015993118286133	-0.052732147	No	
row_45	K00425	1473	1.973031759262085	-0.051784664	No	
row_46	K00426	1474	1.973031759262085	-0.042260855	No	
row_47	K07783	1476	1.9716075658798218	-0.033080097	No	
row_48	K01077	1676	1.6918928623199463	-0.09182387	No	
row_49	K11615	1704	1.6588270664215088	-0.091562495	No	
row_50	K00626	1762	1.5860377550125122	-0.10159271	No	
row_51	K11614	1775	1.5636039972305298	-0.09618554	No	
row_52	K07658	1778	1.5626832246780396	-0.087347835	No	
row_53	K12292	1800	1.531062364578247	-0.08502815	No	
row_54	K03092	1846	1.4578742980957031	-0.09094173	No	
row_55	K00374	1866	1.4068166017532349	-0.08793593	No	
row_56	K07718	1996	1.17876398563385	-0.12266598	No	
row_57	K07720	2049	1.098146915435791	-0.13098094	No	
row_58	K04751	2065	1.0734028816223145	-0.12660292	No	
row_59	K11689	2137	0.9514110684394836	-0.14143588	No	
row_60	K02584	2183	0.8805184364318848	-0.14734946	No	
row_61	K07713	2260	0.770716667175293	-0.1638977	No	
row_62	K00245	2315	0.6582632660865784	-0.17289875	Yes	
row_63	K00246	2317	0.6564401984214783	-0.163718	Yes	
row_64	K00370	2320	0.6562496423721313	-0.1548803	Yes	
row_65	K00371	2321	0.6562496423721313	-0.14535649	Yes	
row_66	K00373	2322	0.6562496423721313	-0.13583268	Yes	
row_67	K07778	2407	0.5394326448440552	-0.15512533	Yes	
row_68	K07693	2438	0.4959716498851776	-0.15589312	Yes	
row_69	K03415	2478	0.453146368265152	-0.15974838	Yes	
row_70	K07792	2480	0.449468731880188	-0.15056762	Yes	
row_71	K05966	2510	0.39734601974487305	-0.15099236	Yes	
row_72	K07709	2553	0.3198220431804657	-0.15587679	Yes	
row_73	K07657	2574	0.2906957268714905	-0.15321404	Yes	
row_74	K03406	2588	0.27184903621673584	-0.14814992	Yes	
row_75	K05964	2637	0.2251780480146408	-0.15509266	Yes	
row_76	K03413	2643	0.21586212515830994	-0.14728412	Yes	
row_77	K07799	2675	0.18555577099323273	-0.14839496	Yes	
row_78	K03408	2686	0.17687161266803741	-0.14230168	Yes	
row_79	K10914	2692	0.1691434532403946	-0.13449313	Yes	
row_80	K08641	2714	0.14596644043922424	-0.13217343	Yes	
row_81	K02556	2744	0.12540720403194427	-0.13259816	Yes	
row_82	K03407	2745	0.125343918800354	-0.12307436	Yes	
row_83	K07787	2763	0.10835995525121689	-0.11938245	Yes	
