NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
RIBOSOME	RIBOSOME	Details ...	55	0.66451013	5.7911105	0.0	0.0	0.0	884	tags=95%, list=29%, signal=131%	
HOMOLOGOUS RECOMBINATION	HOMOLOGOUS RECOMBINATION	Details ...	22	0.54600036	3.0503216	0.0	0.0	0.0	833	tags=82%, list=28%, signal=112%	
DNA REPLICATION	DNA REPLICATION	Details ...	16	0.58938086	2.7960541	0.0	0.0	0.0	871	tags=88%, list=29%, signal=122%	
MISMATCH REPAIR	MISMATCH REPAIR	Details ...	19	0.53554076	2.7802193	0.0	0.0	0.0	935	tags=84%, list=31%, signal=121%	
PYRIMIDINE METABOLISM	PYRIMIDINE METABOLISM	Details ...	54	0.30697283	2.6446316	0.0	3.8866667E-4	0.002	990	tags=63%, list=33%, signal=92%	
AMINOACYL-TRNA BIOSYNTHESIS	AMINOACYL-TRNA BIOSYNTHESIS	Details ...	30	0.4098105	2.6262496	0.0	4.9055554E-4	0.003	787	tags=67%, list=26%, signal=89%	
NUCLEOTIDE EXCISION REPAIR	NUCLEOTIDE EXCISION REPAIR	Details ...	7	0.7129108	2.3191526	0.0	0.0043317527	0.029	871	tags=100%, list=29%, signal=140%	
LYSINE BIOSYNTHESIS	LYSINE BIOSYNTHESIS	Details ...	21	0.41131172	2.2066476	0.0	0.008795454	0.067	635	tags=62%, list=21%, signal=78%	
PURINE METABOLISM	PURINE METABOLISM	Details ...	79	0.19777568	2.0664845	0.0	0.020210702	0.158	870	tags=48%, list=29%, signal=66%	
D-GLUTAMINE AND D-GLUTAMATE METABOLISM	D-GLUTAMINE AND D-GLUTAMATE METABOLISM	Details ...	5	0.69353235	1.8787159	0.0019120459	0.0531495	0.4	928	tags=100%, list=31%, signal=144%	
PEPTIDOGLYCAN BIOSYNTHESIS	PEPTIDOGLYCAN BIOSYNTHESIS	Details ...	28	0.302903	1.8762957	0.0121951215	0.04909721	0.405	1142	tags=68%, list=38%, signal=108%	
