NAME	TITLE	SCORE	
K07507		5.6806593	
K02429		5.522738	
K10536		5.483598	
K19075		5.483598	
K19090		5.483598	
K16264		5.367131	
K02437		5.320404	
K07085		5.1031957	
K00798		5.0697703	
K00899		5.0697703	
K01633		5.0697703	
K12251		5.0697703	
K17733		5.0697703	
K09123		4.890949	
K01081		4.869313	
K00242		4.858316	
K01619		4.858316	
K01682		4.858316	
K03087		4.858316	
K03598		4.858316	
K03747		4.858316	
K06916		4.858316	
K07264		4.858316	
K09159		4.858316	
K11931		4.858316	
K13771		4.858316	
K07473		4.852804	
K09128		4.852804	
K01447		4.8440857	
K00662		4.7980137	
K16211		4.6655016	
K08986		4.6573334	
K01661		4.622293	
K19350		4.622293	
K01911		4.6099677	
K07719		4.6008115	
K03593		4.5770273	
K07171		4.5770273	
K10039		4.5761724	
K12308		4.546423	
K12373		4.546423	
K19055		4.546423	
K03490		4.527446	
K15527		4.5147986	
K00874		4.5032487	
K05970		4.490202	
K01186		4.4843307	
K01200		4.47704	
K03453		4.47704	
K07032		4.463379	
K09861		4.463379	
K16363		4.463379	
K04516		4.439311	
K04095		4.4179845	
K05592		4.4002953	
K01847		4.370816	
K18122		4.3500404	
K07047		4.3456926	
K09939		4.3456926	
K00082		4.3456354	
K00257		4.3456354	
K01442		4.3456354	
K03932		4.3456354	
K15856		4.3456354	
K17076		4.3456354	
K00674		4.3452697	
K01858		4.3452697	
K01259		4.3379545	
K03710		4.3379545	
K00854		4.337721	
K01215		4.3364544	
K01079		4.323264	
K07405		4.323264	
K12952		4.3192573	
K07263		4.318763	
K10041		4.318763	
K18979		4.318763	
K01991		4.314446	
K02844		4.2962832	
K17950		4.292004	
K09011		4.290022	
K01205		4.289651	
K01546		4.289651	
K01547		4.289651	
K01548		4.289651	
K18345		4.289651	
K07341		4.288394	
K12343		4.2718534	
K01144		4.2653213	
K01277		4.2653213	
K11050		4.2653213	
K11051		4.2653213	
K00818		4.259353	
K01809		4.259353	
K01197		4.2490754	
K04518		4.2490754	
K16055		4.2490754	
K01154		4.245484	
K02849		4.245484	
K03772		4.245484	
K10040		4.245484	
K13043		4.245484	
K01426		4.2309413	
K01173		4.221156	
K01206		4.221156	
K06331		4.221156	
K01791		4.2084007	
K17074		4.2015204	
K01270		4.200374	
K13990		4.198619	
K01960		4.188446	
K01187		4.1808777	
K01218		4.1808777	
K04031		4.1787944	
K04761		4.154131	
K01278		4.153351	
K12340		4.153351	
K13542		4.145447	
K01787		4.1390114	
K08218		4.125829	
K08678		4.125072	
K19286		4.1238008	
K01478		4.1235514	
K18785		4.1231933	
K01425		4.122899	
K01322		4.122203	
K03773		4.1208572	
K01182		4.1160274	
K07114		4.1139793	
K18220		4.107431	
K09704		4.1011434	
K16841		4.098185	
K13919		4.093953	
K13920		4.093953	
K01201		4.0919347	
K09797		4.090999	
K07148		4.090624	
K06167		4.089201	
K06910		4.0888944	
K04564		4.088401	
K07273		4.075453	
K07735		4.0546756	
K00980		4.048265	
K01057		4.048265	
K01190		4.048265	
K01699		4.048265	
K01785		4.048265	
K04084		4.048265	
K04762		4.048265	
K06902		4.048265	
K07467		4.048265	
K07704		4.048265	
K07729		4.048265	
K08156		4.048265	
K08717		4.048265	
K09703		4.048265	
K09789		4.048265	
K09793		4.048265	
K18930		4.048265	
K19545		4.048265	
K11996		4.0383525	
K01537		4.038351	
K00605		4.035067	
K15726		4.035067	
K01476		4.0325174	
K07106		4.0324483	
K03313		4.019829	
K09758		4.0183167	
K09384		3.9936922	
K01971		3.9935534	
K16053		3.9935534	
K01473		3.9913886	
K01474		3.9913886	
K07464		3.9913886	
K13922		3.9748104	
K04763		3.974551	
K07491		3.9692714	
K00290		3.9684505	
K00852		3.9634516	
K01953		3.9579737	
K01235		3.95626	
K01420		3.9553983	
K03300		3.948252	
K03486		3.9365413	
K00130		3.9354954	
K13747		3.9308312	
K03775		3.920738	
K15727		3.9197495	
K02278		3.9098048	
K07220		3.9090538	
K01955		3.9076405	
K02039		3.9045196	
K01585		3.9035997	
K09809		3.9035997	
K03655		3.9017968	
K01284		3.8993952	
K07717		3.878581	
K01802		3.8714988	
K05306		3.8714988	
K07646		3.8708825	
K00895		3.8696713	
K00527		3.8523643	
K18369		3.8502567	
K02564		3.8498707	
K01007		3.8378572	
K00254		3.836485	
K02009		3.8323874	
K03530		3.8213153	
K14155		3.8152287	
K05346		3.811989	
K03269		3.8100102	
K07322		3.809115	
K07088		3.797601	
K15923		3.7970324	
K15977		3.7920501	
K06131		3.7882142	
K03307		3.7861514	
K03814		3.7860298	
K01372		3.7858028	
K00385		3.784648	
K16950		3.784648	
K16951		3.784648	
K06911		3.774643	
K03327		3.7701387	
K06013		3.7701387	
K00282		3.764791	
K01153		3.7632267	
K03718		3.7605515	
K03594		3.7581027	
K07024		3.7558053	
K07259		3.7558053	
K02191		3.752262	
K03399		3.752262	
K08177		3.74873	
K00077		3.7427595	
K10979		3.7411287	
K06120		3.740631	
K15534		3.740631	
K02248		3.7391145	
K01759		3.7338116	
K03648		3.7286177	
K07177		3.7286177	
K01840		3.7202623	
K01258		3.7109761	
K09125		3.7009096	
K03427		3.6973917	
K00283		3.6916964	
K01486		3.6906164	
K01751		3.6853483	
K17195		3.6853483	
K01299		3.6817756	
K01438		3.68173	
K00128		3.6804366	
K05825		3.6780407	
K03430		3.6777864	
K02040		3.6604993	
K01639		3.6600134	
K01142		3.656219	
K03817		3.656219	
K16906		3.645342	
K06518		3.640042	
K07347		3.6320443	
K00567		3.61804	
K02484		3.6178815	
K00532		3.6038303	
K00950		3.6038303	
K19172		3.6038303	
K01712		3.6026013	
K00067		3.6019902	
K07045		3.5997932	
K04068		3.5984044	
K09691		3.597341	
K01026		3.595954	
K03183		3.595275	
K01246		3.59413	
K02037		3.584339	
K02038		3.584339	
K00533		3.576872	
K01104		3.576872	
K00917		3.574967	
K11068		3.574967	
K01198		3.573644	
K01304		3.5724835	
K03827		3.569577	
K19159		3.5596986	
K02622		3.5561075	
K01684		3.554503	
K03111		3.554503	
K07221		3.554503	
K02621		3.553517	
K01468		3.5468357	
K11041		3.5416906	
K03547		3.53917	
K06994		3.537309	
K06016		3.5359187	
K15342		3.5352552	
K07386		3.5349903	
K03148		3.5338433	
K00845		3.5311222	
K00848		3.5310922	
K06949		3.523449	
K16089		3.5204191	
K05340		3.518624	
K00571		3.5178454	
K07447		3.51174	
K03801		3.5083463	
K07192		3.5073442	
K03839		3.5057209	
K02954		3.5055504	
K07461		3.5034184	
K19302		3.498104	
K13378		3.4935465	
K03306		3.486677	
K03299		3.4818146	
K12270		3.4809656	
K00005		3.4727376	
K03091		3.4610732	
K00287		3.4589133	
K03976		3.4574487	
K07451		3.4550536	
K01358		3.447518	
K02773		3.4448428	
K00086		3.4425013	
K01424		3.4411223	
K02050		3.4411223	
K17836		3.4260566	
K08282		3.4190235	
K12908		3.4190235	
K06188		3.41884	
K03640		3.4108875	
K10254		3.3914537	
K10708		3.390546	
K02428		3.3887348	
K05593		3.3879242	
