NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	K07250	81	30.190933227539062	-5.9984304E-5	No	
row_1	K00240	169	25.776321411132812	-0.0020737296	No	
row_2	K00239	292	23.58631706237793	-0.015484414	No	
row_3	K00241	341	22.75438117980957	-0.004798713	No	
row_4	K04072	758	19.145275115966797	-0.11394369	No	
row_5	K01641	849	18.591951370239258	-0.116934314	No	
row_6	K00244	954	17.83571434020996	-0.12448372	No	
row_7	K01580	976	17.581945419311523	-0.10500609	No	
row_8	K00242	1066	16.776548385620117	-0.10767109	No	
row_9	K00100	1147	16.1382999420166	-0.10740545	No	
row_10	K01575	1244	15.261648178100586	-0.11234983	No	
row_11	K03366	1438	13.086372375488281	-0.14888002	No	
row_12	K01652	1512	12.076284408569336	-0.14633499	No	
row_13	K00626	1600	11.083235740661621	-0.14834873	No	
row_14	K00656	1704	9.987884521484375	-0.15557252	Yes	
row_15	K01715	1763	9.481083869934082	-0.14814308	Yes	
row_16	K00823	1826	8.707610130310059	-0.14201616	Yes	
row_17	K00074	1864	8.326937675476074	-0.12774856	Yes	
row_18	K07246	1875	8.207467079162598	-0.10468904	Yes	
row_19	K00135	2031	6.675881385803223	-0.12884541	Yes	
row_20	K14534	2033	6.605391502380371	-0.10285524	Yes	
row_21	K00169	2060	6.415456295013428	-0.08500575	Yes	
row_22	K00170	2061	6.415456295013428	-0.058689963	Yes	
row_23	K00172	2062	6.415456295013428	-0.032374173	Yes	
row_24	K01653	2102	6.191847324371338	-0.01875783	Yes	
row_25	K00929	2132	5.961568355560303	-0.0018852188	Yes	
row_26	K00634	2141	5.877474784851074	0.021825556	Yes	
row_27	K01615	2151	5.834832191467285	0.045210704	Yes	
row_28	K00248	2294	4.839484691619873	0.025287483	Yes	
row_29	K00209	2317	4.6420369148254395	0.044439483	Yes	
row_30	K01039	2504	3.182746410369873	0.010188679	Yes	
row_31	K01040	2505	3.182746410369873	0.03650447	Yes	
row_32	K00171	2523	3.0290017127990723	0.0572846	Yes	
row_33	K00245	2751	0.9738790392875671	0.0096831	Yes	
row_34	K00246	2753	0.9702253341674805	0.035673264	Yes	
row_35	K01692	3017	0.07440800964832306	-0.023650806	Yes	
row_36	K01034	3087	0.012461921200156212	-0.019803269	Yes	
row_37	K01035	3088	0.012461921200156212	0.0065125213	Yes	
