NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	K01847	9	40.323097229003906	0.026484935	No	
row_1	K02437	10	38.664512634277344	0.0558967	No	
row_2	K00024	82	30.1361141204834	0.062219035	No	
row_3	K01433	109	27.70071792602539	0.08317551	No	
row_4	K01682	428	20.998687744140625	0.009172641	No	
row_5	K05606	475	20.55049705505371	0.023625055	No	
row_6	K00865	664	19.611385345458984	-0.008101393	No	
row_7	K00600	666	19.607749938964844	0.02098517	No	
row_8	K01915	829	18.71576499938965	-0.0022859948	No	
row_9	K01625	1115	16.37932586669922	-0.06555716	No	
row_10	K01966	1383	13.740796089172363	-0.122974664	No	
row_11	K01091	1596	11.111557960510254	-0.162506	Yes	
row_12	K00626	1600	11.083235740661621	-0.13406983	Yes	
row_13	K01816	1603	11.0398530960083	-0.10530848	Yes	
row_14	K01577	1649	10.63537883758545	-0.090530865	Yes	
row_15	K00048	1798	8.9679536819458	-0.10924918	Yes	
row_16	K07246	1875	8.207467079162598	-0.104552865	Yes	
row_17	K07130	1934	7.5770111083984375	-0.09400289	Yes	
row_18	K00018	1945	7.46314001083374	-0.067843154	Yes	
row_19	K00284	2135	5.940717697143555	-0.09989481	Yes	
row_20	K07248	2369	4.304635524749756	-0.1462554	Yes	
row_21	K00050	2404	3.9779019355773926	-0.12790054	Yes	
row_22	K01638	2419	3.921837568283081	-0.10304163	Yes	
row_23	K01647	2425	3.8555908203125	-0.07525588	Yes	
row_24	K03779	2584	2.530424118041992	-0.09722623	Yes	
row_25	K01681	2590	2.481362819671631	-0.069440484	Yes	
row_26	K03780	2650	1.9199773073196411	-0.05921571	Yes	
row_27	K00123	2740	1.0359241962432861	-0.058747035	Yes	
row_28	K11473	2782	0.7962060570716858	-0.042668603	Yes	
row_29	K00124	2804	0.6444724202156067	-0.020086108	Yes	
row_30	K03781	2822	0.5484269857406616	0.0037972017	Yes	
row_31	K00127	2989	0.15395642817020416	-0.020774774	Yes	
row_32	K00104	3063	0.020637286826968193	-0.015102848	Yes	
row_33	K00042	3100	0.002951441565528512	0.002601599	Yes	
