NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	K10439	1282	6.655383586883545	-0.3574772	No	
row_1	K03411	1835	4.748324394226074	-0.4814291	Yes	
row_2	K03410	1873	4.629632949829102	-0.44063374	Yes	
row_3	K03413	2124	3.769566297531128	-0.46797657	Yes	
row_4	K03415	2193	3.4828109741210938	-0.43709803	Yes	
row_5	K02556	2205	3.435849189758301	-0.38798532	Yes	
row_6	K03406	2230	3.2836315631866455	-0.3430313	Yes	
row_7	K03409	2265	3.0463736057281494	-0.30127624	Yes	
row_8	K03408	2297	2.8748464584350586	-0.25856146	Yes	
row_9	K02557	2306	2.8503401279449463	-0.20848908	Yes	
row_10	K10540	2318	2.7919886112213135	-0.15937637	Yes	
row_11	K02416	2402	2.489250421524048	-0.1332963	Yes	
row_12	K03407	2440	2.2953038215637207	-0.092500925	Yes	
row_13	K02410	2443	2.2819151878356934	-0.04050914	Yes	
row_14	K00575	2501	1.9673641920089722	-0.0061117252	Yes	
row_15	K03412	2554	1.6118196249008179	0.029885177	Yes	
row_16	K02417	2605	1.3588944673538208	0.066521876	Yes	
row_17	K03414	2613	1.3417527675628662	0.11691417	Yes	
row_18	K13924	2670	1.0607428550720215	0.15163149	Yes	
