NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	K02392	2166	3.5905442237854004	-0.66454184	Yes	
row_1	K02556	2205	3.435849189758301	-0.6454987	Yes	
row_2	K02406	2231	3.2575690746307373	-0.6222795	Yes	
row_3	K04562	2245	3.1442196369171143	-0.59520555	Yes	
row_4	K02422	2275	2.9620656967163086	-0.57327133	Yes	
row_5	K02557	2306	2.8503401279449463	-0.55165833	Yes	
row_6	K02388	2333	2.7359185218811035	-0.52876043	Yes	
row_7	K02416	2402	2.489250421524048	-0.5193543	Yes	
row_8	K02410	2443	2.2819151878356934	-0.5009536	Yes	
row_9	K02421	2447	2.275697708129883	-0.47066733	Yes	
row_10	K02412	2449	2.2704873085021973	-0.43973857	Yes	
row_11	K02419	2450	2.2704873085021973	-0.40848857	Yes	
row_12	K02420	2452	2.263627529144287	-0.3775598	Yes	
row_13	K02401	2453	2.249300718307495	-0.3463098	Yes	
row_14	K02397	2463	2.196448802947998	-0.3179509	Yes	
row_15	K02387	2483	2.050938844680786	-0.29280436	Yes	
row_16	K02418	2484	2.050938844680786	-0.26155436	Yes	
row_17	K02396	2486	2.0354247093200684	-0.23062558	Yes	
row_18	K02407	2514	1.8849302530288696	-0.20804888	Yes	
row_19	K02408	2529	1.7563016414642334	-0.18129615	Yes	
row_20	K02386	2552	1.6158360242843628	-0.1571133	Yes	
row_21	K02393	2553	1.6158360242843628	-0.1258633	Yes	
row_22	K02409	2556	1.608180284500122	-0.09525576	Yes	
row_23	K02390	2565	1.565325140953064	-0.06657563	Yes	
row_24	K02411	2582	1.4611467123031616	-0.040465366	Yes	
row_25	K02417	2605	1.3588944673538208	-0.016282504	Yes	
row_26	K02394	2653	1.18118417263031	-1.304798E-4	Yes	
row_27	K02389	2685	0.992034912109375	0.02116128	Yes	
row_28	K02413	2695	0.9242438673973083	0.04952018	Yes	
row_29	K02400	2722	0.8070659041404724	0.07241811	Yes	
row_30	K02398	2793	0.4300595223903656	0.08118176	Yes	
row_31	K02414	3100	0.006645526736974716	0.014134301	Yes	
