NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	K06281	1858	4.676518440246582	-0.521992	Yes	
row_1	K06282	1859	4.676518440246582	-0.4505635	Yes	
row_2	K00169	2115	3.79052996635437	-0.46057853	Yes	
row_3	K00170	2116	3.79052996635437	-0.38914996	Yes	
row_4	K00172	2117	3.79052996635437	-0.31772137	Yes	
row_5	K03518	2250	3.133657932281494	-0.28845185	Yes	
row_6	K00171	2276	2.957301378250122	-0.22500795	Yes	
row_7	K11180	2360	2.646857261657715	-0.18008848	Yes	
row_8	K11181	2361	2.646857261657715	-0.10865991	Yes	
row_9	K00196	2379	2.5654609203338623	-0.042660907	Yes	
row_10	K00198	2575	1.5126038789749146	-0.033512756	Yes	
row_11	K10678	2708	0.868352472782135	-0.0042432346	Yes	
row_12	K03519	2871	0.24597960710525513	0.015444683	Yes	
row_13	K10679	2878	0.23505926132202148	0.08495694	Yes	
