NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	K00817	523	11.109071731567383	-0.10837596	No	
row_1	K00812	753	9.578375816345215	-0.12276214	No	
row_2	K00285	897	8.833268165588379	-0.10965473	No	
row_3	K00074	1080	7.846140384674072	-0.10901534	No	
row_4	K03782	1560	5.531155109405518	-0.20332481	Yes	
row_5	K11358	1607	5.443495273590088	-0.15920715	Yes	
row_6	K00832	1625	5.420103549957275	-0.105818406	Yes	
row_7	K01451	1663	5.307929515838623	-0.058823522	Yes	
row_8	K00055	1909	4.521966457366943	-0.0783248	Yes	
row_9	K02614	1943	4.419781684875488	-0.030051144	Yes	
row_10	K10797	2338	2.7077622413635254	-0.09718669	Yes	
row_11	K01912	2430	2.3671176433563232	-0.06745523	Yes	
row_12	K00824	2699	0.9039232730865479	-0.09430946	Yes	
row_13	K00813	2715	0.849332869052887	-0.040281318	Yes	
row_14	K01426	2748	0.6138302087783813	0.008312031	Yes	
row_15	K01692	2882	0.23298953473567963	0.02461638	Yes	
row_16	K01666	3105	0.004994946997612715	0.012468043	Yes	
