NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	K00566	65	13.372029304504395	0.05616957	No	
row_1	K11996	612	10.484643936157227	-0.04123685	No	
row_2	K03151	698	9.846504211425781	0.008547023	No	
row_3	K04487	856	9.124069213867188	0.035342388	No	
row_4	K03154	1101	7.7617316246032715	0.03435998	No	
row_5	K03148	2074	3.953780174255371	-0.19906177	No	
row_6	K03637	2137	3.70596981048584	-0.14193434	No	
row_7	K11179	2631	1.2982617616653442	-0.22241867	Yes	
row_8	K03639	2683	0.9996933937072754	-0.1617791	Yes	
row_9	K01011	2747	0.6242806911468506	-0.10497097	Yes	
row_10	K03635	2950	0.11409474164247513	-0.092543416	Yes	
row_11	K03636	3035	0.013940143398940563	-0.04244026	Yes	
row_12	K04085	3116	0.003884732024744153	0.0089400355	Yes	
