NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	K01885	1161	6.58404016494751	-0.26048023	Yes	
row_1	K01872	1218	6.411118030548096	-0.24234217	Yes	
row_2	K01874	1245	6.32127571105957	-0.21663983	Yes	
row_3	K01876	1286	6.246090412139893	-0.1944675	Yes	
row_4	K00604	1302	6.230791091918945	-0.16599157	Yes	
row_5	K01867	1310	6.230791091918945	-0.13549852	Yes	
row_6	K01869	1311	6.230791091918945	-0.10324045	Yes	
row_7	K01870	1312	6.230791091918945	-0.07098239	Yes	
row_8	K01873	1313	6.230791091918945	-0.038724326	Yes	
row_9	K01875	1314	6.230791091918945	-0.006466264	Yes	
row_10	K01881	1315	6.230791091918945	0.0257918	Yes	
row_11	K01883	1316	6.230791091918945	0.058049865	Yes	
row_12	K01887	1317	6.230791091918945	0.09030793	Yes	
row_13	K01889	1318	6.230791091918945	0.12256599	Yes	
row_14	K01890	1319	6.230791091918945	0.15482405	Yes	
row_15	K01892	1320	6.230791091918945	0.18708211	Yes	
row_16	K01868	1414	6.228385925292969	0.19589086	Yes	
row_17	K01866	1448	6.197690486907959	0.2198282	Yes	
row_18	K01893	1456	6.1918864250183105	0.25032127	Yes	
row_19	K04567	1508	6.0615997314453125	0.26972002	Yes	
row_20	K01880	1758	5.450949668884277	0.23919442	Yes	
row_21	K02433	1984	4.871392726898193	0.21472026	Yes	
row_22	K02435	1993	4.860652923583984	0.24496117	Yes	
row_23	K02434	1994	4.860395431518555	0.27721924	Yes	
row_24	K01886	2206	4.289318561553955	0.2562751	No	
row_25	K09698	2476	3.6133389472961426	0.22070663	No	
row_26	K09759	2636	3.3127472400665283	0.21287392	No	
row_27	K01878	3132	2.25563645362854	0.12032109	No	
row_28	K01879	3133	2.25563645362854	0.15257916	No	
row_29	K04568	3403	1.3610188961029053	0.11701069	No	
row_30	K01042	3549	0.817098081111908	0.11270799	No	
