NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	K00611	13	9.721961975097656	0.0036198879	Yes	
row_1	K00640	15	9.721961975097656	0.010353425	Yes	
row_2	K01620	44	9.721961975097656	0.010081252	Yes	
row_3	K01647	47	9.721961975097656	0.016555317	Yes	
row_4	K01649	48	9.721961975097656	0.023548324	Yes	
row_5	K11258	541	9.721961975097656	-0.09711825	Yes	
row_6	K12339	620	9.721961975097656	-0.11036395	Yes	
row_7	K12525	622	9.721961975097656	-0.103630416	Yes	
row_8	K14170	673	9.721961975097656	-0.109610945	Yes	
row_9	K14187	674	9.721961975097656	-0.10261794	Yes	
row_10	K00266	834	9.391617774963379	-0.13688077	Yes	
row_11	K01704	842	9.362410545349121	-0.13170406	Yes	
row_12	K00053	847	9.357014656066895	-0.12574893	Yes	
row_13	K00052	850	9.344932556152344	-0.11927487	Yes	
row_14	K02501	852	9.30019760131836	-0.11254133	Yes	
row_15	K02500	853	9.29115104675293	-0.10554833	Yes	
row_16	K01703	854	9.287261009216309	-0.09855532	Yes	
row_17	K00765	861	9.269537925720215	-0.09311914	Yes	
row_18	K00821	862	9.252785682678223	-0.086126134	Yes	
row_19	K00058	863	9.248367309570312	-0.07913312	Yes	
row_20	K00145	865	9.21595573425293	-0.07239959	Yes	
row_21	K00930	866	9.21452808380127	-0.06540658	Yes	
row_22	K00013	867	9.197676658630371	-0.058413573	Yes	
row_23	K01814	868	9.154583930969238	-0.051420566	Yes	
row_24	K00817	874	9.056861877441406	-0.045724913	Yes	
row_25	K00548	876	9.020659446716309	-0.038991377	Yes	
row_26	K01687	879	8.9927396774292	-0.03251731	Yes	
row_27	K01754	946	8.493979454040527	-0.04264937	Yes	
row_28	K01496	949	8.45704174041748	-0.036175303	Yes	
row_29	K01653	953	8.342187881469727	-0.029960709	Yes	
row_30	K00615	959	8.199130058288574	-0.024265056	Yes	
row_31	K01681	978	7.976818561553955	-0.021942522	Yes	
row_32	K01915	989	7.787775039672852	-0.017544221	Yes	
row_33	K00030	1012	7.593664646148682	-0.01625957	Yes	
row_34	K03785	1021	7.546936988830566	-0.011342328	Yes	
row_35	K01523	1032	7.475604057312012	-0.006944028	Yes	
row_36	K04517	1041	7.3712382316589355	-0.002026787	Yes	
row_37	K01693	1042	7.337926387786865	0.00496622	Yes	
row_38	K00620	1043	7.330312728881836	0.011959227	Yes	
row_39	K04486	1045	7.2996506690979	0.018692764	Yes	
row_40	K00286	1104	6.823357582092285	0.01063647	Yes	
row_41	K01682	1109	6.800736427307129	0.016591594	Yes	
row_42	K00873	1117	6.78001594543457	0.021768305	Yes	
row_43	K02502	1129	6.712424278259277	0.025907136	Yes	
row_44	K08094	1147	6.621913909912109	0.02848914	Yes	
row_45	K01778	1151	6.61189603805542	0.034703735	Yes	
row_46	K01736	1185	6.504954814910889	0.03313421	Yes	
row_47	K00800	1186	6.504660129547119	0.040127218	Yes	
row_48	K01735	1195	6.475649356842041	0.04504446	Yes	
row_49	K01914	1199	6.468404769897461	0.051259052	Yes	
row_50	K01714	1203	6.441008567810059	0.05747365	Yes	
row_51	K01586	1205	6.439172267913818	0.06420718	Yes	
row_52	K00014	1223	6.394515514373779	0.06678919	Yes	
row_53	K08093	1226	6.38968563079834	0.07326326	Yes	
row_54	K00215	1235	6.357687950134277	0.0781805	Yes	
row_55	K13498	1236	6.353611946105957	0.0851735	Yes	
row_56	K00789	1260	6.294543266296387	0.08619869	Yes	
row_57	K01439	1269	6.280682563781738	0.09111593	Yes	
row_58	K01803	1277	6.256474494934082	0.09629264	Yes	
row_59	K01626	1282	6.2555389404296875	0.10224776	Yes	
row_60	K06209	1297	6.231478214263916	0.10560818	Yes	
row_61	K00133	1300	6.230791091918945	0.11208224	Yes	
row_62	K00927	1304	6.230791091918945	0.11829684	Yes	
row_63	K01733	1430	6.211123466491699	0.09285601	Yes	
row_64	K01624	1466	6.179673194885254	0.09076754	Yes	
row_65	K01808	1469	6.172613620758057	0.09724161	Yes	
row_66	K00600	1470	6.170974254608154	0.10423461	Yes	
row_67	K01652	1482	6.131964206695557	0.10837345	Yes	
row_68	K00134	1497	6.095590591430664	0.11173386	Yes	
row_69	K01695	1516	6.040770530700684	0.11405639	Yes	
row_70	K00928	1520	6.031423568725586	0.12027099	Yes	
row_71	K01689	1525	6.006998538970947	0.12622611	Yes	
row_72	K10206	1534	5.981533527374268	0.13114336	Yes	
row_73	K01783	1540	5.958639144897461	0.13683902	Yes	
row_74	K00674	1542	5.956209182739258	0.14357255	Yes	
row_75	K14155	1543	5.951826572418213	0.15056555	Yes	
row_76	K01696	1574	5.852604389190674	0.14977445	Yes	
row_77	K00850	1621	5.819852352142334	0.14483179	Yes	
row_78	K01243	1643	5.740324974060059	0.14637592	Yes	
row_79	K01755	1654	5.701108455657959	0.15077421	Yes	
row_80	K00619	1739	5.504027843475342	0.13597168	Yes	
row_81	K02204	1742	5.497949600219727	0.14244576	Yes	
row_82	K07173	1748	5.472097873687744	0.1481414	Yes	
row_83	K00948	1768	5.405566692352295	0.15020446	Yes	
row_84	K01940	1779	5.392955780029297	0.15460277	Yes	
row_85	K01609	1807	5.28445291519165	0.15459007	Yes	
row_86	K00031	1823	5.258662223815918	0.15769102	Yes	
row_87	K00147	1827	5.2344970703125	0.1639056	Yes	
row_88	K00931	1828	5.233944892883301	0.17089862	Yes	
row_89	K00766	1853	5.170804977416992	0.17166433	Yes	
row_90	K00003	1871	5.1342244148254395	0.17424633	Yes	
row_91	K03856	1872	5.130512714385986	0.18123934	Yes	
row_92	K01738	1879	5.114919185638428	0.18667552	Yes	
row_93	K01657	1907	5.048466682434082	0.18666282	Yes	
row_94	K00265	2014	4.783753871917725	0.16615194	Yes	
row_95	K01658	2080	4.656829833984375	0.15627934	Yes	
row_96	K00651	2087	4.640788555145264	0.16171552	Yes	
row_97	K11358	2112	4.545208930969238	0.16248123	Yes	
row_98	K00891	2147	4.455202579498291	0.16065224	Yes	
row_99	K01752	2169	4.413000106811523	0.16219637	Yes	
row_100	K01750	2173	4.395211696624756	0.16841096	Yes	
row_101	K04518	2221	4.227864742279053	0.16320884	Yes	
row_102	K00832	2235	4.203121185302734	0.16682874	Yes	
row_103	K00826	2251	4.1498260498046875	0.16992968	Yes	
row_104	K00616	2256	4.123959064483643	0.1758848	Yes	
row_105	K01713	2288	4.002545356750488	0.17483422	Yes	
row_106	K14267	2302	4.002545356750488	0.1784541	Yes	
row_107	K00831	2319	3.987724542617798	0.18129559	Yes	
row_108	K05822	2334	3.9497716426849365	0.184656	Yes	
row_109	K03786	2337	3.939816474914551	0.19113007	Yes	
row_110	K03340	2352	3.9057841300964355	0.19449048	Yes	
row_111	K00818	2364	3.871446132659912	0.1986293	Yes	
row_112	K04516	2375	3.8525774478912354	0.2030276	Yes	
row_113	K00812	2387	3.809918165206909	0.20716643	Yes	
row_114	K01079	2393	3.7999908924102783	0.21286209	Yes	
row_115	K05825	2406	3.7731306552886963	0.21674146	Yes	
row_116	K01834	2410	3.7646899223327637	0.22295605	Yes	
row_117	K06001	2471	3.6168501377105713	0.21438082	No	
row_118	K00290	2587	3.331786632537842	0.1915347	No	
row_119	K01807	2588	3.3311612606048584	0.1985277	No	
row_120	K11645	2637	3.3127472400665283	0.1930661	No	
row_121	K09758	2671	3.272886276245117	0.19149658	No	
row_122	K09011	2672	3.2717511653900146	0.19848959	No	
row_123	K01960	2684	3.242238759994507	0.20262842	No	
row_124	K01817	2693	3.219977855682373	0.20754567	No	
row_125	K11755	2729	3.174807548522949	0.2054572	No	
row_126	K00841	2814	3.0069353580474854	0.19065467	No	
row_127	K00813	2932	2.7272021770477295	0.1672896	No	
row_128	K05823	2943	2.7025365829467773	0.1716879	No	
row_129	K00872	3057	2.4810492992401123	0.14936072	No	
row_130	K01438	3069	2.4518988132476807	0.15349954	No	
row_131	K01476	3104	2.3317370414733887	0.15167056	No	
row_132	K01623	3240	1.908913016319275	0.12363502	No	
row_133	K00549	3245	1.8872463703155518	0.12959014	No	
row_134	K01958	3300	1.682524561882019	0.12257173	No	
row_135	K13497	3304	1.6786001920700073	0.12878633	No	
row_136	K01089	3408	1.342024564743042	0.10905385	No	
row_137	K13853	3440	1.2564876079559326	0.108003266	No	
row_138	K12524	3465	1.1672611236572266	0.10876898	No	
row_139	K02203	3480	1.1082487106323242	0.1121294	No	
row_140	K01760	3608	0.6549118757247925	0.08616962	No	
row_141	K14260	3671	0.4440770447254181	0.07707545	No	
row_142	K01739	3869	0.12010470032691956	0.03295273	No	
