NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	K00247	8	9.721961975097656	0.0056235204	No	
row_1	K00640	15	9.721961975097656	0.011764238	No	
row_2	K00855	19	9.721961975097656	0.018680751	No	
row_3	K00874	20	9.721961975097656	0.026373059	No	
row_4	K01625	45	9.721961975097656	0.027859004	No	
row_5	K01637	46	9.721961975097656	0.035551313	No	
row_6	K01647	47	9.721961975097656	0.04324362	No	
row_7	K01782	55	9.721961975097656	0.04912574	No	
row_8	K01825	56	9.721961975097656	0.056818046	No	
row_9	K08318	425	9.721961975097656	-0.030653853	No	
row_10	K12339	620	9.721961975097656	-0.07312963	No	
row_11	K00058	863	9.248367309570312	-0.12801814	No	
row_12	K01754	946	8.493979454040527	-0.1415309	No	
row_13	K00615	959	8.199130058288574	-0.13694178	No	
row_14	K01681	978	7.976818561553955	-0.13390423	No	
row_15	K00030	1012	7.593664646148682	-0.13474567	No	
row_16	K06859	1069	7.147092819213867	-0.14153488	No	
row_17	K00626	1099	6.851698398590088	-0.14134192	No	
row_18	K01070	1102	6.834610939025879	-0.1341668	No	
row_19	K01682	1109	6.800736427307129	-0.12802608	No	
row_20	K00873	1117	6.78001594543457	-0.12214397	No	
row_21	K01679	1139	6.684741497039795	-0.11988223	No	
row_22	K08094	1147	6.621913909912109	-0.11400011	No	
row_23	K08093	1226	6.38968563079834	-0.12647848	No	
row_24	K03737	1274	6.265479564666748	-0.13094029	No	
row_25	K01803	1277	6.256474494934082	-0.123765185	No	
row_26	K00927	1304	6.230791091918945	-0.12279643	No	
row_27	K01810	1412	6.230447292327881	-0.14277415	Yes	
row_28	K01491	1413	6.228385925292969	-0.13508184	Yes	
row_29	K01624	1466	6.179673194885254	-0.14083666	Yes	
row_30	K01808	1469	6.172613620758057	-0.13366154	Yes	
row_31	K00600	1470	6.170974254608154	-0.12596923	Yes	
row_32	K00845	1480	6.1471147537231445	-0.120604314	Yes	
row_33	K00134	1497	6.095590591430664	-0.11704958	Yes	
row_34	K01689	1525	6.006998538970947	-0.11633943	Yes	
row_35	K01895	1539	5.967891693115234	-0.1120089	Yes	
row_36	K01783	1540	5.958639144897461	-0.10431659	Yes	
row_37	K00850	1621	5.819852352142334	-0.117312156	Yes	
row_38	K00027	1632	5.791141033172607	-0.11220583	Yes	
row_39	K01006	1655	5.69625186920166	-0.11020269	Yes	
row_40	K11261	1661	5.69210147857666	-0.103803374	Yes	
row_41	K00029	1677	5.6480584144592285	-0.09999004	Yes	
row_42	K00163	1690	5.6130452156066895	-0.095400915	Yes	
row_43	K01690	1697	5.6130452156066895	-0.0892602	Yes	
row_44	K00248	1732	5.537245273590088	-0.09036023	Yes	
row_45	K00297	1750	5.4695916175842285	-0.0870641	Yes	
row_46	K00948	1768	5.405566692352295	-0.083767965	Yes	
row_47	K01715	1793	5.329743385314941	-0.08228202	Yes	
row_48	K00031	1823	5.258662223815918	-0.08208907	Yes	
row_49	K01738	1879	5.114919185638428	-0.088619664	Yes	
row_50	K03388	1910	5.041392803192139	-0.08868531	Yes	
row_51	K03389	1911	5.041392803192139	-0.080993004	Yes	
row_52	K03390	1912	5.041392803192139	-0.0733007	Yes	
row_53	K00198	1918	5.025976657867432	-0.06690138	Yes	
row_54	K03738	1935	4.987620830535889	-0.06334665	Yes	
row_55	K00196	1940	4.986250877380371	-0.056688733	Yes	
row_56	K05606	1964	4.934241771697998	-0.054944187	Yes	
row_57	K00925	1981	4.8814473152160645	-0.051389456	Yes	
row_58	K01938	1991	4.861486911773682	-0.04602453	Yes	
row_59	K00121	1997	4.852085590362549	-0.039625216	Yes	
row_60	K01677	2035	4.745812892913818	-0.04150105	Yes	
row_61	K01678	2036	4.745812892913818	-0.03380874	Yes	
row_62	K00116	2051	4.700816631317139	-0.029736811	Yes	
row_63	K00625	2099	4.606816291809082	-0.034198627	Yes	
row_64	K00240	2119	4.515649795532227	-0.03141969	Yes	
row_65	K01057	2158	4.432864189147949	-0.03355412	Yes	
row_66	K00382	2161	4.429907321929932	-0.02637901	Yes	
row_67	K01752	2169	4.413000106811523	-0.02049689	Yes	
row_68	K00024	2255	4.133866786956787	-0.034785446	Yes	
row_69	K00616	2256	4.123959064483643	-0.027093139	Yes	
row_70	K04041	2270	4.064721584320068	-0.02276261	Yes	
row_71	K00282	2314	3.9981815814971924	-0.026190033	Yes	
row_72	K00831	2319	3.987724542617798	-0.019532118	Yes	
row_73	K00283	2327	3.980626344680786	-0.01365	Yes	
row_74	K00124	2335	3.9456441402435303	-0.007767881	Yes	
row_75	K00169	2370	3.863670587539673	-0.0088679185	Yes	
row_76	K00170	2371	3.863670587539673	-0.0011756107	Yes	
row_77	K00172	2372	3.863670587539673	0.006516697	Yes	
row_78	K01079	2393	3.7999908924102783	0.009037037	Yes	
row_79	K01834	2410	3.7646899223327637	0.012591771	Yes	
row_80	K01847	2426	3.6949405670166016	0.016405102	Yes	
row_81	K00605	2427	3.6921234130859375	0.02409741	Yes	
row_82	K01610	2442	3.662222146987915	0.02816934	Yes	
row_83	K01902	2446	3.6500325202941895	0.035085853	Yes	
row_84	K01007	2447	3.6486010551452637	0.04277816	Yes	
row_85	K00242	2456	3.6312224864959717	0.04840168	Yes	
row_86	K01963	2501	3.56719708442688	0.044715658	Yes	
