NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	K13820	1377	4.59868049621582	-0.4341152	No	
row_1	K04562	1841	3.145752429962158	-0.55996734	No	
row_2	K02401	2095	2.1027238368988037	-0.6149931	No	
row_3	K02421	2103	2.065870761871338	-0.587051	No	
row_4	K02414	2202	1.5452548265457153	-0.58980024	No	
row_5	K02398	2399	0.8484484553337097	-0.6256017	Yes	
row_6	K02557	2436	0.7740755081176758	-0.60744035	Yes	
row_7	K02556	2515	0.6196624636650085	-0.6034442	Yes	
row_8	K02394	2671	0.266343355178833	-0.62541777	Yes	
row_9	K02386	2717	0.17999349534511566	-0.6102918	Yes	
row_10	K02393	2718	0.17999349534511566	-0.5799888	Yes	
row_11	K02418	2720	0.17913250625133514	-0.550023	Yes	
row_12	K02413	2731	0.17094786465168	-0.5230927	Yes	
row_13	K02389	2758	0.14454524219036102	-0.5015586	Yes	
row_14	K02397	2769	0.13063658773899078	-0.47462824	Yes	
row_15	K02400	2789	0.10921082645654678	-0.4507333	Yes	
row_16	K02388	2790	0.10800249129533768	-0.42043027	Yes	
row_17	K02407	2795	0.10568691790103912	-0.39147633	Yes	
row_18	K02411	2796	0.10428397357463837	-0.3611733	Yes	
row_19	K02409	2798	0.10244884341955185	-0.33120754	Yes	
row_20	K02392	2840	0.05479905754327774	-0.3147325	Yes	
row_21	K02390	2906	0.010433588176965714	-0.3063519	Yes	
row_22	K02410	2940	0.001992194913327694	-0.28717873	Yes	
row_23	K02416	2941	0.001992194913327694	-0.2568757	Yes	
row_24	K02417	2942	0.001992194913327694	-0.22657265	Yes	
row_25	K02387	2976	0.0015580690233036876	-0.20739947	Yes	
row_26	K02408	2977	0.0015580690233036876	-0.17709644	Yes	
row_27	K02412	2984	0.0013374139089137316	-0.14881702	Yes	
row_28	K02419	2985	0.0013374139089137316	-0.11851398	Yes	
row_29	K02422	2989	9.655504836700857E-4	-0.08922275	Yes	
row_30	K02396	2991	6.180490017868578E-4	-0.05925699	Yes	
row_31	K02420	2992	6.180490017868578E-4	-0.02895396	Yes	
row_32	K02406	2997	4.980239318683743E-4	-9.604264E-10	Yes	
