NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	K00965	62	8.212467193603516	0.0060881563	Yes	
row_1	K01190	66	8.208287239074707	0.03210201	Yes	
row_2	K00849	78	8.157780647277832	0.05541408	Yes	
row_3	K00850	79	8.157780647277832	0.08244111	Yes	
row_4	K02080	121	7.856600284576416	0.09562146	Yes	
row_5	K01784	134	7.8258562088012695	0.1185958	Yes	
row_6	K01785	180	7.6005988121032715	0.13042526	Yes	
row_7	K01193	195	7.557389259338379	0.15272416	Yes	
row_8	K01835	247	7.402764320373535	0.16252728	Yes	
row_9	K07407	551	7.181245803833008	0.087224014	Yes	
row_10	K01187	612	6.953184127807617	0.09398762	Yes	
row_11	K01854	682	6.757637023925781	0.09771171	Yes	
row_12	K00845	690	6.710777759552002	0.12237467	Yes	
row_13	K01684	738	6.568457126617432	0.13352868	Yes	
row_14	K01182	987	5.853928565979004	0.07680023	Yes	
row_15	K12308	1038	5.678952693939209	0.08694107	Yes	
row_16	K02773	1056	5.636184215545654	0.10822679	Yes	
row_17	K02744	1058	5.627475738525391	0.1349161	Yes	
row_18	K02786	1085	5.516111373901367	0.1531623	Yes	
row_19	K01220	1100	5.453359603881836	0.1754612	Yes	
row_20	K02788	1101	5.453359603881836	0.20248823	Yes	
row_21	K00963	1115	5.360362529754639	0.22512485	Yes	
row_22	K01819	1252	4.838254928588867	0.20622145	Yes	
row_23	K01635	1253	4.833636283874512	0.23324847	Yes	
row_24	K02774	1301	4.658766269683838	0.24440248	Yes	
row_25	K02775	1397	4.526448726654053	0.23934576	Yes	
row_26	K02746	1400	4.509328842163086	0.26569733	Yes	
row_27	K12111	1610	3.8508846759796143	0.2221401	No	
row_28	K02745	1735	3.446979284286499	0.2072894	No	
row_29	K02747	1746	3.420206069946289	0.23093918	No	
row_30	K00917	1759	3.3784258365631104	0.25391352	No	
row_31	K00844	2613	0.4009378254413605	-0.0071377847	No	
row_32	K08302	2617	0.38725075125694275	0.018876072	No	
row_33	K10985	2929	0.0027614585123956203	-0.05912898	No	
row_34	K10986	2930	0.0027614585123956203	-0.03210195	No	
row_35	K10984	2932	0.002338944934308529	-0.005412649	No	
row_36	K07406	2975	0.0017545734299346805	0.007429982	No	
