NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	K00527	17	8.532563209533691	0.012744062	Yes	
row_1	K00945	39	8.388127326965332	0.024129428	Yes	
row_2	K01955	45	8.293149948120117	0.040949576	Yes	
row_3	K00609	48	8.290827751159668	0.058788747	Yes	
row_4	K01956	60	8.236478805541992	0.073570855	Yes	
row_5	K01465	68	8.208287239074707	0.08971166	Yes	
row_6	K00762	74	8.194802284240723	0.10653181	Yes	
row_7	K01591	84	8.147515296936035	0.12199326	Yes	
row_8	K03040	215	7.485623836517334	0.096354164	Yes	
row_9	K00876	235	7.433712482452393	0.10841888	Yes	
row_10	K01937	302	7.3905463218688965	0.10451892	Yes	
row_11	K02335	312	7.3905463218688965	0.11998037	Yes	
row_12	K02337	313	7.3905463218688965	0.13849889	Yes	
row_13	K02338	314	7.3905463218688965	0.15701741	Yes	
row_14	K02340	315	7.3905463218688965	0.17553593	Yes	
row_15	K02341	316	7.3905463218688965	0.19405445	Yes	
row_16	K02343	317	7.3905463218688965	0.21257296	Yes	
row_17	K03043	379	7.3905463218688965	0.21037138	Yes	
row_18	K03046	380	7.3905463218688965	0.2288899	Yes	
row_19	K03763	415	7.3905463218688965	0.2358595	Yes	
row_20	K09903	443	7.3905463218688965	0.24520682	Yes	
row_21	K00761	457	7.389214992523193	0.2593096	Yes	
row_22	K01520	469	7.384250640869141	0.2740917	Yes	
row_23	K00560	512	7.247873783111572	0.27834392	Yes	
row_24	K02342	523	7.22748327255249	0.29346567	Yes	
row_25	K03060	571	7.081573486328125	0.29601952	Yes	
row_26	K00384	591	7.024837970733643	0.30808425	Yes	
row_27	K01493	673	6.7937445640563965	0.29908916	Yes	
row_28	K03048	694	6.708677768707275	0.3108142	Yes	
row_29	K00943	760	6.521675109863281	0.30725393	Yes	
row_30	K03784	784	6.471925258636475	0.31795993	Yes	
row_31	K00757	846	6.353610038757324	0.31575835	Yes	
row_32	K00226	913	6.159567832946777	0.3118584	Yes	
row_33	K00526	994	5.838142395019531	0.303203	Yes	
row_34	K08728	1012	5.787738800048828	0.31594706	Yes	
row_35	K02825	1015	5.778348922729492	0.33378622	Yes	
row_36	K00525	1049	5.651981830596924	0.3410955	Yes	
row_37	K02823	1071	5.596196174621582	0.3524809	Yes	
row_38	K00940	1081	5.550971031188965	0.36794233	Yes	
row_39	K00857	1140	5.280435562133789	0.36675975	No	
row_40	K00962	1288	4.715036869049072	0.33534622	No	
row_41	K01081	1289	4.710773944854736	0.35386473	No	
row_42	K00756	1462	4.239342212677002	0.31395933	No	
row_43	K03783	1530	4.0359015464782715	0.3097197	No	
row_44	K02339	1541	4.011231422424316	0.32484147	No	
row_45	K03465	1902	2.9329607486724854	0.22107738	No	
row_46	K03787	2074	2.2088611125946045	0.18151167	No	
row_47	K00610	2196	1.5985835790634155	0.15892965	No	
row_48	K01494	2278	1.2211883068084717	0.14993457	No	
row_49	K01489	2284	1.199845314025879	0.16675472	No	
row_50	K00254	2428	0.7897416949272156	0.13669987	No	
row_51	K01464	2474	0.6968926787376404	0.13993306	No	
row_52	K01485	2644	0.30530428886413574	0.10104669	No	
row_53	K01119	2672	0.2634793221950531	0.110394016	No	
