NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	K11180	470	8.501585006713867	-0.07815767	No	
row_1	K11181	471	8.501585006713867	-0.0067290952	No	
row_2	K00198	500	8.467183113098145	0.05578796	No	
row_3	K00196	789	8.1246976852417	0.035555176	No	
row_4	K03518	1775	5.011736869812012	-0.20651083	No	
row_5	K00171	2069	4.204495906829834	-0.22833495	Yes	
row_6	K10679	2256	3.6544606685638428	-0.21610434	Yes	
row_7	K00169	2331	3.369511604309082	-0.16822764	Yes	
row_8	K00170	2332	3.369511604309082	-0.09679907	Yes	
row_9	K00172	2333	3.369511604309082	-0.025370492	Yes	
row_10	K03519	2952	0.3632296919822693	-0.15063192	Yes	
row_11	K06281	3079	0.061036281287670135	-0.119305186	Yes	
row_12	K06282	3080	0.061036281287670135	-0.04787661	Yes	
row_13	K10678	3081	0.05839201807975769	0.023551965	Yes	
