NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	K01730	74	11.9893217086792	0.018039593	No	
row_1	K00854	174	10.10623836517334	0.028097067	No	
row_2	K01783	777	8.18259334564209	-0.12244571	No	
row_3	K00128	920	7.520291328430176	-0.12611748	No	
row_4	K00012	1124	6.698586463928223	-0.14926563	No	
row_5	K01804	1284	6.242013931274414	-0.15836525	No	
row_6	K00963	1417	5.88191556930542	-0.15884417	No	
row_7	K00848	1917	4.623229503631592	-0.2765006	No	
row_8	K00008	1988	4.428709030151367	-0.25718388	No	
row_9	K01051	2246	3.6979401111602783	-0.29757342	Yes	
row_10	K01812	2292	3.505772113800049	-0.27027455	Yes	
row_11	K00853	2315	3.4232800006866455	-0.23563215	Yes	
row_12	K01685	2319	3.405987501144409	-0.19492334	Yes	
row_13	K00041	2504	2.820152759552002	-0.21200508	Yes	
row_14	K01686	2546	2.6190271377563477	-0.18342908	Yes	
row_15	K00040	2730	1.7956820726394653	-0.20019153	Yes	
row_16	K01815	2769	1.5084402561187744	-0.17065768	Yes	
row_17	K01195	2787	1.3605104684829712	-0.13441886	Yes	
row_18	K00880	2803	1.2358014583587646	-0.09754146	Yes	
row_19	K00065	2862	0.8664145469665527	-0.07439331	Yes	
row_20	K01805	2968	0.311540812253952	-0.066251546	Yes	
row_21	K05352	3035	0.13935157656669617	-0.045657676	Yes	
row_22	K01629	3063	0.09146212041378021	-0.012611697	Yes	
row_23	K08092	3147	0.00863240659236908	0.0025543321	Yes	
