NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	K02784	71	12.281214714050293	-8.763655E-5	No	
row_1	K08483	400	8.632908821105957	-0.08275882	No	
row_2	K02765	791	8.118280410766602	-0.18535288	No	
row_3	K02744	855	7.83114767074585	-0.18286982	No	
row_4	K02746	917	7.525912761688232	-0.1797441	No	
row_5	K02795	1027	6.930612087249756	-0.19204253	No	
row_6	K02796	1087	6.751475811004639	-0.18827413	No	
row_7	K02791	1180	6.5050249099731445	-0.19510983	Yes	
row_8	K08484	1233	6.360999584197998	-0.18909207	Yes	
row_9	K02759	1275	6.28430700302124	-0.1795396	Yes	
row_10	K02761	1299	6.2124433517456055	-0.16420308	Yes	
row_11	K02760	1324	6.121833324432373	-0.14918788	Yes	
row_12	K03475	1332	6.088741779327393	-0.12870997	Yes	
row_13	K02773	1346	6.02520227432251	-0.110160075	Yes	
row_14	K02810	1370	5.943737030029297	-0.09482355	Yes	
row_15	K02822	1407	5.902871131896973	-0.083664395	Yes	
row_16	K02783	1434	5.815988063812256	-0.069291875	Yes	
row_17	K02794	1471	5.71643590927124	-0.058132727	Yes	
row_18	K02793	1548	5.589296817779541	-0.05982705	Yes	
row_19	K02770	1697	5.2537946701049805	-0.08465762	Yes	
row_20	K02774	1766	5.032846450805664	-0.08378124	Yes	
row_21	K02747	1774	5.011736869812012	-0.06330332	Yes	
row_22	K02745	1781	4.986064434051514	-0.042504072	Yes	
row_23	K02800	1783	4.981778144836426	-0.020098135	Yes	
row_24	K02821	1790	4.961562156677246	7.0111704E-4	Yes	
row_25	K02788	1844	4.859043598175049	0.006397542	Yes	
row_26	K02757	1871	4.753169059753418	0.02077006	Yes	
row_27	K02786	1879	4.744508743286133	0.041247975	Yes	
row_28	K02777	1883	4.737258434295654	0.06301124	Yes	
row_29	K02775	1924	4.606828689575195	0.072885044	Yes	
row_30	K02753	2020	4.3654561042785645	0.06508532	Yes	
row_31	K02806	2036	4.316992282867432	0.082992546	Yes	
row_32	K02798	2057	4.253368854522705	0.09929308	Yes	
row_33	K02781	2183	3.928394317626953	0.08185326	Yes	
row_34	K02771	2415	3.086343765258789	0.030351743	Yes	
row_35	K02779	2488	2.8707377910614014	0.02994277	Yes	
row_36	K02819	2679	1.9746291637420654	-0.008383941	Yes	
row_37	K02750	2705	1.8732889890670776	0.006309914	Yes	
row_38	K02769	2808	1.2022864818572998	-0.0037391623	Yes	
row_39	K02768	2948	0.3991532325744629	-0.025677698	Yes	
row_40	K02804	2959	0.3404397964477539	-0.0061637927	Yes	
row_41	K10985	3065	0.08257634192705154	-0.01717688	Yes	
row_42	K10986	3066	0.08257634192705154	0.0055503943	Yes	
row_43	K10984	3088	0.04747484624385834	0.021529596	Yes	
