NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	K00768	112	11.090039253234863	-0.012157079	Yes	
row_1	K13542	131	10.663887977600098	0.0058720987	Yes	
row_2	K02233	132	10.576496124267578	0.029681623	Yes	
row_3	K01749	153	10.449137687683105	0.04706854	Yes	
row_4	K02231	158	10.329707145690918	0.06959354	Yes	
row_5	K02495	201	9.800171852111816	0.07991559	Yes	
row_6	K01885	206	9.721113204956055	0.102440596	Yes	
row_7	K01698	208	9.702055931091309	0.12592898	Yes	
row_8	K02492	219	9.61888599395752	0.1465272	Yes	
row_9	K01845	264	9.379131317138672	0.156207	Yes	
row_10	K01599	376	8.70168399810791	0.14437105	Yes	
row_11	K02226	788	8.130663871765137	0.036195982	Yes	
row_12	K02496	820	8.015867233276367	0.050050464	Yes	
row_13	K03394	848	7.8484015464782715	0.065189466	Yes	
row_14	K00595	907	7.585339069366455	0.07037343	Yes	
row_15	K09882	951	7.374565124511719	0.080374345	Yes	
row_16	K02224	975	7.209493637084961	0.096797876	Yes	
row_17	K02190	1028	6.926243782043457	0.10390862	Yes	
row_18	K05936	1035	6.895906448364258	0.12579136	Yes	
row_19	K06042	1050	6.843533515930176	0.14510506	Yes	
row_20	K02227	1058	6.81280517578125	0.16666667	Yes	
row_21	K05895	1135	6.664391994476318	0.16607028	Yes	
row_22	K05934	1148	6.63835334777832	0.18602625	Yes	
row_23	K02304	1159	6.606276988983154	0.20662446	Yes	
row_24	K02189	1161	6.598922252655029	0.23011287	Yes	
row_25	K02303	1168	6.550657749176025	0.2519956	Yes	
row_26	K02188	1177	6.512971878051758	0.2732361	Yes	
row_27	K02191	1200	6.4284162521362305	0.28998074	Yes	
row_28	K03399	1201	6.4284162521362305	0.31379026	Yes	
row_29	K04720	1368	5.9451680183410645	0.28429213	Yes	
row_30	K00228	1375	5.937168598175049	0.30617487	Yes	
row_31	K02232	1402	5.932252883911133	0.321635	Yes	
row_32	K00230	1532	5.649749755859375	0.30401874	No	
row_33	K03594	1813	4.923369884490967	0.23791175	No	
row_34	K02259	1863	4.771055698394775	0.24598588	No	
row_35	K00798	1907	4.636751651763916	0.25598678	No	
row_36	K04032	2042	4.296537399291992	0.23676485	No	
row_37	K01772	2391	3.2008743286132812	0.148821	No	
row_38	K01195	2787	1.3605104684829712	0.04578402	No	
row_39	K02302	2861	0.8701704144477844	0.046151023	No	
row_40	K00231	2906	0.6018822193145752	0.05583081	No	
row_41	K01719	3010	0.1771172136068344	0.046563905	No	
