NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	K00626	133	10.571584701538086	-0.017028207	No	
row_1	K00656	243	9.485383033752441	-0.026356703	No	
row_2	K00005	853	7.840415954589844	-0.19609585	Yes	
row_3	K01895	861	7.791527271270752	-0.17270057	Yes	
row_4	K01026	903	7.5969367027282715	-0.16021322	Yes	
row_5	K01963	1046	6.856985092163086	-0.18012881	Yes	
row_6	K00016	1055	6.8162078857421875	-0.15705436	Yes	
row_7	K00925	1062	6.802468776702881	-0.13333827	Yes	
row_8	K00625	1079	6.751616477966309	-0.11283038	Yes	
row_9	K01961	1123	6.69952392578125	-0.10098467	Yes	
row_10	K01734	1173	6.529458045959473	-0.09106389	Yes	
row_11	K01908	1220	6.360999584197998	-0.080180645	Yes	
row_12	K13919	1253	6.3590087890625	-0.064805895	Yes	
row_13	K13920	1254	6.3590087890625	-0.03916487	Yes	
row_14	K00086	1281	6.254680633544922	-0.0218652	Yes	
row_15	K01699	1301	6.201516151428223	-0.0023197788	Yes	
row_16	K02160	1405	5.902998924255371	-0.009723347	Yes	
row_17	K13923	1439	5.788658142089844	0.005330576	Yes	
row_18	K13922	1441	5.788305759429932	0.030650781	Yes	
row_19	K01902	1461	5.73065710067749	0.0501962	Yes	
row_20	K00048	1601	5.456118106842041	0.031243067	Yes	
row_21	K07250	1695	5.260039329528809	0.027047712	Yes	
row_22	K13921	1757	5.0596923828125	0.03311864	Yes	
row_23	K05606	1831	4.8793439865112305	0.03533971	Yes	
row_24	K01962	2037	4.313959121704102	-0.0047876313	Yes	
row_25	K00171	2069	4.204495906829834	0.010907934	Yes	
row_26	K01034	2201	3.8733413219451904	-0.005478631	Yes	
row_27	K01035	2202	3.8733413219451904	0.020162396	Yes	
row_28	K03417	2233	3.736703395843506	0.036178783	Yes	
row_29	K00169	2331	3.369511604309082	0.030700142	Yes	
row_30	K00170	2332	3.369511604309082	0.056341168	Yes	
row_31	K00172	2333	3.369511604309082	0.081982195	Yes	
row_32	K00823	2412	3.1026604175567627	0.082599156	Yes	
row_33	K08325	2432	3.0596604347229004	0.10214458	Yes	
row_34	K13788	2676	1.9885199069976807	0.04982603	Yes	
row_35	K01966	2804	1.2293896675109863	0.03472275	Yes	
row_36	K01847	2814	1.1464027166366577	0.057476383	Yes	
row_37	K01903	2978	0.27544599771499634	0.030823538	Yes	
row_38	K01692	3092	0.04406723752617836	0.020211756	Yes	
