NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	K01438	147	9.716370582580566	-0.014985714	No	
row_1	K00818	181	8.825035095214844	0.022466473	No	
row_2	K09011	209	8.49756145477295	0.062678546	No	
row_3	K00812	520	5.855787754058838	-0.027284164	No	
row_4	K00133	665	5.392941474914551	-0.040889934	No	
row_5	K00928	932	5.042796611785889	-0.11061346	No	
row_6	K00813	1334	3.5246036052703857	-0.24243449	No	
row_7	K01682	1369	3.4249696731567383	-0.2054423	No	
row_8	K00826	1376	3.4130859375	-0.1555706	No	
row_9	K05825	1426	3.223043203353882	-0.12547812	No	
row_10	K00030	1602	2.449702739715576	-0.15334332	No	
row_11	K01652	1997	1.0102219581604004	-0.28194448	Yes	
row_12	K01649	2071	0.8821248412132263	-0.26289156	Yes	
row_13	K01704	2084	0.8372815847396851	-0.21577975	Yes	
row_14	K00053	2111	0.7753254175186157	-0.1751077	Yes	
row_15	K00052	2118	0.7494765520095825	-0.125236	Yes	
row_16	K01703	2126	0.7343915104866028	-0.0758243	Yes	
row_17	K00145	2139	0.7113473415374756	-0.0287125	Yes	
row_18	K00930	2140	0.7113473415374756	0.02391908	Yes	
