NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	K00677	24	13.325413703918457	0.04779412	Yes	
row_1	K02517	25	13.26821517944336	0.106617644	Yes	
row_2	K00748	65	12.365826606750488	0.14751838	Yes	
row_3	K00912	66	12.365826606750488	0.2063419	Yes	
row_4	K01627	67	12.365826606750488	0.26516545	Yes	
row_5	K02527	68	12.365826606750488	0.32398897	Yes	
row_6	K02536	87	11.884325981140137	0.37454045	Yes	
row_7	K03269	106	10.806735038757324	0.42509192	Yes	
row_8	K00979	178	8.904475212097168	0.45128676	Yes	
row_9	K03270	180	8.8883056640625	0.50965077	Yes	
row_10	K03280	592	5.66758918762207	0.37959558	No	
row_11	K02840	859	5.3010711669921875	0.31617647	No	
row_12	K02844	884	5.219355583190918	0.36397058	No	
row_13	K02849	971	4.890073299407959	0.38327205	No	
row_14	K07031	1977	1.0472017526626587	-0.01976103	No	
row_15	K03271	2011	0.9767593145370483	0.02389706	No	
row_16	K03272	2082	0.8384546041488647	0.05055147	No	
