NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	K01662	65	37.822601318359375	0.024806518	Yes	
row_1	K00626	72	37.366859436035156	0.06835509	Yes	
row_2	K00991	84	36.7458381652832	0.11031536	Yes	
row_3	K13787	144	34.96369552612305	0.13702784	Yes	
row_4	K00806	513	31.085514068603516	0.06558278	Yes	
row_5	K03527	666	29.29426383972168	0.0627527	Yes	
row_6	K00099	692	28.866437911987305	0.1002657	Yes	
row_7	K03526	693	28.866437911987305	0.14572024	Yes	
row_8	K00919	713	28.496450424194336	0.18513921	Yes	
row_9	K00805	733	28.252939224243164	0.22455819	Yes	
row_10	K12506	812	26.882144927978516	0.2452351	Yes	
row_11	K13789	819	26.75051498413086	0.28878367	Yes	
row_12	K01770	934	25.201997756958008	0.29802474	Yes	
row_13	K01597	1506	18.604089736938477	0.1620943	Yes	
row_14	K00054	1536	18.432384490966797	0.19833665	Yes	
row_15	K00869	1537	18.432384490966797	0.2437912	Yes	
row_16	K00938	1538	18.432384490966797	0.28924575	Yes	
row_17	K01641	1539	18.432384490966797	0.3347003	Yes	
row_18	K01823	1743	15.782678604125977	0.31566945	No	
row_19	K02523	2109	10.950228691101074	0.24517737	No	
row_20	K00795	2595	5.996618270874023	0.13656585	No	
row_21	K06013	2683	5.141348838806152	0.15438381	No	
