metadata	feature	value	coef	stderr	N	N.not.0	pval	qval
Type	PYRIDOXSYN.PWY	Mucosal	-0.79336809088995	0.109819196978801	89	24	4.31766475669292e-10	5.6734114902945e-07
Line	PWY.6901	LyzCre	-0.778798304421175	0.114142223718011	89	83	1.41073064149086e-09	6.17900020972996e-07
Type	PWY0.845	Mucosal	-0.773586426034946	0.111181184640765	89	35	1.34058616282312e-09	6.17900020972996e-07
Type	PWY.7211	Mucosal	-0.523966208695657	0.0773899926219727	89	80	3.138365618855e-09	1.03095310579387e-06
Type	PWY.5154	Mucosal	-0.622932397402219	0.096877300750774	89	81	1.23563467800586e-08	3.24724793379939e-06
Type	PRPP.PWY	Mucosal	-0.462066765274318	0.0726840489114962	89	86	1.75538547230918e-08	3.8442941843571e-06
Line	P23.PWY	LyzCre	-1.36770043906891	0.101804585620982	89	60	3.51518996723655e-08	6.59851373849832e-06
Type	PWY.6891	Mucosal	1.13376862187644	0.187298700695963	89	13	5.91861268030803e-08	9.72132132740594e-06
Site	P341.PWY	Proximal_Colon	0.770416057349468	0.128242542462447	89	31	7.56346436326862e-08	1.10426579703722e-05
Site	P341.PWY	Cecum	0.736002637787793	0.128242542462447	89	31	2.23753997805661e-07	2.94012753116638e-05
Site	COBALSYN.PWY	Cecum	0.739207933143258	0.129859575560309	89	89	2.81822812806935e-07	3.13636434090473e-05
Type	PWY.4984	Mucosal	-0.505499632319735	0.0890794802319065	89	53	2.86425967205911e-07	3.13636434090473e-05
Line	PWY.4984	LyzCre	-2.6071686423607	0.254702038271168	89	53	4.61038227264284e-07	4.6600325432713e-05
Type	P23.PWY	Mucosal	-0.404500832386094	0.0732683185937796	89	60	4.99665370887012e-07	4.68971640961096e-05
Site	PWY.5188	Cecum	0.594441419750907	0.111301590111908	89	89	1.15875400650201e-06	9.20916274639386e-05
Site	PWY.5509	Proximal_Colon	0.686086758526615	0.12892363548364	89	89	1.13726144214445e-06	9.20916274639386e-05
Site	PWY.6269	Proximal_Colon	0.683736012388004	0.128771263626746	89	89	1.19144419093376e-06	9.20916274639386e-05
Site	PWY.5188	Proximal_Colon	0.587152746353559	0.111301590111908	89	89	1.49330533350842e-06	0.000109011289346115
Site	PWY.5189	Cecum	0.598173112493647	0.114731872380986	89	89	1.87818081911217e-06	0.000124858596101606
Site	PWY.6545	Cecum	0.71538701538123	0.137406518678775	89	80	1.90043525268807e-06	0.000124858596101606
Site	COBALSYN.PWY	Proximal_Colon	0.671276831399619	0.129859575560309	89	89	2.18974989558351e-06	0.000137015779180797
Site	PWY.5189	Proximal_Colon	0.589849191287339	0.114731872380986	89	89	2.48220462091718e-06	0.000138368228040693
Site	PWY.5304	Cecum	0.749895468500215	0.147023561086716	89	15	2.73787970247947e-06	0.000138368228040693
Site	PWY.5509	Cecum	0.661055501697206	0.12892363548364	89	89	2.42649892394697e-06	0.000138368228040693
Site	PWY.6269	Cecum	0.658420027920767	0.128771263626746	89	89	2.56464702735121e-06	0.000138368228040693
Type	PWY.6895	Mucosal	0.701343615055793	0.137390470443875	89	43	2.6706146308813e-06	0.000138368228040693
Site	PWY.7315	Proximal_Colon	0.706563855443455	0.142722993326324	89	76	4.91765250857646e-06	0.000239325755417388
Type	PWY.7456	Mucosal	-0.512821608818992	0.111704543609184	89	29	1.84496033832735e-05	0.000865813530200764
Site	PWY.7374	Cecum	1.01431129947384	0.220928792612276	89	9	1.95240369418951e-05	0.000884640846263801
Line	PWY.6478	LyzCre	-1.12167178888825	0.163433969579114	89	45	2.82627596821693e-05	0.00123790887407901
Site	PWY.5347	Proximal_Colon	0.519622540665233	0.116983787098541	89	84	3.24081208405761e-05	0.0013675496675789
Type	PWY.5695	Mucosal	-0.318853794227235	0.0720750940787936	89	89	3.330410149355e-05	0.0013675496675789
Line	ARG.POLYAMINE.SYN	LyzCre	-0.653187498143378	0.097425915655268	89	67	3.62014137734686e-05	0.00139907816759817
Site	PWY.7371	Cecum	0.88238686263682	0.199617025291883	89	14	3.57398161660915e-05	0.00139907816759817
Type	P108.PWY	Mucosal	-0.481832103294788	0.111456667141574	89	88	4.9396888313706e-05	0.00185450032126313
Site	PWY.3781	Cecum	0.830634639467368	0.193689921156224	89	44	5.88015246949237e-05	0.00214625565136471
Site	HOMOSER.METSYN.PWY	Proximal_Colon	0.551889646669185	0.130549904209173	89	49	6.9825656720732e-05	0.00235258751105235
Site	POLYAMINSYN3.PWY	Proximal_Colon	0.416600718691366	0.0985959540356508	89	15	6.92369061230313e-05	0.00235258751105235
Site	PYRIDNUCSAL.PWY	Proximal_Colon	0.539693850762069	0.127455433596052	89	89	6.73165206022402e-05	0.00235258751105235
Line	PWY.1861	LyzCre	-0.794597488826836	0.135390090359612	89	89	7.31099866972186e-05	0.00240166306300363
Site	P162.PWY	Cecum	0.614581950093132	0.146692841924721	89	10	8.01294502756493e-05	0.00256805116249276
Site	ARGSYNBSUB.PWY	Cecum	0.445815012415809	0.107563324067065	89	89	9.52675338291391e-05	0.00266854986714942
Site	MET.SAM.PWY	Proximal_Colon	0.522687670657575	0.125418463364775	89	72	8.62590159167912e-05	0.00266854986714942
Site	P162.PWY	Proximal_Colon	0.609884686478151	0.146692841924721	89	10	8.96708695281079e-05	0.00266854986714942
Line	POLYAMSYN.PWY	LyzCre	-0.700877781017604	0.116945315312852	89	33	9.45628665600593e-05	0.00266854986714942
Site	PWY.6263	Cecum	0.684247684701762	0.165146275867737	89	42	9.54504138173688e-05	0.00266854986714942
Site	PWY.6478	Proximal_Colon	0.697084482279497	0.168140133122966	89	45	9.27925499808085e-05	0.00266854986714942
Type	COLANSYN.PWY	Mucosal	-0.282401039975198	0.0684302147953981	89	89	9.76842478276151e-05	0.00267410628428096
Site	GLUTORN.PWY	Proximal_Colon	0.516619641075157	0.126411167712434	89	89	0.000116668851505675	0.00307178225896944
Site	PWY0.845	Cecum	-0.558361506555988	0.136797426513875	89	35	0.000116886691741607	0.00307178225896944
Site	PYRIDOXSYN.PWY	Cecum	-0.546233576730773	0.135075106030537	89	24	0.000133083391354987	0.0034288544360873
Site	PWY0.781	Proximal_Colon	0.404055875328516	0.100380705139311	89	89	0.000140540256157705	0.00355134416521586
Line	GLUCUROCAT.PWY	LyzCre	-0.782755751028146	0.145426792311513	89	85	0.000153650762006615	0.00380937926937154
Site	P4.PWY	Proximal_Colon	0.37609551121801	0.0948250103493446	89	89	0.000171796988430494	0.00418039338514203
Site	ARGSYNBSUB.PWY	Proximal_Colon	0.426412476853679	0.107563324067065	89	89	0.000177480967311363	0.00424018165540238
Site	ARGSYN.PWY	Cecum	0.406078381281395	0.104086809243943	89	89	0.000218987105552607	0.00513837601243082
Type	NAGLIPASYN.PWY	Mucosal	-0.466389456870059	0.119943265368094	89	79	0.000224409495516315	0.00517322942295505
Site	PWY.7400	Cecum	0.402822401293501	0.104185730719382	89	89	0.00024637217519201	0.00558160410693623
Site	GLUTORN.PWY	Cecum	0.484935216353923	0.126411167712434	89	89	0.00027397528612018	0.00610175467732061
Line	FUC.RHAMCAT.PWY	LyzCre	-0.7645403259737	0.151051062082544	89	45	0.000286436818323935	0.00627296632129417
