metadata	feature	value	coef	stderr	N	N.not.0	pval	qval
Site_General	PWY.6588	SI	-1.95783355530158	0.123902400822138	277	145	1.36989679371489e-38	2.06169467454091e-35
Site_General	PWY.7003	SI	-1.62495202014633	0.109653407867897	277	167	2.36321333386972e-35	1.77831803373697e-32
Site_General	METH.ACETATE.PWY	SI	-1.20272673468372	0.0913454583033559	277	58	7.19182543278828e-30	2.70592431908659e-27
Site_General	PWY.7315	SI	-1.22875225283717	0.0932802684946639	277	165	6.80185462732539e-30	2.70592431908659e-27
Site_General	POLYAMINSYN3.PWY	SI	-0.950140176050969	0.0766730516101171	277	39	2.37017191304572e-27	7.13421745826761e-25
Site_General	PWY.6478	SI	-1.21676394732374	0.100834245479624	277	92	4.36364954191347e-27	1.09454876009663e-24
Site_General	FUC.RHAMCAT.PWY	SI	-0.819317031133058	0.0717145002075637	277	85	3.11454710888362e-24	6.69627628409979e-22
Site_General	POLYAMSYN.PWY	SI	-0.978478399076447	0.0860889950773947	277	80	4.63007721408218e-24	8.71033275899209e-22
Site_General	PWY.5265	SI	1.47373433576036	0.12982216404464	277	126	5.39449344659379e-24	9.02079181902627e-22
Site_General	ARG.POLYAMINE.SYN	SI	-0.94229884276303	0.0836012647379971	277	143	9.26339260276561e-24	1.39414058671622e-21
Site_General	PWY.6901	SI	-0.937891710926883	0.0832746487686077	277	222	1.02289283403988e-23	1.39950337748183e-21
Site_General	HISDEG.PWY	SI	-1.1127876361773	0.0990103656708483	277	92	1.18593642144783e-23	1.48736192856582e-21
Site_General	GLYCOLYSIS.E.D	SI	0.532403412050655	0.0481781445977599	277	277	4.86234880945981e-23	5.62910381402847e-21
Site_General	PWY.6470	SI	1.74153614647429	0.157900955755058	277	58	5.70036460003903e-23	6.12789194504196e-21
Site_General	TEICHOICACID.PWY	SI	0.83080609143065	0.0786014155061387	277	276	1.56580913594689e-21	1.57102849973338e-19
Site_General	PWY0.845	SI	-0.801732660469685	0.0766921646543738	277	95	3.56298480509372e-21	3.35143258229128e-19
Site_General	PWY.7456	SI	-1.65798636955349	0.159009286946218	277	77	4.26781467672255e-21	3.77827122851026e-19
Site_General	PYRIDOXSYN.PWY	SI	-0.796470545857788	0.076530130307446	277	60	4.97033539018718e-21	4.15575264568428e-19
Site_General	P441.PWY	SI	0.486870722266978	0.0470844394933158	277	277	8.03612506214742e-21	6.36545695712203e-19
Site_General	P461.PWY	SI	0.624686707054491	0.0614633170562131	277	274	2.83042006376228e-20	2.12989109798111e-18
Site_General	OANTIGEN.PWY	SI	0.453937999643511	0.0451097703899006	277	277	5.7529184366656e-20	4.12292487961034e-18
Site_General	GLYOXYLATE.BYPASS	SI	0.712744372662252	0.0720866840051847	277	93	1.97893462368353e-19	1.29491156897553e-17
