metadata	feature	value	coef	stderr	N	N.not.0	pval	qval
Site	LACTOSECAT.PWY	Duodenum	-0.117190849851898	0.0158263778821783	136	127	7.93534139178979e-11	8.50668597199865e-08
Site	GLCMANNANAUT.PWY	Duodenum	-0.0501577127492193	0.0109685324647548	136	136	1.56591793001624e-05	0.00279898530054279
Site	PWY.5910	Duodenum	-0.0661307460218625	0.0137222829247628	136	131	6.02940454678617e-06	0.00279898530054279
Site	PWY.621	Duodenum	-0.0442537425961962	0.00934172532054512	136	136	8.24968663393897e-06	0.00279898530054279
Sequencing_Run	PWY.6470	NovaSeq_Jan_Twenty	2.53519216829249	0.520894331167694	136	14	1.5665962503038e-05	0.00279898530054279
Site	PWY.922	Duodenum	-0.078648217968261	0.017006454752232	136	128	1.29199208435025e-05	0.00279898530054279
Site	PWY0.1586	Duodenum	-0.0464538117647748	0.0104417181500312	136	136	2.51569088578761e-05	0.0038526008993776
Sequencing_Run	PWY0.1479	NovaSeq_Jan_Twenty	-1.16945652799222	0.24945052962883	136	10	3.76189658448619e-05	0.00504094142321149
Site	GLYCOGENSYNTH.PWY	Duodenum	-0.038855465547281	0.00902317981411472	136	136	4.30512751246283e-05	0.00512788521484461
Sequencing_Run	PWY.2941	NovaSeq_Mar_Twenty	-0.351303826844142	0.0786016863998612	136	135	5.41367825715717e-05	0.00527587553788408
Sex	PWY.5910	Male	-0.139074044730041	0.0308410891930668	136	131	5.33390967666217e-05	0.00527587553788408
Site	PWY0.1296	Duodenum	-0.0449118102289612	0.010656986179934	136	136	6.0522394455699e-05	0.00540666723804245
Sex	PWY.922	Male	-0.172256695465086	0.0390128822756532	136	128	7.12305208627107e-05	0.00587377833575584
Site	HEXITOLDEGSUPER.PWY	Jejunum	0.197960800611579	0.0488987665420534	136	71	0.000124411440327412	0.00952636171649895
Site	NONOXIPENT.PWY	Duodenum	-0.0332855723018957	0.00842089917309295	136	136	0.000155583140542276	0.0106542968393484
Site	P23.PWY	Jejunum	0.133110819895479	0.0337428300124804	136	69	0.000179879109139652	0.0106542968393484
Sex	PWY.7013	Male	-0.49041140218524	0.115003886165221	136	91	0.000177085301695496	0.0106542968393484
Site	PWY0.1298	Duodenum	-0.0472636718983445	0.0119761985862543	136	136	0.000159160469197773	0.0106542968393484
Site	TRNA.CHARGING.PWY	Duodenum	-0.0331998751719286	0.00851882095167902	136	136	0.000188835485025765	0.0106542968393484
Site	PWY0.1297	Duodenum	-0.0445744036401092	0.0115121205600777	136	136	0.000206675665352029	0.0106694515655713
Site	THRESYN.PWY	Duodenum	-0.0385147404989946	0.00995511679493942	136	136	0.000209009778803169	0.0106694515655713
Site	PWY4FS.7	Duodenum	-0.0370744597483237	0.00966832084086562	136	136	0.000235575354763029	0.0109798600133029
Site	PWY4FS.8	Duodenum	-0.0370744597483237	0.00966832084086562	136	136	0.000235575354763029	0.0109798600133029
Site	TEICHOICACID.PWY	Duodenum	-0.0816352671324877	0.02137837051338	136	127	0.000249299354763785	0.011135371179449
Sequencing_Run	FERMENTATION.PWY	NovaSeq_Jan_Twenty	-0.189178650447042	0.0474784781926963	136	129	0.000260691335012565	0.0111784444453388
Site	ANAGLYCOLYSIS.PWY	Duodenum	-0.0319905123946857	0.00875432812069099	136	136	0.000437651178697752	0.0113874422556642
Site	PEPTIDOGLYCANSYN.PWY	Duodenum	-0.0339735035186506	0.00932010065941767	136	136	0.000451366652796838	0.0113874422556642
Site	PHOSLIPSYN.PWY	Duodenum	-0.0353956929122934	0.0093977433580735	136	136	0.00029844050702491	0.0113874422556642
Site	PWY.1861	Duodenum	-0.0781136227877013	0.0211391664477845	136	118	0.000391037783327479	0.0113874422556642
Site	PWY.5097	Duodenum	-0.0326819320991528	0.00903781246549093	136	136	0.000497680001985752	0.0113874422556642
Site	PWY.5100	Duodenum	-0.0338062261622171	0.0090203304777382	136	136	0.000318226365317615	0.0113874422556642
Sex	PWY.5384	Male	-0.436400902050501	0.111682589832752	136	76	0.000444604545404238	0.0113874422556642
Site	PWY.5667	Duodenum	-0.0335232644335815	0.00898470578648618	136	136	0.000336904359737345	0.0113874422556642
Site	PWY.5686	Duodenum	-0.0323141705699604	0.00888048695961203	136	136	0.000461248622435008	0.0113874422556642
Sequencing_Run	PWY.5913	NovaSeq_Mar_Twenty	-0.693584118156785	0.180016003057586	136	104	0.000367541641066226	0.0113874422556642
Site	PWY.6151	Duodenum	-0.0386455330596896	0.0105803419251764	136	136	0.000440286169519298	0.0113874422556642
Site	PWY.6317	Duodenum	-0.0338779186886779	0.00937071877807251	136	136	0.000499262860089757	0.0113874422556642
Site	PWY.6385	Duodenum	-0.0340718312629841	0.00940138915433079	136	136	0.000484556370652495	0.0113874422556642
Site	PWY.6386	Duodenum	-0.0341656233774288	0.00933474048556692	136	136	0.000429246602718257	0.0113874422556642
Site	PWY.6387	Duodenum	-0.0338850976125928	0.00929081119449096	136	136	0.00044837239845636	0.0113874422556642
Site	PWY.6467	Duodenum	0.245429461919474	0.0667900232907597	136	69	0.000498762122253238	0.0113874422556642
Site	PWY.6609	Duodenum	-0.0364832368197481	0.0097148532322919	136	136	0.000310154994514973	0.0113874422556642
Site	PWY.7219	Duodenum	-0.0328152985255264	0.0088800935210851	136	136	0.000380722557434117	0.0113874422556642
Site	PWY.7221	Duodenum	-0.0334421679622039	0.00922186406339566	136	136	0.000480819796753206	0.0113874422556642
Site	PWY0.1319	Duodenum	-0.0335232644335815	0.00898470578648618	136	136	0.000336904359737345	0.0113874422556642
Sequencing_Run	RIBOSYN2.PWY	NovaSeq_Jan_Twenty	-0.21886427397332	0.0567204489625167	136	130	0.000388019468676027	0.0113874422556642
Sex	TEICHOICACID.PWY	Male	-0.139390682190667	0.0361033878596232	136	127	0.00038938303663176	0.0113874422556642
Site	PWY.2942	Duodenum	-0.0324984029263149	0.0090071675880166	136	136	0.000511369652035759	0.0114053365242626
Site	PWY.6123	Duodenum	-0.0364120014732522	0.0101207014791566	136	136	0.000529115729041888	0.0114053365242626
Site	PWY.7208	Duodenum	-0.0319559910071072	0.0088858379986519	136	136	0.000531965322960007	0.0114053365242626
Sequencing_Run	P441.PWY	NovaSeq_Jan_Twenty	-0.139482276085857	0.0372696270668657	136	135	0.000543920643092006	0.0114300488754759
Site	PWY.6122	Duodenum	-0.034193118800145	0.00955608300125571	136	136	0.000565105028358415	0.0114300488754759
Site	PWY.6277	Duodenum	-0.034193118800145	0.00955608300125571	136	136	0.000565105028358415	0.0114300488754759
Sex	OANTIGEN.PWY	Male	-0.0574724312205224	0.0153770068151422	136	136	0.000580802725273974	0.0115300096572907
Site	POLYISOPRENSYN.PWY	Duodenum	-0.0425422236115732	0.0120247815497749	136	136	0.000645949186319253	0.0125901368678953
Site	COA.PWY	Duodenum	-0.0334367146257437	0.00956548222649858	136	136	0.000743143408264055	0.0142258881010548
Site	PWY.7229	Duodenum	-0.0313190050312456	0.00900587005035604	136	136	0.000788094330109392	0.0148217038925836
Site	P161.PWY	Duodenum	-0.0422375172348313	0.0122554857122769	136	136	0.000872497628770808	0.0155886243007051
Site	PWY.6121	Duodenum	-0.0329876350508467	0.00954385321146083	136	136	0.000844394513551618	0.0155886243007051
Sequencing_Run	PWY.6470	NovaSeq_Mar_Twenty	2.76887529029703	0.772123507082344	136	14	0.000859350534850598	0.0155886243007051
Site	PWY.6126	Duodenum	-0.031354497745966	0.00919232347968267	136	136	0.000979162390232743	0.0169300335859597
Site	RUMP.PWY	Duodenum	-0.0950455838508332	0.0277800830874327	136	114	0.000967447789310508	0.0169300335859597
Sequencing_Run	PWY.5913	NovaSeq_Jan_Twenty	-0.35625103889413	0.100828711607467	136	104	0.000997553115454306	0.016974237139159
Sequencing_Run	PWY.5509	NovaSeq_Jan_Twenty	-0.587585880879063	0.164495356134393	136	113	0.00103388329166909	0.0173175451354572
Site	PWY.5973	Duodenum	-0.033483887459082	0.00994929096872991	136	136	0.00113380240740722	0.0186990181652391
Site	UDPNAGSYN.PWY	Duodenum	-0.0375221320514454	0.0112879555227937	136	136	0.00129391836847962	0.0210163710759114
Sequencing_Run	PWY0.1479	NovaSeq_Mar_Twenty	-1.22228610157902	0.35158685860771	136	10	0.00134034386901076	0.0214455019041722
Sex	ILEUSYN.PWY	Male	0.0695248152609565	0.0207144282374713	136	136	0.00168707801609202	0.0252994580197073
Sex	PWY.5101	Male	0.0717487478862616	0.0213698418322137	136	136	0.00168167734814739	0.0252994580197073
Sequencing_Run	PWY.5484	NovaSeq_Mar_Twenty	-0.143228230086957	0.0428635927233827	136	136	0.00167689136177745	0.0252994580197073
Site	PWY.6471	Duodenum	-0.0401055943181512	0.0123871662009775	136	136	0.00169921732968183	0.0252994580197073
Sex	VALSYN.PWY	Male	0.0695248152609565	0.0207144282374713	136	136	0.00168707801609202	0.0252994580197073
Sex	NAD.BIOSYNTHESIS.II	Male	0.616083330303757	0.17271298338835	136	32	0.00182808348089767	0.026349484627229
Sex	P341.PWY	Male	0.431765810987341	0.122435946576747	136	17	0.00184348073418113	0.026349484627229
Sequencing_Run	P441.PWY	NovaSeq_Mar_Twenty	-0.223921754767451	0.0677440049493469	136	135	0.00181843902152925	0.026349484627229
Sequencing_Run	PWY.6269	NovaSeq_Jan_Twenty	-0.500352271469204	0.148897004127527	136	113	0.00192936263457794	0.027214167687731
Site	PWY.7196	Duodenum	-0.0355793016867441	0.0111828810464832	136	135	0.00202607654147853	0.027521014870256
Sex	PWY.7220	Male	-0.0590248190732598	0.0178944535386825	136	136	0.00202813449137148	0.027521014870256
Sex	PWY.7222	Male	-0.0590248190732598	0.0178944535386825	136	136	0.00202813449137148	0.027521014870256
Site	PRPP.PWY	Duodenum	0.159025061499023	0.0500764304742249	136	85	0.00211161554431293	0.0275325632836391
Sequencing_Run	PWY.6471	NovaSeq_Mar_Twenty	-0.230711678219593	0.0708056157223906	136	136	0.00213171898558026	0.0275325632836391
Site	PWY.7663	Duodenum	-0.0308192716822185	0.00970496333440706	136	136	0.00206143508753604	0.0275325632836391
Site	PWY.841	Duodenum	-0.0380283793197422	0.0119972192703446	136	136	0.00209897542179222	0.0275325632836391
Site	DENOVOPURINE2.PWY	Duodenum	-0.0368989064649989	0.0117344010565486	136	136	0.0022686083590513	0.0276658966564622
