2021-09-09 10:32:16 INFO::Writing function arguments to log file
2021-09-09 10:32:16 DEBUG::Function arguments
2021-09-09 10:32:16 DEBUG::Output folder: LogCLR-Mucosal-ComBat-Maaslin-SeqRunSexSite-1-Line-MsID
2021-09-09 10:32:16 DEBUG::Min Abundance: 0.000000
2021-09-09 10:32:16 DEBUG::Min Prevalence: 0.100000
2021-09-09 10:32:16 DEBUG::Normalization: CLR
2021-09-09 10:32:16 DEBUG::Transform: LOG
2021-09-09 10:32:16 DEBUG::Analysis method: LM
2021-09-09 10:32:16 DEBUG::Max significance: 0.250000
2021-09-09 10:32:16 DEBUG::Random effects: Line,MouseID_Line
2021-09-09 10:32:16 DEBUG::Fixed effects: Sequencing_Run,Sex,Site
2021-09-09 10:32:16 DEBUG::Correction method: BH
2021-09-09 10:32:16 DEBUG::Standardize: TRUE
2021-09-09 10:32:16 DEBUG::Cores: 1
2021-09-09 10:32:16 INFO::Verifying options selected are valid
2021-09-09 10:32:16 INFO::Determining format of input files
2021-09-09 10:32:16 INFO::Input format is data samples as columns and metadata samples as rows
2021-09-09 10:32:16 DEBUG::Transformed data so samples are rows
2021-09-09 10:32:16 DEBUG::A total of 270 samples were found in both the data and metadata
2021-09-09 10:32:16 DEBUG::Reordering data/metadata to use same sample ordering
2021-09-09 10:32:16 INFO::Formula for random effects: expr ~ (1 | Line) + (1 | MouseID_Line)
2021-09-09 10:32:16 INFO::Formula for fixed effects: expr ~  Sequencing_Run + Sex + Site
2021-09-09 10:32:16 INFO::Running selected normalization method: CLR
2021-09-09 10:32:16 INFO::Filter data based on min abundance and min prevalence
2021-09-09 10:32:16 INFO::Total samples in data: 270
2021-09-09 10:32:16 INFO::Min samples required with min abundance for a feature not to be filtered: 27.000000
2021-09-09 10:32:16 INFO::Total filtered features: 36
2021-09-09 10:32:16 INFO::Filtered feature names: CENTFERM.PWY, CODH.PWY, LEU.DEG2.PWY, P125.PWY, P162.PWY, P163.PWY, POLYAMINSYN3.PWY, PWY.4361, PWY.5005, PWY.5088, PWY.5177, PWY.5180, PWY.5182, PWY.5415, PWY.5507, PWY.5532, PWY.5676, PWY.5677, PWY.5741, PWY.5920, PWY.6165, PWY.6396, PWY.6572, PWY.6590, PWY.6728, PWY.6749, PWY.7090, PWY.7094, PWY.7198, PWY.7210, PWY.7371, PWY.7374, PWY.7431, PWY.7456, PWY.7527, THREOCAT.PWY
2021-09-09 10:32:16 INFO::Applying z-score to standardize continuous metadata
2021-09-09 10:32:16 INFO::Running selected transform method: LOG
2021-09-09 10:32:16 INFO::Running selected analysis method: LM
2021-09-09 10:32:16 INFO::Fitting model to feature number 1, X1CMET2.PWY
2021-09-09 10:32:16 INFO::Fitting model to feature number 2, ALL.CHORISMATE.PWY
2021-09-09 10:32:16 WARNING::Fitting problem for feature 2 returning NA
2021-09-09 10:32:16 INFO::Fitting model to feature number 3, ANAEROFRUCAT.PWY
2021-09-09 10:32:16 INFO::Fitting model to feature number 4, ANAGLYCOLYSIS.PWY
2021-09-09 10:32:16 INFO::Fitting model to feature number 5, ARG.POLYAMINE.SYN
2021-09-09 10:32:16 INFO::Fitting model to feature number 6, ARGDEG.PWY
2021-09-09 10:32:16 WARNING::Fitting problem for feature 6 returning NA
2021-09-09 10:32:16 INFO::Fitting model to feature number 7, ARGORNPROST.PWY
2021-09-09 10:32:16 INFO::Fitting model to feature number 8, ARGSYN.PWY
2021-09-09 10:32:16 INFO::Fitting model to feature number 9, ARGSYNBSUB.PWY
2021-09-09 10:32:16 INFO::Fitting model to feature number 10, ARO.PWY
2021-09-09 10:32:16 INFO::Fitting model to feature number 11, ASPASN.PWY
2021-09-09 10:32:16 INFO::Fitting model to feature number 12, AST.PWY
2021-09-09 10:32:16 WARNING::Fitting problem for feature 12 returning NA
2021-09-09 10:32:16 INFO::Fitting model to feature number 13, BIOTIN.BIOSYNTHESIS.PWY
2021-09-09 10:32:16 INFO::Fitting model to feature number 14, BRANCHED.CHAIN.AA.SYN.PWY
2021-09-09 10:32:16 INFO::Fitting model to feature number 15, CALVIN.PWY
2021-09-09 10:32:16 INFO::Fitting model to feature number 16, COA.PWY
2021-09-09 10:32:16 INFO::Fitting model to feature number 17, COBALSYN.PWY
2021-09-09 10:32:17 INFO::Fitting model to feature number 18, COLANSYN.PWY
2021-09-09 10:32:17 INFO::Fitting model to feature number 19, COMPLETE.ARO.PWY
2021-09-09 10:32:17 INFO::Fitting model to feature number 20, DAPLYSINESYN.PWY
2021-09-09 10:32:17 INFO::Fitting model to feature number 21, DENOVOPURINE2.PWY
2021-09-09 10:32:17 INFO::Fitting model to feature number 22, DTDPRHAMSYN.PWY
2021-09-09 10:32:17 INFO::Fitting model to feature number 23, ECASYN.PWY
2021-09-09 10:32:17 WARNING::Fitting problem for feature 23 returning NA
2021-09-09 10:32:17 INFO::Fitting model to feature number 24, ENTBACSYN.PWY
2021-09-09 10:32:17 WARNING::Fitting problem for feature 24 returning NA
2021-09-09 10:32:17 INFO::Fitting model to feature number 25, FAO.PWY
2021-09-09 10:32:17 INFO::Fitting model to feature number 26, FASYN.ELONG.PWY
2021-09-09 10:32:17 INFO::Fitting model to feature number 27, FASYN.INITIAL.PWY
2021-09-09 10:32:17 WARNING::Fitting problem for feature 27 returning NA
2021-09-09 10:32:17 INFO::Fitting model to feature number 28, FERMENTATION.PWY
2021-09-09 10:32:17 INFO::Fitting model to feature number 29, FOLSYN.PWY
2021-09-09 10:32:17 INFO::Fitting model to feature number 30, FUC.RHAMCAT.PWY
2021-09-09 10:32:17 INFO::Fitting model to feature number 31, FUCCAT.PWY
2021-09-09 10:32:17 INFO::Fitting model to feature number 32, GALACT.GLUCUROCAT.PWY
2021-09-09 10:32:17 INFO::Fitting model to feature number 33, GALACTARDEG.PWY
2021-09-09 10:32:17 WARNING::Fitting problem for feature 33 returning NA
2021-09-09 10:32:17 INFO::Fitting model to feature number 34, GALACTUROCAT.PWY
2021-09-09 10:32:17 INFO::Fitting model to feature number 35, GLCMANNANAUT.PWY
2021-09-09 10:32:17 INFO::Fitting model to feature number 36, GLUCARDEG.PWY
2021-09-09 10:32:17 WARNING::Fitting problem for feature 36 returning NA
2021-09-09 10:32:17 INFO::Fitting model to feature number 37, GLUCARGALACTSUPER.PWY
2021-09-09 10:32:18 WARNING::Fitting problem for feature 37 returning NA
2021-09-09 10:32:18 INFO::Fitting model to feature number 38, GLUCONEO.PWY
2021-09-09 10:32:18 INFO::Fitting model to feature number 39, GLUCOSE1PMETAB.PWY
2021-09-09 10:32:18 WARNING::Fitting problem for feature 39 returning NA
2021-09-09 10:32:18 INFO::Fitting model to feature number 40, GLUCUROCAT.PWY
2021-09-09 10:32:18 INFO::Fitting model to feature number 41, GLUTORN.PWY
2021-09-09 10:32:18 INFO::Fitting model to feature number 42, GLYCOCAT.PWY
2021-09-09 10:32:18 INFO::Fitting model to feature number 43, GLYCOGENSYNTH.PWY
2021-09-09 10:32:18 INFO::Fitting model to feature number 44, GLYCOL.GLYOXDEG.PWY
2021-09-09 10:32:18 WARNING::Fitting problem for feature 44 returning NA
2021-09-09 10:32:18 INFO::Fitting model to feature number 45, GLYCOLYSIS
2021-09-09 10:32:18 INFO::Fitting model to feature number 46, GLYCOLYSIS.E.D
2021-09-09 10:32:18 INFO::Fitting model to feature number 47, GLYCOLYSIS.TCA.GLYOX.BYPASS
2021-09-09 10:32:18 INFO::Fitting model to feature number 48, GLYOXYLATE.BYPASS
2021-09-09 10:32:18 INFO::Fitting model to feature number 49, GOLPDLCAT.PWY
2021-09-09 10:32:18 INFO::Fitting model to feature number 50, HCAMHPDEG.PWY
2021-09-09 10:32:18 WARNING::Fitting problem for feature 50 returning NA
2021-09-09 10:32:18 INFO::Fitting model to feature number 51, HEME.BIOSYNTHESIS.II
2021-09-09 10:32:18 INFO::Fitting model to feature number 52, HEMESYN2.PWY
2021-09-09 10:32:18 INFO::Fitting model to feature number 53, HEXITOLDEGSUPER.PWY
2021-09-09 10:32:18 INFO::Fitting model to feature number 54, HISDEG.PWY
2021-09-09 10:32:18 INFO::Fitting model to feature number 55, HISTSYN.PWY
