feature,Site,metadata,value,coef,stderr,N,N.not.0,pval,qval,Pathway,L2,L2A,L2B,L2C,L3
1CMET2-PWY,Proximal_Colon,Type,Mucosal,-0.06299823991,0.01614867464,95,95,0.0001882747687,0.00164152064,folate transformations III (E. coli),Folate Transformations (3 instances),,,,Folate Biosynthesis (14 instances)
ANAEROFRUCAT-PWY,Proximal_Colon,Type,Mucosal,-0.08325526006,0.01444744452,95,95,0.0000001234494236,0.000004259352622,homolactic fermentation,Fermentation to Lactate (8 instances),,,,Fermentation to Short-Chain Fatty Acids (40 instances)
ANAGLYCOLYSIS-PWY,Proximal_Colon,Type,Mucosal,-0.07866024026,0.01580727443,95,95,0.000003247335634,0.00005033370233,glycolysis III (from glucose),Glycolysis (5 instances),,,,Generation of Precursor Metabolites and Energy (240 instances)
ASPASN-PWY,Proximal_Colon,Type,Mucosal,-0.0724760624,0.01597147301,95,95,0.00001814199637,0.000208011657,superpathway of L-aspartate and L-asparagine biosynthesis,Amino Acid Biosynthesis (124 instances),,,,Biosynthesis (1993 instances)
CALVIN-PWY,Proximal_Colon,Type,Mucosal,-0.04435489167,0.01406011564,95,95,0.002207495424,0.01579208265,Calvin-Benson-Bassham cycle,Sugar Biosynthesis (107 instances),Autotrophic CO2 Fixation (12 instances),,,Carbohydrate Biosynthesis (228 instances)
COA-PWY,Proximal_Colon,Type,Mucosal,-0.09888830126,0.01830504513,95,95,0.0000005669257627,0.00001248728588,coenzyme A biosynthesis I (prokaryotic),Coenzyme A Biosynthesis (8 instances),,,,Carrier Biosynthesis (137 instances)
COLANSYN-PWY,Proximal_Colon,Type,Mucosal,-0.1191931352,0.02147566872,95,83,0.000001291475,0.00002573725179,colanic acid building blocks biosynthesis,Carbohydrate Biosynthesis (228 instances),,,,Biosynthesis (1993 instances)
DAPLYSINESYN-PWY,Proximal_Colon,Type,Mucosal,-0.05224121987,0.01705478031,95,95,0.002916094531,0.02068450104,L-lysine biosynthesis I,L-lysine Biosynthesis (6 instances),,,,Proteinogenic Amino Acid Biosynthesis (89 instances)
DENOVOPURINE2-PWY,Proximal_Colon,Type,Mucosal,-0.1145659388,0.01895371487,95,95,0.0000000364447695,0.000001694681782,superpathway of purine nucleotides de novo biosynthesis II,Purine Nucleotide De Novo Biosynthesis (16 instances),,,,Purine Nucleotide Biosynthesis (33 instances)
DTDPRHAMSYN-PWY,Proximal_Colon,Type,Mucosal,-0.08648826942,0.02957031374,95,91,0.004419400806,0.02983095544,dTDP-beta-L-rhamnose biosynthesis,dTDP-sugar Biosynthesis (22 instances),,,,Sugar Nucleotide Biosynthesis (92 instances)
FASYN-ELONG-PWY,Proximal_Colon,Type,Mucosal,-0.1252184104,0.0178010288,95,95,0.0000000004318609021,0.00000004518344688,fatty acid elongation -- saturated,Fatty Acid Biosynthesis (92 instances),,,,Fatty Acid and Lipid Biosynthesis (224 instances)
FERMENTATION-PWY,Proximal_Colon,Type,Mucosal,-0.1630273278,0.01635655783,95,90,0,0.0000000001589599265,mixed acid fermentation,Pyruvate Fermentation to Ethanol (7 instances),Fermentation to Short-Chain Fatty Acids (40 instances),,,Fermentation of Pyruvate (37 instances)
