Pathway,Jejunum
Calvin-Benson-Bassham cycle,-0.02966863
chorismate biosynthesis from 3-dehydroquinate,-0.118319811
chorismate biosynthesis I,-0.123896269
"cob(II)yrinate a,c-diamide biosynthesis I (early cobalt insertion)",0.163004413
D-fructuronate degradation,-0.091004975
folate transformations III (E. coli),-0.041134084
GDP-mannose biosynthesis,-0.136983657
glycogen degradation I,-0.038559397
L-isoleucine biosynthesis I (from threonine),-0.04077708
L-isoleucine biosynthesis II,-0.040241596
L-isoleucine biosynthesis III,-0.049726053
L-isoleucine biosynthesis IV,-0.057906141
L-tryptophan biosynthesis,-0.083534085
L-valine biosynthesis,-0.04077708
methylerythritol phosphate pathway I,-0.099347894
methylerythritol phosphate pathway II,-0.099347894
NAD salvage pathway I (PNC VI cycle),-0.143369422
pentose phosphate pathway (non-oxidative branch) I,-0.047873123
peptidoglycan biosynthesis II (staphylococci),-0.277739202
pyrimidine deoxyribonucleosides salvage,-0.097689549
queuosine biosynthesis I (de novo),-0.077145768
starch degradation V,-0.044473571
superpathway of arginine and polyamine biosynthesis,-0.347995404
superpathway of aromatic amino acid biosynthesis,-0.113204511
superpathway of branched chain amino acid biosynthesis,-0.046556206
superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP),-0.076740948
superpathway of L-aspartate and L-asparagine biosynthesis,-0.058319521
superpathway of L-isoleucine biosynthesis I,-0.034145748
superpathway of L-tyrosine biosynthesis,-0.112399867
TCA cycle V (2-oxoglutarate synthase),-0.111949187
thiazole component of thiamine diphosphate biosynthesis I,-0.106751949
