Module	Mouse4A.FP19	Mouse9A.FP102	Mouse2A.FP07	Mouse2A.FP09	Mouse6A.FP31	Mouse6A.FP32	Mouse2A.FP08	Mouse6A.FP35	Mouse6A.FP36	Mouse6A.FP33	Mouse8A.DTT88	Mouse6A.FP34	Mouse8A.DTT89	Mouse10A.DTT110	Mouse8A.DTT86	Mouse8A.DTT87	Mouse10A.DTT112	Mouse9A.FP101	Mouse10A.DTT111	Mouse8A.DTT85	Mouse9A.FP100	Mouse4A.FP21	Mouse4A.FP20	Mouse4A.FP23	Mouse4A.FP22	Mouse8A.DTT90	Mouse10A.DTT109	Mouse4A.FP24	Mouse1A.FP04	Mouse8A.FP88	Mouse8A.FP89	Mouse1A.FP03	Mouse8A.FP86	Mouse1A.FP02	Mouse8A.FP87	Mouse1A.FP01	Mouse8A.FP85	Mouse1A.FP06	Mouse1A.FP05	Mouse9A.DTT101	Mouse9A.DTT100	Mouse9A.DTT102	Mouse4A.DTT19	Mouse4A.DTT23	Mouse4A.DTT22	Mouse4A.DTT24	Mouse4A.DTT21	Mouse4A.DTT20	Mouse5A.FP30	Mouse6A.DTT35	Mouse7A.DTT37	Mouse10A.FP110	Mouse6A.DTT36	Mouse7A.DTT39	Mouse10A.FP112	Mouse7A.DTT38	Mouse10A.FP111	Mouse6A.DTT31	Mouse10A.FP114	Mouse6A.DTT32	Mouse10A.FP113	Mouse6A.DTT33	Mouse6A.DTT34	Mouse5A.DTT30	Mouse5A.FP27	Mouse5A.FP28	Mouse5A.FP29	Mouse5A.FP25	Mouse5A.FP26	Mouse5A.DTT25	Mouse5A.DTT26	Mouse1B.DTT13	Mouse1B.DTT14	Mouse5A.DTT29	Mouse5A.DTT27	Mouse5A.DTT28	Mouse10A.FP109	Mouse8A.FP90	Mouse1B.DTT15	Mouse1B.DTT16	Mouse1B.DTT17	Mouse1B.DTT18	Mouse7A.FP37	Mouse7A.FP38	Mouse7A.FP39	Mouse2A.FP10	Mouse2A.FP12	Mouse9A.DTT99	Mouse2A.FP11	Mouse9A.DTT98	Mouse9A.DTT97	Mouse10A.DTT114	Mouse10A.DTT113	Mouse9A.FP97	Mouse9A.FP98	Mouse9A.FP99	Mouse3A.FP18	Mouse3A.FP17	Mouse3A.FP16	Mouse3A.FP15	Mouse3A.FP14	Mouse3A.FP13	Mouse7A.DTT40	Mouse7A.FP40	Mouse7A.DTT42	Mouse7A.FP41	Mouse7A.DTT41	Mouse7A.FP42
MGB015	12985.09	31174.78	10451.93	13164.89	11900.85	12968.91	12385.47	8344.36	8849.55	13048.67	5341.82	6237.37	12530.04	11470.51	9662.32	26605.92	8430.29	30038.53	12032.84	14961.72	31182.5	12142.09	10383.56	1234.84	1003.08	14356.22	17475.03	2775.5	5725.69	10392.43	18176.09	20134.39	15306.96	22334.22	21419.61	16115.04	13854.98	5138.33	6931.73	13964.37	18584.94	12693.4	12617.4	4063.42	2340.73	8579.15	14929.83	13601.89	9932.0	5568.11	8078.92	5255.19	6554.67	20886.59	16023.44	14174.09	11779.33	17210.99	11521.92	13182.15	20861.53	18106.48	2546.75	7939.87	3870.11	5953.42	11863.13	9071.18	11233.95	19866.31	13028.0	12332.53	14508.12	7214.16	23476.45	8964.74	13224.15	18943.5	19323.31	4582.08	3662.44	2445.57	6985.58	11520.96	10640.4	8799.16	9561.44	35477.21	11598.33	40951.13	31381.01	8159.09	9473.15	22128.13	16015.27	40118.83	1788.7	2126.64	5102.13	11526.66	8865.31	8434.0	5811.54	6115.42	6215.15	6494.42	4828.58	7650.26
MGB037	12729.310000000001	34424.369999999995	16291.454999999998	11011.765	12080.075	16724.545000000002	14240.45	13458.735	11760.08	14767.885	11662.810000000001	9493.619999999999	26257.42	17344.665	12669.23	16602.3	14631.415	34636.315	17792.16	18518.905	34157.065	12119.185000000001	11482.6	19277.149999999998	18475.54	27660.515	17232.52	15839.0	16341.395	24912.899999999998	35127.149999999994	16602.675	16368.885000000002	9697.635	14408.33	8392.57	9501.345	13182.875	15112.585	16776.065000000002	25087.895	12962.29	15182.6	15570.150000000001	6513.73	14039.415	10279.415	10812.415	14531.15	8028.56	13199.075	13025.945	10737.185000000001	14565.895	23885.915	8330.15	18493.655	15518.079999999998	22151.165	10626.495	32780.225	13405.25	3811.875	9840.935000000001	7031.52	11159.335	16114.625	13785.404999999999	15939.035	9949.345000000001	18395.235	16789.79	15313.915	10773.645	17118.48	11212.994999999999	26607.824999999997	49145.104999999996	19657.300000000003	8438.915	5663.700000000001	3692.125	12309.475	10540.369999999999	10434.605	12015.23	12218.95	15759.005000000001	14564.52	14837.83	21078.17	9077.005000000001	13605.33	22009.705	17231.93	15050.785	16454.16	13225.205	9636.475	16853.239999999998	14354.18	12255.989999999998	7396.619999999999	7921.355	8297.415	8108.1849999999995	7816.165	11347.335
MGB038	1433.0	454.5	575.43	1082.2	315.93	370.57	368.93	187.0	86.0	504.3	73.1	116.0	115.4	928.1	593.0	362.97	177.1	174.67	916.2	720.47	70.17	449.83	387.17	4.5	0.0	199.7	2622.5	36.0	36.0	38.0	155.8	1545.8	505.7	689.03	594.93	769.8	729.97	37.0	153.5	164.5	112.0	175.0	832.83	454.5	129.0	1409.0	501.0	756.17	44.0	1506.0	1849.93	308.4	286.0	1805.6	468.6	899.63	628.47	3261.1	131.5	3824.6	58.0	2260.6	251.5	126.0	17.5	12.0	354.23	139.2	186.27	468.2	1698.97	781.67	755.27	117.0	859.83	238.43	708.7	46.5	638.53	50.0	133.97	70.5	196.87	296.33	389.5	48.83	82.97	791.4	73.33	1979.6	768.9	1256.4	109.0	703.0	645.87	1131.7	164.37	113.27	52.87	663.97	382.03	307.97	641.33	87.67	1692.0	69.0	228.5	84.5
MGB039	26.33	72.33	13.0	19.0	20.66	51.17	14.0	53.0	18.0	26.17	30.0	28.0	65.0	25.0	85.0	111.17	43.0	12.84	30.0	106.17	10.5	17.0	9.0	13.0	7.0	161.0	608.0	12.0	8.0	6.0	64.33	1214.0	74.0	187.5	13.83	130.33	16.17	7.0	30.67	37.0	38.0	80.0	104.0	27.0	10.0	35.0	41.0	79.5	78.0	13.0	27.0	5.67	18.0	98.67	99.0	76.16	9.84	133.67	41.0	75.5	8.0	107.67	13.0	24.0	27.0	15.0	50.0	12.0	18.0	83.33	65.17	68.5	136.17	8.0	117.0	56.0	24.0	28.0	84.33	3.0	8.67	16.0	12.0	13.66	16.67	12.0	30.0	96.0	85.0	152.17	152.33	306.0	32.0	52.83	29.17	19.67	13.0	21.0	8.0	38.0	10.0	7.0	16.0	14.0	28.0	7.0	9.0	16.0
MGB033	33661.92	45929.43	29284.59	26900.32	22342.84	33860.08	27975.15	14526.39	12310.19	29862.67	12398.41	9840.6	27870.52	30828.84	30098.45	31900.29	15998.98	41560.1	33720.67	37955.61	38591.42	30086.21	25259.53	36868.5	35186.25	30849.07	28376.6	26019.5	21193.0	29542.3	44041.17	25622.86	40447.23	29375.65	35913.22	22637.98	26907.45	16010.75	17383.75	19665.52	28495.97	15802.95	30436.03	22318.5	7016.25	12331.2	19296.83	22218.07	15102.96	8268.68	21863.79	21963.72	10993.46	25860.67	31668.22	23369.67	31426.5	31998.87	30206.5	26650.2	44018.0	26655.49	3745.5	12165.1	15183.25	11092.17	44862.02	19006.88	28047.06	27102.32	33273.75	32247.35	35633.81	11358.29	29879.02	13023.16	42719.2	58804.54	36525.49	10048.33	7996.43	6109.5	20869.5	21622.02	29022.49	14205.62	12819.18	38350.23	17303.12	68182.4	40761.38	12689.71	12340.74	44499.69	33886.47	51596.54	26854.0	23798.0	10067.86	30084.75	25309.32	21925.46	8788.1	15678.88	10481.24	10027.96	8462.58	12072.59
MGB055	10256.51	28834.77	8300.09	8466.66	8191.36	7871.41	8155.39	7889.3	8761.69	7843.5	4947.24	6142.02	12070.36	8713.34	6878.29	7019.666666666667	7383.31	28590.6	8494.34	10361.2	30654.57	7299.46	6677.45	1772.9450000000002	972.08	12221.66	12091.86	3480.5	8215.645	10115.88	14861.17	15766.27	10063.49	10332.91	10186.31	9919.96	8241.38	5928.0	8311.55	15900.77	22076.96	12581.36	9889.29	3961.38	2380.82	7735.11	5179.66	6886.82	9274.63	6152.01	7323.89	4616.96	6568.04	14012.32	13001.31	6593.34	9407.76	12394.95	14496.08	8015.28	22940.09	8988.96	2694.25	7630.26	3583.68	8245.380000000001	9095.94	8659.64	8708.22	8021.14	10332.42	9507.69	8671.28	7015.21	12513.04	7998.42	11664.95	18077.79	11634.98	4417.08	2377.26	1580.53	6192.66	6139.94	5675.32	8347.46	9333.26	11795.44	10904.79	17632.46	8915.1	6129.47	9116.66	17452.44	13028.13	15309.62	8324.17	6494.56	4700.69	8609.9	6704.41	6202.12	4971.69	5701.96	6393.33	6013.79	4740.08	7520.92
MGB034	14306.255	26312.549999999996	15582.810000000001	11410.43	12593.945000000002	17668.44	2667.6	4416.67	2105.33	2741.8	5550.0	6786.88	13718.0	2551.6	1562.0	661.8	4300.67	22338.135	19001.37	2973.8	5420.67	14140.145	13523.06	34914.0	33831.0	14559.67	1998.0	24496.0	17455.0	18787.525	27474.985	8778.8	16806.695	2904.2	15403.420000000002	1941.8	11450.98	12357.0	14265.0	3812.0	4738.0	2377.0	1751.0	21331.0	6647.0	8956.0	1054.0	886.0	3377.67	1660.0	1340.6	12507.195	3627.0	1925.6	24886.205	948.8	18561.735	3315.6	6408.0	1361.6	11098.0	1655.6	998.0	1594.33	2211.0	4705.0	3943.4	3222.2	16000.745	1059.2	2333.8	1793.0	16829.005	2741.67	1622.0	2528.0	4531.2	18195.33	20107.11	6401.58	5536.965	3830.685	1617.2	10196.635	10361.574999999999	8543.395	2540.0	1647.4	2864.33	2614.6	2114.4	1271.33	2576.33	21529.72	2949.2	3991.2	7145.33	5146.67	6913.515	2977.8	2446.2	11865.945	2082.33	6045.565	1683.33	1633.0	2245.33	9271.545
MGB056	10.0	2695.0	13.0	19.0	6.0	33.0	36.0	789.0	127.0	7.0	47.0	69.5	84.0	9.0	62.0	25.0	65.0	110.0	33.0	117.0	55.0	13.0	12.0	46.0	19.5	194.0	1263.0	22.0	171.0	74.5	40.0	1214.0	0.0	8.0	8.0	13.0	2.0	7.0	18.0	51.0	45.0	88.0	50.0	47.5	26.0	43.0	42.0	89.0	193.5	51.0	207.5	0.0	37.5	504.0	4.0	193.0	3.0	862.0	2467.5	923.5	657.0	659.0	33.0	32.5	45.0	36.0	16.0	10.0	18.0	60.0	488.0	32.0	9.0	13.0	152.0	115.0	0.0	21.0	9.0	6.0	3.0	16.0	19.0	8.0	13.0	41.0	160.5	59.0	161.0	109.0	148.0	669.0	42.0	35.0	3.0	2.0	5240.0	2946.5	34.0	38.0	10.0	7.0	113.5	148.0	83.0	69.0	16.5	223.0
MGB035	24069.04	44174.42	17594.92	18523.535	14173.249999999998	20307.165	17021.2	13681.115000000002	11741.720000000001	19256.129999999997	9579.955	8458.255000000001	20554.43	18787.295	18759.35	23487.98	13018.57	35817.72	20703.335	24446.18	35118.665	20928.65	18549.22	18975.19	18238.79	22510.114999999998	19394.504999999997	15356.5	16267.795	21761.525	31402.54	16490.305	25034.74	21836.995000000003	22848.485	18282.32	16934.725	12045.455000000002	14384.895	17072.805	23449.28	13907.1	20248.809999999998	15631.775	6273.995	16026.225	14925.165	16901.489999999998	13998.105	8028.295	15501.314999999999	13287.53	9236.48	22124.629999999997	27485.235	16894.54	20626.545	23637.105000000003	28134.0	20292.35	31061.295000000002	19545.415	3356.375	11423.425	6371.09	10187.335	34697.055	12320.44	17687.11	20093.864999999998	22302.875	20388.004999999997	23959.405	9980.77	22695.72	11746.455	25158.475	42490.895000000004	25300.66	7212.665	6136.09	4024.685	12956.5	14194.34	21627.79	12113.185000000001	12078.34	29059.24	15683.56	46137.495	29756.144999999997	10870.15	11712.325	29947.424999999996	22709.235	33962.44	26764.425	19092.370000000003	7663.555	17898.25	14829.285	13474.605	7690.675	14927.565	10165.744999999999	9936.73	7196.915	12210.17
MGB036	36473.42	47117.93	32265.92	30269.32	23952.17	36071.75	29785.48	19785.89	15511.44	33209.42	13758.91	13470.1	27954.52	33942.59	33828.45	43606.63	24694.48	42175.77	37980.17	42661.78	38802.59	34522.04	30264.2	38239.13	36569.08	32324.07	36787.6	29375.75	27762.18	29582.3	44571.17	26582.86	43785.23	33160.98	38661.55	29530.23	30906.12	22707.0	25554.2	20993.52	29518.22	16468.45	33863.86	27599.71	10228.24	22101.95	26057.83	30041.24	19775.96	9980.18	23398.37	28507.72	14133.46	34379.17	59139.72	25541.0	41475.67	37468.87	44217.0	30544.7	69416.93	32518.74	4460.75	13649.35	21118.43	19363.67	46139.35	19276.88	30087.23	31881.82	35611.92	36334.52	41737.98	14152.54	38387.68	16468.24	47561.45	59030.04	44043.4	13775.83	16119.1	11095.87	21738.92	23939.35	31304.49	16437.45	15467.85	49503.48	21838.7	78908.65	54020.38	23036.71	22332.74	46390.69	35423.14	55108.04	30821.52	28010.91	18949.03	36384.17	30187.15	27867.13	12050.93	21520.05	12604.74	16842.46	11077.08	16617.09
