metadata	feature	value	coef	stderr	N	N.not.0	pval	qval
Type	MGB035	Mucosal	-0.521960952852837	0.0740871068593629	54	54	1.17203042643948e-08	1.40643651172738e-06
Type	MGB036	Mucosal	-0.515815376946632	0.0833183262041413	54	54	2.05042805506566e-07	1.13667616830066e-05
Type	MGB043	Mucosal	-0.551004157245159	0.0903480656414835	54	54	2.84169042075166e-07	1.13667616830066e-05
Type	MGB029	Mucosal	-0.487892918527192	0.0834369480395134	54	54	6.56827321144334e-07	1.970481963433e-05
Type	MGB033	Mucosal	-0.561150630383078	0.0984970433409841	54	54	1.03696822443457e-06	2.48872373864297e-05
Type	MGB031	Mucosal	-0.528748821775186	0.110144841030306	54	54	2.0071134304409e-05	0.00040142268608818
Type	MGB034	Mucosal	-0.786128108238356	0.16816767822435	54	53	3.05870625684805e-05	0.000524349644031094
Type	MGB037	Mucosal	-0.408148262138427	0.0986921632280186	54	54	0.000161222527560938	0.00241833791341408
Type	MGB024	Mucosal	-0.33702176915099	0.0908143616448196	54	54	0.000576501097073122	0.00768668129430829
Type	MGB041	Mucosal	-0.725928143307431	0.20277690863639	54	9	0.000878020660706128	0.0105362479284735
Type	MGB006	Mucosal	-0.331599274619896	0.0979264630243698	54	54	0.00153044896648308	0.0166958069070881
Type	MGB047	Mucosal	-0.310282017145429	0.0947657552653498	54	54	0.00207991650322974	0.0207991650322974
Type	MGB005	Mucosal	-0.207523159142261	0.078778997807173	54	54	0.0116278001629611	0.107333539965794
Type	MGB055	Mucosal	-0.239486775528776	0.0956193700637189	54	54	0.0161037854734834	0.128830283787867
Site	MGB034	Ileum	0.491201648546389	0.195220657405906	54	53	0.0158718162343714	0.128830283787867
Type	MGB007	Mucosal	-0.207659841983032	0.084935799845987	54	54	0.0186362275574912	0.139771706681184
Type	MGB022	Mucosal	-0.212695291677411	0.0899503623483691	54	54	0.0224430525112037	0.158421547137908
Type	MGB032	Mucosal	-0.18747130277959	0.0813294844746153	54	54	0.0260284099204004	0.173522732802669
Site	MGB043	Jejunum	0.222173547211189	0.105025076351144	54	54	0.0405029206519553	0.255807919907086
Site	MGB036	Jejunum	0.187641023817043	0.0970060313691418	54	54	0.0599817269727818	0.342752725558753
Site	MGB006	Ileum	0.223247096781334	0.114264495491039	54	54	0.0575359020869388	0.342752725558753
Site	MGB036	Ileum	0.183300917201191	0.0970060313691418	54	54	0.0658855749923089	0.350577885092245
Type	MGB040	Mucosal	-0.154836266567601	0.0825201598694297	54	54	0.0671940946426802	0.350577885092245
Type	MGB019	Mucosal	-0.501929604150298	0.271861657954859	54	28	0.0718984733722516	0.359492366861258
Site	MGB029	Ileum	0.175624369973269	0.0969320454462856	54	54	0.0773238476741476	0.367261926070114
Site	MGB043	Ileum	0.188807193892339	0.105025076351144	54	54	0.0795734173151913	0.367261926070114
Sex	MGB005	M	0.336650755630967	0.170474234774105	54	54	0.0856021425951037	0.37759855564679
Sex	MGB040	M	0.280993375903043	0.143792690319189	54	54	0.0881063296509176	0.37759855564679
Site	MGB033	Jejunum	0.1895739014431	0.114871167496659	54	54	0.106494962077807	0.440668808597823
Site	MGB006	Jejunum	0.182431530543886	0.114264495491039	54	54	0.117999511161759	0.445437036569101
Site	MGB029	Jejunum	0.154429994626392	0.0969320454462856	54	54	0.11878320975176	0.445437036569101
Sex	MGB047	M	0.367178312430642	0.204435574633503	54	54	0.112221970408601	0.445437036569101
Site	MGB037	Ileum	0.18050139097677	0.115401890384715	54	54	0.125437523992949	0.456136450883451
Sex	MGB019	M	-1.47543234318881	0.93584936734288	54	28	0.158263723260428	0.54261847975004
Sex	MGB022	M	0.200662173587766	0.12553705757175	54	54	0.15528206091259	0.54261847975004
Site	MGB033	Ileum	0.158039867417127	0.114871167496658	54	54	0.176329265809811	0.587764219366036
Site	MGB035	Jejunum	0.115610297599562	0.0863604149078744	54	54	0.188019553379575	0.609793146095919
Sequencing_Run	MGB015	Two	0.322321190324617	0.259725547406864	54	54	0.254495376339011	0.678707042934595
Site	MGB037	Jejunum	0.138814110630518	0.115401890384715	54	54	0.235888587196666	0.678707042934595
Site	MGB034	Jejunum	0.222897039948922	0.195220657405906	54	53	0.260171033124928	0.678707042934595
Sequencing_Run	MGB005	Two	0.234914367983311	0.180348028672122	54	54	0.232143652583073	0.678707042934595
Sex	MGB027	M	0.518024291447604	0.417880753535679	54	40	0.252675572135625	0.678707042934595
Sequencing_Run	MGB007	Two	0.279238478142412	0.214700229994086	54	54	0.232880162655568	0.678707042934595
Sex	MGB007	M	0.248118969140997	0.202597946830149	54	54	0.257556479579854	0.678707042934595
Site	MGB007	Ileum	0.116075735462048	0.0993865025566003	54	54	0.249511459003757	0.678707042934595
Site	MGB040	Ileum	0.113502623528079	0.0975525389244451	54	54	0.251253984496628	0.678707042934595
Site	MGB031	Jejunum	0.143350842831198	0.128164958433711	54	54	0.269856167210162	0.688994469472753
Site	MGB035	Ileum	0.0920798633465053	0.0863604149078743	54	54	0.292537125138521	0.712875664186788
Site	MGB031	Ileum	0.136966681466287	0.128164958433711	54	54	0.291454986691137	0.712875664186788
Sequencing_Run	MGB040	Two	0.170025753843459	0.151379607898969	54	54	0.297031526744495	0.712875664186788
Sequencing_Run	MGB032	Two	0.228481524270073	0.208452256517335	54	54	0.307834076969476	0.723244504751601
