"","feature","metadata","value","coef","stderr","N","N.not.0","pval","qval","annotation","detailed_annotation","condensed_annotation","Hierarchy_L1","Hierarchy_L2","Map","Map2_ammonia","Map3_carbon_dioxide","X","X.1","X.2","X.3"
"1","MF0001","Site_General","SI",1.28791339368501,0.111736630138541,48,38,0.0000000000000394902860599127,0.00000000000102181115180024,"arabinoxylan degradation","arabinoxylan degradation","arabinoxylan degradation","carbohydrate degradation","polysaccharide degradation","polysaccharides","#N/A","#N/A",NA,NA,"ethanol production (CO2 pathway)","ethanol"
"2","MF0004","Site_General","SI",0.346898957808057,0.11069238414974,48,43,0.00327034373536797,0.0188044764783658,"pectin degradation II","","pectin degradation","carbohydrate degradation","polysaccharide degradation","polysaccharides","#N/A","#N/A",NA,NA,"D-galacturonate degradation","sugar acid"
"3","MF0007","Site_General","SI",2.1249877498372,0.188969093350471,48,16,0.0000000000000832449408541894,0.00000000000191463363964636,"lactose and galactose degradation","","lactose and galactose degradation","carbohydrate degradation","disaccharide degradation","disaccharides","#N/A","#N/A",NA,NA,"glucarate degradation","sugar acid"
"4","MF0008","Site_General","SI",0.988200423037667,0.17876152001872,48,18,0.00000234117966043142,0.0000186393919118963,"maltose degradation","","maltose degradation","carbohydrate degradation","disaccharide degradation","disaccharides","#N/A","#N/A",NA,NA,"",""
"5","MF0009","Site_General","SI",0.768942865053115,0.088383609088954,48,48,0.000000000113108268454002,0.00000000146333822312364,"melibiose degradation","","melibiose degradation","carbohydrate degradation","disaccharide degradation","disaccharides","#N/A","#N/A",NA,NA,"",""
"6","MF0014","Site_General","SI",0.44680763986744,0.149874532288375,48,15,0.00492631221094399,0.0268354375701423,"arabinose degradation","","arabinose degradation","carbohydrate degradation","monosaccharide degradation","monosaccharides","#N/A","#N/A",NA,NA,"",""
"7","MF0015","Site_General","SI",0.469706329858533,0.168071067297341,48,47,0.00801634094008256,0.0414845643649272,"fructose degradation","","fructose degradation","carbohydrate degradation","monosaccharide degradation","monosaccharides","#N/A","#N/A",NA,NA,"",""
"8","MF0018","Site_General","SI",0.458407535068306,0.0971681026099028,48,48,0.0000243510589024512,0.000168022306426914,"mannose degradation","","mannose degradation","carbohydrate degradation","monosaccharide degradation","monosaccharides","#N/A","#N/A",NA,NA,"",""
"9","MF0019","Site_General","SI",-1.8088191944316,0.145700726557539,48,20,0.00000000000000399917902129705,0.000000000000118261436772641,"rhamnose degradation","","rhamnose degradation","carbohydrate degradation","monosaccharide degradation","monosaccharides","#N/A","#N/A",NA,NA,"",""
"10","MF0020","Site_General","SI",0.581785357830649,0.150047669460684,48,46,0.000394452263276452,0.00255161307806955,"ribose degradation","","ribose degradation","carbohydrate degradation","monosaccharide degradation","monosaccharides","#N/A","#N/A",NA,NA,"",""
