	Mouse1B.DTT18	Mouse3A.FP18	Mouse5A.DTT30	Mouse1A.FP06	Mouse7A.DTT42	Mouse2A.FP12	Mouse7A.FP42	Mouse6A.FP36	Mouse5A.FP30	Mouse4A.FP24	Mouse4A.DTT24	Mouse6A.DTT36	Mouse8A.DTT90	Mouse9A.DTT102	Mouse10A.DTT114	Mouse9A.FP102	Mouse8A.FP90	Mouse10A.FP114
Mouse1B.DTT18	0.0	0.40398697033048575	1.934956509243361	1.9975454419705623	1.2810921612414152	2.0691399072218224	2.0627437991468014	2.6269644108730064	2.38345830418787	1.7047268553968846	1.2069289606186249	2.1538226887884218	1.5620889839442016	3.011867325446521	0.8523638082757384	3.5334185200259522	2.630826272543651	1.1227841563227894
Mouse3A.FP18	0.40398697033048575	0.0	2.195327106914642	2.336329137704712	1.5661532712098114	2.348326844598256	2.3266345543156035	2.9364403956262377	2.6597436704324418	2.0822199123201046	1.475609909720119	2.4607680622343038	1.340382336408987	3.0034170026721427	0.6377220788609469	3.4818980097895658	2.707193793099877	0.9185537576213296
Mouse5A.DTT30	1.934956509243361	2.195327106914642	0.0	0.6991303204567275	0.6790998239728472	0.19836316333901574	0.1734461981417141	0.8395560687787241	0.47439771697158145	1.1439740696864518	0.7356782493622392	0.42964048033837743	2.268303193250343	2.2994058254335505	2.7367414925344344	2.938011060939154	1.4270309303899578	1.987866446591221
Mouse1A.FP06	1.9975454419705623	2.336329137704712	0.6991303204567275	0.0	0.838397863728215	0.5815125859930587	0.7401675716276968	0.819185088246235	0.7587848436713831	0.5792345633620473	0.9563103581761235	0.456857533761065	2.7510057743714342	2.9672471896264176	2.776247379495688	3.605158213577421	2.1204657257120036	2.3872411617861515
Mouse7A.DTT42	1.2810921612414152	1.5661532712098114	0.6790998239728472	0.838397863728215	0.0	0.8010093162645794	0.8247290075982463	1.4022006695381068	1.1215927446827114	0.8977984263634193	0.12203222368978682	0.9150021644933299	1.9392326171052983	2.531970469207187	2.074324381537131	3.1556625561165683	1.800387480414832	1.5513816727466385
Mouse2A.FP12	2.0691399072218224	2.348326844598256	0.19836316333901574	0.5815125859930587	0.8010093162645794	0.0	0.1819863002549813	0.6579091938159122	0.32163591987782764	1.0920827836176998	0.8766266660512769	0.25105591949313405	2.463501411197093	2.433660259257751	2.874512173884372	3.0709517812466993	1.5499962704995567	2.178810134731319
Mouse7A.FP42	2.0627437991468014	2.3266345543156035	0.1734461981417141	0.7401675716276968	0.8247290075982463	0.1819863002549813	0.0	0.7095507391217103	0.3516764771280303	1.219437429396997	0.8791887987564838	0.3677417940584671	2.3578603785351904	2.256555694484976	2.876709523427633	2.8936009318946985	1.3899557633866897	2.107480807232236
Mouse6A.FP36	2.6269644108730064	2.9364403956262377	0.8395560687787241	0.819185088246235	1.4022006695381068	0.6579091938159122	0.7095507391217103	0.0	0.42504294902523543	1.3517084904943744	1.4877321204446798	0.48917851081599373	3.0482313077068484	2.71047286249684	3.4511321329435316	3.3255059728229854	1.863011974010177	2.804231049538043
Mouse5A.FP30	2.38345830418787	2.6597436704324418	0.47439771697158145	0.7587848436713831	1.1215927446827114	0.32163591987782764	0.3516764771280303	0.42504294902523543	0.0	1.318788465381294	1.1935466161860218	0.3408220548023398	2.696677382146242	2.440662346649479	3.1935620258346726	3.068362024727362	1.5355788600761027	2.4487132694830005
Mouse4A.FP24	1.7047268553968846	2.0822199123201046	1.1439740696864518	0.5792345633620473	0.8977984263634193	1.0920827836176998	1.219437429396997	1.3517084904943744	1.318788465381294	0.0	1.0053768272019576	0.9921614528288015	2.771673370494951	3.3014343111660622	2.4312231947057703	3.932414335200443	2.537515574061291	2.3542055149381933
Mouse4A.DTT24	1.2069289606186249	1.475609909720119	0.7356782493622392	0.9563103581761235	0.12203222368978682	0.8766266660512769	0.8791887987564838	1.4877321204446798	1.1935466161860218	1.0053768272019576	0.0	1.0048112469140071	1.817435988369928	2.457750093119101	2.0020144743046595	3.0764126316149096	1.7548435828711397	1.4327363045740804
Mouse6A.DTT36	2.1538226887884218	2.4607680622343038	0.42964048033837743	0.456857533761065	0.9150021644933299	0.25105591949313405	0.3677417940584671	0.48917851081599373	0.3408220548023398	0.9921614528288015	1.0048112469140071	0.0	2.6493356728674087	2.595834779130656	2.9698862489842637	3.230384634052931	1.7428075480927716	2.3617025896047337
Mouse8A.DTT90	1.5620889839442016	1.340382336408987	2.268303193250343	2.7510057743714342	1.9392326171052983	2.463501411197093	2.3578603785351904	3.0482313077068484	2.696677382146242	2.771673370494951	1.817435988369928	2.6493356728674087	0.0	1.9430501610609283	1.8527256317924445	2.3043746232337408	1.9721212330740807	0.5594610531884922
Mouse9A.DTT102	3.011867325446521	3.0034170026721427	2.2994058254335505	2.9672471896264176	2.531970469207187	2.433660259257751	2.256555694484976	2.71047286249684	2.440662346649479	3.3014343111660622	2.457750093119101	2.595834779130656	1.9430501610609283	0.0	3.622912130708964	0.6388218204763979	1.0318577984456685	2.2603326526785783
Mouse10A.DTT114	0.8523638082757384	0.6377220788609469	2.7367414925344344	2.776247379495688	2.074324381537131	2.874512173884372	2.876709523427633	3.4511321329435316	3.1935620258346726	2.4312231947057703	2.0020144743046595	2.9698862489842637	1.8527256317924445	3.622912130708964	0.0	4.079280935632376	3.3294946410604873	1.4554357528399346
Mouse9A.FP102	3.5334185200259522	3.4818980097895658	2.938011060939154	3.605158213577421	3.1556625561165683	3.0709517812466993	2.8936009318946985	3.3255059728229854	3.068362024727362	3.932414335200443	3.0764126316149096	3.230384634052931	2.3043746232337408	0.6388218204763979	4.079280935632376	0.0	1.6295386358394064	2.7098070631903797
