	Mouse5A.FP28	Mouse3A.FP16	Mouse7A.FP40	Mouse5A.DTT28	Mouse4A.FP22	Mouse4A.DTT22	Mouse1B.DTT16	Mouse1A.FP04	Mouse2A.FP10	Mouse6A.DTT34	Mouse6A.FP34	Mouse7A.DTT40	Mouse9A.DTT100	Mouse10A.DTT112	Mouse10A.FP112	Mouse8A.DTT88	Mouse9A.FP100	Mouse8A.FP88
Mouse5A.FP28	0.0	1.5042514560766107	2.5404789809622303	2.5330962869615217	0.6443023882027544	0.5502877448283391	1.7973672784207182	0.7967050340102524	0.9770613420594593	0.6363631038237412	1.0853362399504656	2.4237876885498415	3.1345935043571522	3.3366233912737697	3.509470280806004	2.5882427548694147	3.3323179149454387	2.8700106551815168
Mouse3A.FP16	1.5042514560766107	0.0	1.0819211648031763	1.168775575508519	1.4325498605673463	1.121291368418874	0.32203179381383734	0.7188620033727051	1.1029333120453202	0.9598004344749671	0.7147676776953754	0.9534222992248909	2.3916366930093824	1.8852272486393982	2.1916805575102147	1.5143554690030394	2.4471357918975416	2.032683138145214
Mouse7A.FP40	2.5404789809622303	1.0819211648031763	0.0	0.3245055438340453	2.3208653352221575	2.122933196983205	0.7675159917007436	1.745793747556563	2.1532937178631557	1.9866587952371662	1.7607520806936012	0.1974535909517892	2.7210585499111715	0.805604198292028	1.183623791358048	1.7336316982031277	2.6419753982622263	2.353856337282926
Mouse5A.DTT28	2.5330962869615217	1.168775575508519	0.3245055438340453	0.0	2.256693906582454	2.1300843125985525	0.8694718719861427	1.7534976101775865	2.269970019134335	2.0102481651551685	1.8740077523944807	0.4636331071536805	3.0238784112012413	0.8540119069272248	1.029894597324857	2.034362181492553	2.956565327672513	2.6546919966237463
Mouse4A.FP22	0.6443023882027544	1.4325498605673463	2.3208653352221575	2.256693906582454	0.0	0.5158419349043356	1.6502378180604413	0.7995576091206732	1.3327395416439247	0.6605013469664394	1.2495090165634395	2.2140438494259413	3.3576254697719765	3.0725603892577076	3.150703383399428	2.681827160564478	3.5275973745443188	3.0651250740532303
Mouse4A.DTT22	0.5502877448283391	1.121291368418874	2.122933196983205	2.1300843125985525	0.5158419349043356	0.0	1.3841822425568227	0.501981319530127	0.8377143862533868	0.1810018735188399	0.7633775615940777	1.9889758688366639	2.8500855107547043	2.9050520140242524	3.091773483461261	2.2142692636868473	3.0286784424861026	2.5642664356920566
Mouse1B.DTT16	1.7973672784207182	0.32203179381383734	0.7675159917007436	0.8694718719861427	1.6502378180604413	1.3841822425568227	0.0	1.0046136839222755	1.4050530731558821	1.235488721659455	1.0078913299542618	0.635368148642481	2.441895950739918	1.5684054638524767	1.8832156678540977	1.4993295464606429	2.458430056118048	2.0735826053101136
Mouse1A.FP04	0.7967050340102524	0.7188620033727051	1.745793747556563	1.7534976101775865	0.7995576091206732	0.501981319530127	1.0046136839222755	0.0	0.8175193005438691	0.3674863506494546	0.5993833600471427	1.6315131834776406	2.7451923818736432	2.545244700048559	2.752303412121659	2.0173403017282734	2.8764122740144504	2.42467861383906
Mouse2A.FP10	0.9770613420594593	1.1029333120453202	2.1532937178631557	2.269970019134335	1.3327395416439247	0.8377143862533868	1.4050530731558821	0.8175193005438691	0.0	0.7144088570630373	0.40716217949862904	2.001783059359222	2.1664900204816293	2.9383984870319586	3.286637821931148	1.6870519098618466	2.3639151470242816	1.9050695240257634
Mouse6A.DTT34	0.6363631038237412	0.9598004344749671	1.9866587952371662	2.0102481651551685	0.6605013469664394	0.1810018735188399	1.235488721659455	0.3674863506494546	0.7144088570630373	0.0	0.593141780294199	1.8505691095315442	2.710628836065379	2.776296479078181	2.990300586836252	2.056677997269284	2.8792329215613752	2.4162547796116103
