#OTU ID,Mouse5A.FP28,Mouse3A.FP16,Mouse5A.FP26,Mouse7A.FP40,Mouse1A.FP05,Mouse6A.FP32,Mouse3A.FP17,Mouse7A.FP38,Mouse1A.FP02,Mouse2A.FP11,Mouse3A.FP18,Mouse6A.FP31,Mouse4A.FP22,Mouse1A.FP03,Mouse4A.FP23,Mouse1A.FP01,Mouse6A.FP35,Mouse2A.FP07,Mouse3A.FP13,Mouse1A.FP06,Mouse1A.FP04,Mouse2A.FP12,Mouse2A.FP10,Mouse7A.FP42,Mouse7A.FP41,Mouse3A.FP15,Mouse4A.FP20,Mouse5A.FP29,Mouse6A.FP34,Mouse6A.FP36,Mouse2A.FP09,Mouse5A.FP25,Mouse5A.FP30,Mouse7A.FP39,Mouse4A.FP24,Mouse3A.FP14,Mouse4A.FP21,Mouse2A.FP08,Mouse7A.FP37,Mouse6A.FP33,Mouse4A.FP19,Mouse5A.FP27,Mouse10A.FP110,Mouse10A.FP109,Mouse10A.FP111,Mouse9A.FP97,Mouse9A.FP98,Mouse8A.FP87,Mouse8A.FP85,Mouse10A.FP113,Mouse9A.FP102,Mouse9A.FP101,Mouse10A.FP112,Mouse8A.FP90,Mouse10A.FP114,Mouse8A.FP86,Mouse9A.FP99,Mouse8A.FP89,Mouse9A.FP100,Mouse8A.FP88,taxonomy
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium,1234,74,270,565,16,24,3,173,6,418,1,10,12,349,6,3,300,77,25,6,27,66,207,204,223,282,26,633,8,118,790,714,337,116,1,172,30,626,638,30,96,225,0,0,0,255,250,410,102,18,1919,3098,0,12127,0,83,260,2280,1172,2776,
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Coriobacteriaceae_UCG-002,17,0,6,29,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,5,23,4,6,0,0,13,0,0,3,6,14,0,0,0,0,3,0,0,0,16,0,0,0,0,0,2,0,2,0,0,0,35,3,0,0,8,1,9,
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__DNF00809,430,215,190,174,91,16,13,33,57,513,33,12,47,201,52,12,98,59,113,112,177,233,369,252,281,167,98,387,37,310,245,43,415,49,187,114,139,84,22,71,143,234,0,13,38,0,0,26,6,1214,31,18,254,110,108,0,45,76,34,98,
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Enterorhabdus,1,0,10,9,9,0,0,2,0,3,0,0,1,73,4,0,3,0,0,0,3,3,2,5,4,5,6,43,3,21,11,6,6,8,5,3,3,2,3,4,9,13,0,0,0,0,0,4,0,39,6,14,9,11,16,0,12,11,27,13,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,0,247,6265,178,314,5088,168,2408,4019,5,204,5585,0,11197,5,2778,276,3317,3427,7,110,30,28,7,26,5420,1737,4338,38,6,1970,4297,31,1742,0,4504,2199,3193,2195,4880,2162,21,2793,7597,4938,4635,3610,3846,2625,4,58,28,1953,10,39,3030,3946,563,16,45,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter,0,0,43,6,8,63,0,40,395,0,0,40,0,147,0,172,11,0,0,13,7,0,0,12,6,0,22,71,4,12,0,36,0,35,0,0,29,0,33,59,79,0,8,33,17,37,30,15,30,1,4,5,21,0,0,15,32,4,1,0,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__,19156,15301,8446,15553,18744,8623,4977,9789,8488,30984,3139,9470,3116,9593,3939,6033,24644,13944,9922,13855,18490,29444,24936,18385,17582,13245,5454,10074,20730,29018,11535,16620,32244,7912,7624,10329,4977,12002,12816,9576,5401,12183,6779,15794,12426,28154,21940,14307,5879,58625,58421,84332,24263,67428,35194,12847,18570,51409,89351,37058,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum,2235,2031,1651,1983,1761,1055,855,1352,894,3702,386,1065,522,1356,552,631,1490,2279,1719,1529,1619,2733,2616,1979,2348,1762,1407,1437,851,2554,1918,2523,3009,1462,1162,1514,1325,1902,2547,1268,959,1540,992,2646,2657,1626,1584,1411,426,3926,5227,5733,4384,4125,3474,924,1693,3358,5355,1951,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Alloprevotella,9,269,8846,294,10,6934,139,4841,0,24,124,4665,0,166,10,115,105,3858,3975,0,113,21,39,30,56,5608,6615,6602,86,13,2985,4904,41,7310,0,4944,9393,3287,5435,9256,7664,34,8935,15424,11748,2034,1425,3450,1730,30,17,20,6228,7,25,4493,1406,476,4,28,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotellaceae_UCG-001,32,656,182,476,153,10574,906,2274,1522,106,871,3236,10,647,4,1292,321,10992,7978,0,32,193,228,81,64,9574,2580,219,62,23,244,1897,80,205,0,9357,1594,5920,3248,2170,815,22,5988,12935,4170,12652,10813,4045,3109,18,63,29,2732,20,50,10275,3729,541,28,154,
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes,0,22,807,34,13,295,98,216,1189,34,128,361,0,2155,0,1077,87,788,215,15,8,46,27,13,6,674,711,1458,26,24,1370,353,6,317,9,409,673,501,231,456,2649,4,397,632,718,1594,1149,539,739,3,150,106,323,3,18,390,1669,74,41,32,
