	pielou_e
Mouse9A-DTT98	0.7222112062001389
Mouse5A-DTT29	0.6645044568601769
Mouse5A-FP28	0.6794563660665993
Mouse6A-DTT35	0.671499647544348
Mouse1B-DTT15	0.5684355716004774
Mouse1B-DTT18	0.570909935266422
Mouse10A-DTT109	0.5972127706226079
Mouse9A-DTT100	0.613729571914107
Mouse10A-FP110	0.6081065230989809
Mouse9A-DTT101	0.634641240673696
Mouse3A-FP16	0.54232924569367
Mouse5A-FP26	0.6246576485174075
Mouse7A-FP40	0.6232230390294855
Mouse1A-FP05	0.5218947216981181
Mouse6A-FP32	0.6272696765042657
Mouse10A-FP109	0.5974981926363692
Mouse3A-FP17	0.45995830093939016
Mouse10A-DTT110	0.6227028215245968
Mouse9A-DTT99	0.6128429160962591
Mouse9A-DTT97	0.5626012272852003
Mouse7A-FP38	0.6789164052564853
Mouse1A-FP02	0.6877781245298276
Mouse5A-DTT27	0.5490179757778378
Mouse10A-FP111	0.6808042961920628
Mouse8A-DTT90	0.5633521246835196
Mouse2A-FP11	0.6712718129775708
Mouse3A-FP18	0.4448921571343891
Mouse4A-DTT19	0.6338919309771761
Mouse5A-DTT30	0.652174065589698
Mouse5A-DTT28	0.644396318732595
Mouse9A-FP97	0.6460219102866184
Mouse9A-FP98	0.6369749271135344
Mouse6A-FP31	0.6869982914988179
Mouse10A-DTT111	0.6390240258808331
Mouse4A-FP22	0.16719008581671124
Mouse1A-FP03	0.7526149654136172
Mouse10A-DTT113	0.6297908989492723
Mouse4A-FP23	0.17261931217052745
Mouse1A-FP01	0.689011332315069
Mouse6A-FP35	0.6722802941361242
Mouse7A-DTT38	0.6878694135885182
Mouse7A-DTT41	0.6692534250682356
Mouse4A-DTT22	0.35002583575429463
Mouse8A-FP87	0.7247912828417429
Mouse2A-FP07	0.6352071746083394
Mouse3A-FP13	0.5723993502238405
Mouse9A-DTT102	0.6323079265508803
Mouse10A-DTT112	0.6657333688227586
Mouse1A-FP06	0.5202870289455193
Mouse8A-FP85	0.717820172527382
Mouse6A-DTT31	0.7227908374604043
Mouse7A-DTT42	0.6649953813238781
Mouse1B-DTT16	0.6030431559301491
Mouse1A-FP04	0.4680947023111857
Mouse10A-DTT114	0.696953437533902
Mouse2A-FP12	0.6637486073735464
Mouse2A-FP10	0.6868854298951592
Mouse7A-FP42	0.6753125819450144
Mouse7A-FP41	0.6298280217578319
Mouse10A-FP113	0.689252225018394
Mouse9A-FP102	0.672277339317785
Mouse1B-DTT14	0.6451971232026206
Mouse8A-DTT85	0.6651785428386597
Mouse3A-FP15	0.583179567410683
Mouse8A-DTT86	0.625264652192025
Mouse9A-FP101	0.6604240921045308
Mouse10A-FP112	0.7060946047403648
Mouse4A-FP20	0.6811184426666831
Mouse1B-DTT13	0.6158930163967099
Mouse6A-DTT34	0.2955727797005698
Mouse5A-FP29	0.6309866313078952
Mouse6A-FP34	0.6552612567673084
Mouse6A-FP36	0.7227548588247179
Mouse2A-FP09	0.7386909091033645
Mouse5A-DTT26	0.6475353370989536
Mouse5A-FP25	0.6562404028702484
Mouse5A-FP30	0.7041287037991013
Mouse7A-FP39	0.663779269668001
Mouse4A-FP24	0.2961643600223667
Mouse4A-DTT21	0.5171471237604871
Mouse4A-DTT24	0.5820069723664034
Mouse1B-DTT17	0.5552767518595858
Mouse8A-FP90	0.6277284385777395
Mouse10A-FP114	0.6415359553603743
Mouse3A-FP14	0.5770067190356349
Mouse4A-FP21	0.6829989118887814
Mouse8A-FP86	0.6657190928414696
Mouse8A-DTT88	0.6204582509289446
Mouse9A-FP99	0.7216287531840844
Mouse2A-FP08	0.6771511894308461
Mouse5A-DTT25	0.6174294076876277
Mouse7A-DTT39	0.6474676018424
Mouse8A-DTT89	0.5940296428746902
Mouse4A-DTT20	0.6117359804822204
Mouse6A-DTT32	0.6758068546225111
Mouse6A-DTT33	0.5716227102353829
Mouse6A-DTT36	0.6523982275960416
Mouse4A-DTT23	0.3720654411095146
Mouse7A-FP37	0.636629868938279
Mouse7A-DTT37	0.657336066472502
Mouse6A-FP33	0.6838774153461833
Mouse4A-FP19	0.6934932828490786
Mouse8A-FP89	0.6327346839611607
Mouse8A-DTT87	0.48953226834290436
Mouse7A-DTT40	0.6336314446680144
Mouse9A-FP100	0.6427733763997577
Mouse5A-FP27	0.5680533151877037
Mouse8A-FP88	0.680356120404785
