feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
MF0075	Type	Mucosal	0.549765105824595	0.0505410814554786	18	18	9.70321827604265e-06	0.00264897858935964
MF0040	Type	Mucosal	2.11288175152197	0.288437364012844	18	7	6.57356223124592e-05	0.00897291244565069
MF0077	Type	Mucosal	1.31077230206921	0.206789202920097	18	7	0.000219798043900823	0.0200016219949749
MF0085	Sex	M	-2.53478364787507	0.61452632352063	18	1	0.00103104575634218	0.0591635411968043
MF0096	Type	Mucosal	0.344205515805549	0.0640466377133884	18	18	0.00108358134060081	0.0591635411968043
MF0078	Type	Mucosal	-0.448237949453914	0.107290108267118	18	16	0.00268844635092907	0.12015872292805
MF0087	Type	Mucosal	0.995907560026141	0.238741801119036	18	14	0.00308099289559104	0.12015872292805
MF0004	Type	Mucosal	-0.600462753524204	0.157585237656625	18	16	0.00610089907828756	0.208193181046563
MF0090	Type	Mucosal	-0.685149373795954	0.198842932638472	18	17	0.00728115819096441	0.220861798459254
MF0066	Type	Mucosal	-0.576173453757466	0.177122458204327	18	17	0.0101379989562315	0.236041913716196
MF0034	Type	Mucosal	0.432042522944599	0.128429498409134	18	18	0.00971031461089354	0.236041913716196
MF0054	Type	Mucosal	0.177616701403009	0.0516653064038727	18	18	0.0103754687347778	0.236041913716196
