feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
MF0039	Type	Mucosal	3.33623863612451	0.306319750123102	54	0	1.43755037227552e-14	6.5408541938536e-12
MF0058	Type	Mucosal	1.50803197586498	0.185818686446997	54	0	1.473669081141e-10	3.35259715959578e-08
MF0037	Type	Mucosal	-3.27004686007815	0.486857958292403	54	3	2.50740724468842e-08	3.80290098777743e-06
MF0079	Type	Mucosal	-1.18517250566533	0.191814807950343	54	10	2.21131551409374e-07	2.51537139728162e-05
MF0080	Type	Mucosal	-2.82880746404561	0.501906907027881	54	5	1.12941413725649e-06	0.000102776686490341
MF0036	Type	Mucosal	-0.39732975567372	0.0852613387715496	54	39	3.18862733242178e-05	0.00207260776607416
MF0082	Type	Mucosal	0.917397348542452	0.197580201689612	54	0	3.07768916259126e-05	0.00207260776607416
MF0049	Type	Mucosal	-0.379469724605535	0.0837514842525062	54	54	4.82660270452056e-05	0.00274513028819607
MF0090	Type	Mucosal	-0.44260497540655	0.100161062073833	54	54	6.92303339662796e-05	0.00349997799496191
MF0084	Type	Mucosal	1.02689670709585	0.240540578590195	54	0	0.000101653449936549	0.00355787074777922
MF0052	Type	Mucosal	1.02689670709585	0.240540578590195	54	0	0.000101653449936549	0.00355787074777922
MF0092	Type	Mucosal	-0.418425017281364	0.0973440501404513	54	54	0.000101359981477769	0.00355787074777922
MF0059	Type	Mucosal	1.02689670709585	0.240540578590195	54	0	0.000101653449936549	0.00355787074777922
MF0050	Type	Mucosal	-0.30431842649274	0.0758772032536005	54	54	0.000245084845166971	0.00796525746792657
MF0040	Type	Mucosal	-0.757988615531619	0.206099197253406	54	8	0.000657007204525073	0.0199292185372605
MF0069	Type	Mucosal	-1.34306382564633	0.385696113489283	54	2	0.00107057825069005	0.0296706973504545
MF0065	Type	Mucosal	-0.309621460382253	0.08840507183097	54	54	0.0011085755054016	0.0296706973504545
MF0061	Type	Mucosal	-0.263687509963194	0.0759624098662862	54	54	0.00122347244662969	0.0309266646231394
MF0028	Type	Mucosal	0.273796871827274	0.0805631260912459	54	54	0.00148720207498536	0.0313540412254652
MF0103	Type	Mucosal	0.360772022222224	0.105828291070128	54	54	0.00143948483836808	0.0313540412254652
MF0030	Type	Mucosal	1.2853821975636	0.379965488407981	54	0	0.00151601957573678	0.0313540412254652
MF0038	Type	Mucosal	0.250699943507677	0.0739021769638649	54	54	0.00150579176732185	0.0313540412254652
MF0041	Type	Mucosal	-0.214317603340694	0.0659786994346628	54	50	0.00227204480670893	0.0449469733501115
MF0019	Type	Mucosal	0.709353397268136	0.22025970264208	54	2	0.00242263000218997	0.0459290271248515
MF0074	Type	Mucosal	-0.389361576728244	0.126443256708136	54	54	0.00364643734442414	0.0663651596685194
MF0011	Type	Mucosal	-0.231508958683933	0.0763349833432512	54	54	0.00413053961280061	0.0722844432240107
MF0098	Type	Mucosal	0.526219696506363	0.180891192920989	54	18	0.0057395542607984	0.0967221180986397
MF0073	Type	Mucosal	0.275739216529808	0.0958185921498125	54	53	0.00624932293403795	0.101551497678117
MF0039	Sex	M	-0.93335440877738	0.340078131710812	54	0	0.00849908773917953	0.133347755907817
MF0033	Type	Mucosal	-0.212487639047818	0.077713826123904	54	54	0.00913282309617182	0.138514483625273
MF0022	Type	Mucosal	0.257889884721855	0.0985629033173503	54	52	0.0122316938975904	0.173919397606363
MF0078	Type	Mucosal	-0.372412029927182	0.141961651798619	54	33	0.0121248701440071	0.173919397606363
MF0086	Type	Mucosal	-0.210552932726849	0.0827865419899848	54	54	0.0147691202225096	0.199433464602982
MF0015	Type	Mucosal	-0.314801249635447	0.123993057668033	54	50	0.0149027204318712	0.199433464602982
