feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Deferribacterota	Type	Mucosal	2.52637998559991	0.28849950642415	18	2	4.00660589193452e-05	0.000961585414064286
k__Bacteria.p__Verrucomicrobiota	Type	Mucosal	1.80045343459678	0.277283017940458	18	1	0.000260612370552164	0.00309851095343094
k__Bacteria.p__Cyanobacteria	Type	Mucosal	-3.84841670185234	0.607170300018568	18	3	0.000387313869178867	0.00309851095343094
k__Bacteria.p__Bacteroidota	Type	Mucosal	0.513056135499305	0.193124453233552	18	18	0.0314497253499541	0.188698352099725
k__Bacteria.p__Verrucomicrobiota	Sequencing_Run	Two	1.02834825133982	0.71937710493992	18	1	0.196225581858669	0.784902327434677
k__Bacteria.p__Verrucomicrobiota	Sex	M	1.03689562037433	0.678551199537622	18	1	0.169374549411039	0.784902327434677
k__Bacteria.p__Firmicutes	Sex	M	-0.915704658029431	0.71778072615958	18	18	0.243867145958492	0.836115929000545
k__Bacteria.p__Bacteroidota	Sex	M	-0.518671755139276	0.587082361247121	18	18	0.405813815182064	0.917770372447973
k__Bacteria.p__Firmicutes	Sequencing_Run	Two	-0.523566154416503	0.761668914286281	18	18	0.515201945628729	0.917770372447973
k__Bacteria.p__Actinobacteriota	Type	Mucosal	-0.461235100388033	0.51877276924916	18	5	0.398087694871679	0.917770372447973
k__Bacteria.p__Proteobacteria	Type	Mucosal	-0.24170125312667	0.373459346488369	18	18	0.535366050594651	0.917770372447973
k__Bacteria.p__Desulfobacterota	Sequencing_Run	Two	-0.65641130826756	0.784574078423096	18	6	0.42937437018094	0.917770372447973
k__Bacteria.p__Desulfobacterota	Type	Mucosal	-0.340620225704945	0.354635342207583	18	6	0.365157889201828	0.917770372447973
k__Bacteria.p__Deferribacterota	Sequencing_Run	Two	-0.663105805959407	0.973489300308877	18	2	0.517654357858163	0.917770372447973
k__Bacteria.p__Firmicutes	Type	Mucosal	0.11533771502672	0.275520412755804	18	18	0.687970899034428	0.947683709237765
k__Bacteria.p__Actinobacteriota	Sequencing_Run	Two	0.332956337567219	0.79602244102272	18	5	0.687665069802821	0.947683709237765
k__Bacteria.p__Cyanobacteria	Sequencing_Run	Two	0.507352610664027	1.30768798433481	18	3	0.710762781928324	0.947683709237765
k__Bacteria.p__Cyanobacteria	Sex	M	0.480568860113811	1.23757235362719	18	3	0.710003846047268	0.947683709237765
k__Bacteria.p__Bacteroidota	Sequencing_Run	Two	0.0124699503723151	0.62415397859845	18	18	0.984619510833282	0.990111822982105
k__Bacteria.p__Actinobacteriota	Sex	M	-0.0583128385381626	0.759975462282893	18	5	0.940774861974991	0.990111822982105
k__Bacteria.p__Proteobacteria	Sequencing_Run	Two	-0.106894043009604	0.711706201004289	18	18	0.884698262450989	0.990111822982105
k__Bacteria.p__Proteobacteria	Sex	M	-0.142148704157057	0.675394047101609	18	18	0.838842725791331	0.990111822982105
k__Bacteria.p__Desulfobacterota	Sex	M	-0.00950579805366139	0.742106444537335	18	6	0.990111822982105	0.990111822982105
k__Bacteria.p__Deferribacterota	Sex	M	0.189009717322248	0.915270481378769	18	2	0.842163554324147	0.990111822982105
