	Mouse4A.DTT19	Mouse7A.DTT38	Mouse6A.DTT31	Mouse1B.DTT14	Mouse1B.DTT13	Mouse5A.DTT26	Mouse5A.DTT25	Mouse4A.DTT20	Mouse6A.DTT32	Mouse7A.DTT37	Mouse9A.DTT98	Mouse10A.DTT109	Mouse10A.DTT110	Mouse9A.DTT97	Mouse8A.DTT85	Mouse8A.DTT86
Mouse4A.DTT19	0.0	0.4556929444561403	1.161529649768686	1.1449337028958155	1.435384379485284	0.661187078089949	0.27819283010223705	0.39202374871907625	0.8378913163944219	2.26434233222375	3.06746554307136	3.363101185375606	2.3668410065027166	2.337396479695494	2.3779139653994417	2.5020180237569387
Mouse7A.DTT38	0.4556929444561403	0.0	0.7120432490549339	1.0646438116173964	1.0612238204483004	0.3434588331174199	0.6493370967152808	0.8460950776560839	0.3893568744508129	1.850570056944377	3.148015312057892	2.938307716509881	1.9321948486670306	2.2182366531020485	2.0082403538018276	2.2150384826867002
Mouse6A.DTT31	1.161529649768686	0.7120432490549339	0.0	1.3886158047222819	0.8290667972598998	0.6006983441720432	1.3485330851276507	1.5491299777570215	0.3433144569940376	1.2168164875003291	3.489575847715205	2.3775885885826877	1.3562032493915723	2.3229194605581767	1.627549553369699	2.0233227974472703
Mouse1B.DTT14	1.1449337028958155	1.0646438116173964	1.3886158047222819	0.0	0.9069785438761698	1.364235429725428	1.010178817742281	1.3623801335227348	1.2316167230738249	2.543462873319531	2.1216442208546202	2.747036318065358	1.9039180976871644	1.1941671869769301	1.6011789678115256	1.4991289349985057
Mouse1B.DTT13	1.435384379485284	1.0612238204483004	0.8290667972598998	0.9069785438761698	0.0	1.2053096550037865	1.4797169341125547	1.7966701652485746	0.9015945585784296	1.7648368496346494	2.8300077080197816	1.9630726817386859	1.0295853124231877	1.5504406534060895	0.9546942044326082	1.2137162047969947
Mouse5A.DTT26	0.661187078089949	0.3434588331174199	0.6006983441720432	1.364235429725428	1.2053096550037865	0.0	0.899882717728573	1.017660025990284	0.3611450744058401	1.6436835998708437	3.452528187824939	2.961507366190724	1.9373038131975233	2.48186695426436	2.111638244792609	2.402920458964859
Mouse5A.DTT25	0.27819283010223705	0.6493370967152808	1.3485330851276507	1.010178817742281	1.4797169341125547	0.899882717728573	0.0	0.36133470572183796	1.037088381633739	2.496876960388657	2.822905097406823	3.438224441483818	2.462060326364999	2.1833210937425367	2.395082303131699	2.451623739903632
Mouse4A.DTT20	0.39202374871907625	0.8460950776560839	1.5491299777570215	1.3623801335227348	1.7966701652485746	1.017660025990284	0.36133470572183796	0.0	1.2227801876011273	2.6175784334893164	3.0819748148266743	3.7392281333865998	2.751253133908872	2.5284513955588976	2.7299244275527235	2.8012627221946182
Mouse6A.DTT32	0.8378913163944219	0.3893568744508129	0.3433144569940376	1.2316167230738249	0.9015945585784296	0.3611450744058401	1.037088381633739	1.2227801876011273	0.0	1.4733943850673072	3.3530388349755578	2.6379659773335247	1.625091982026916	2.2857456293516134	1.8083322696856103	2.1121712068159995
Mouse7A.DTT37	2.26434233222375	1.850570056944377	1.2168164875003291	2.543462873319531	1.7648368496346494	1.6436835998708437	2.496876960388657	2.6175784334893164	1.4733943850673072	0.0	4.5900325383596545	2.2456231974824576	1.5086233634349933	3.295752888433027	2.132617627346318	2.695599952545219
Mouse9A.DTT98	3.06746554307136	3.148015312057892	3.489575847715205	2.1216442208546202	2.8300077080197816	3.452528187824939	2.822905097406823	3.0819748148266743	3.3530388349755578	4.5900325383596545	0.0	3.9869666072295518	3.5444638080944677	1.4341923806906436	2.9300143917600274	2.3825129897485087
Mouse10A.DTT109	3.363101185375606	2.938307716509881	2.3775885885826877	2.747036318065358	1.9630726817386859	2.961507366190724	3.438224441483818	3.7392281333865998	2.6379659773335247	2.2456231974824576	3.9869666072295518	0.0	1.0302069797490738	2.579397306716193	1.192850575458955	1.609643744971602
Mouse10A.DTT110	2.3668410065027166	1.9321948486670306	1.3562032493915723	1.9039180976871644	1.0295853124231877	1.9373038131975233	2.462060326364999	2.751253133908872	1.625091982026916	1.5086233634349933	3.5444638080944677	1.0302069797490738	0.0	2.1227554170510947	0.6889589581304338	1.3162651561259096
Mouse9A.DTT97	2.337396479695494	2.2182366531020485	2.3229194605581767	1.1941671869769301	1.5504406534060895	2.48186695426436	2.1833210937425367	2.5284513955588976	2.2857456293516134	3.295752888433027	1.4341923806906436	2.579397306716193	2.1227554170510947	0.0	1.4958988693180855	0.9770361314053349
Mouse8A.DTT85	2.3779139653994417	2.0082403538018276	1.627549553369699	1.6011789678115256	0.9546942044326082	2.111638244792609	2.395082303131699	2.7299244275527235	1.8083322696856103	2.132617627346318	2.9300143917600274	1.192850575458955	0.6889589581304338	1.4958988693180855	0.0	0.6528383568977741
Mouse8A.DTT86	2.5020180237569387	2.2150384826867002	2.0233227974472703	1.4991289349985057	1.2137162047969947	2.402920458964859	2.451623739903632	2.8012627221946182	2.1121712068159995	2.695599952545219	2.3825129897485087	1.609643744971602	1.3162651561259096	0.9770361314053349	0.6528383568977741	0.0
