metadata	feature	value	coef	stderr	N	N.not.0	pval	qval
Type	MGB049	Mucosal	-0.897629857031671	0.140820005918366	18	12	1.72682004770956e-05	0.00119150583291959
Type	MGB034	Mucosal	-1.96595386805933	0.227931999854669	18	9	0.000110424501693719	0.0038096453084333
Type	MGB055	Mucosal	-0.55294913037365	0.115553182040516	18	18	0.000290518962403608	0.00668193613528299
Type	MGB022	Mucosal	-0.74098321944872	0.177605668923095	18	18	0.000940269560775495	0.0162196499233773
Type	MGB036	Mucosal	-0.436626259310249	0.112050586928356	18	18	0.00161222822167555	0.0185406245492688
Type	MGB043	Mucosal	-0.461007385573492	0.11571846850425	18	18	0.00135835395806557	0.0185406245492688
Type	MGB033	Mucosal	-0.48449559548232	0.127932384204661	18	18	0.00200105846014119	0.0197247191071061
Type	MGB035	Mucosal	-0.423544555859854	0.114125294150859	18	18	0.00232507985719331	0.0200538137682923
Type	MGB007	Mucosal	-0.441442571866928	0.123553771869707	18	18	0.00305877714081283	0.0234506247462317
Type	MGB029	Mucosal	-0.425098693980757	0.121305469152751	18	18	0.00350467187412255	0.0241822359314456
Type	MGB031	Mucosal	-0.482749703712427	0.149579396094684	18	18	0.00608022619457113	0.034961300618784
Type	MGB006	Mucosal	-0.454551957980589	0.140324324510549	18	18	0.00593781301080854	0.034961300618784
Type	MGB024	Mucosal	-0.43754814353454	0.135834394987978	18	17	0.0110706692988737	0.0587597062786373
Type	MGB037	Mucosal	-0.487396130910273	0.17272578562504	18	18	0.0135847058701943	0.0669531932173861
Type	MGB032	Mucosal	-0.383778812853154	0.140560365755234	18	18	0.0162601355984979	0.0747966237530902
Type	MGB015	Mucosal	-0.351156705544434	0.125660793755163	18	18	0.0221151392979805	0.0953715382225409
Type	MGB052	Mucosal	-0.484018528137467	0.194094277088909	18	18	0.0257769946756128	0.104624272506899
Type	MGB005	Mucosal	-0.329380181720221	0.136201648789781	18	18	0.0298032829173822	0.114245917849965
Sex	MGB005	M	0.337866859074945	0.151211935364098	18	18	0.0422788985338814	0.145862199941891
Type	MGB047	Mucosal	-0.349481819697055	0.144182001218099	18	18	0.0410390352170669	0.145862199941891
Sex	MGB034	M	0.854451719432777	0.389126444205488	18	9	0.0736080431042968	0.241854998771261
Sex	MGB031	M	0.281769698787711	0.166063995370422	18	18	0.111853848818387	0.349524569602477
Sex	MGB047	M	0.343994036358048	0.192546539704724	18	18	0.116508189867492	0.349524569602477
Type	MGB040	Mucosal	-0.446664416486348	0.272783974791799	18	18	0.123813174487926	0.355962876652787
Sex	MGB036	M	0.18398421156301	0.124399273126795	18	18	0.161291302910342	0.421263540050324
Type	MGB053	Mucosal	-0.284086214909182	0.187450403777513	18	10	0.170947523498682	0.421263540050324
Sex	MGB006	M	0.226553328452467	0.155788956128201	18	18	0.167932431058032	0.421263540050324
Sequencing_Run	MGB024	Two	-0.25453405897338	0.161653208666273	18	17	0.160920163817776	0.421263540050324
Sex	MGB043	M	0.159028747838763	0.128471378543326	18	18	0.236128406595499	0.561822760520324
Sex	MGB033	M	0.166972316642972	0.142031345312036	18	18	0.259359764983525	0.586567311228563
Sex	MGB052	M	0.25101538906129	0.215484698918794	18	18	0.263530241276601	0.586567311228563
Sex	MGB029	M	0.147429629278564	0.134674102140631	18	18	0.292118774223961	0.629881106920416
Sequencing_Run	MGB041	Two	0.532453814097801	0.474535307396961	18	10	0.302603694623227	0.632716816030384
Sex	MGB035	M	0.113934931435347	0.126702626259566	18	18	0.383735771739642	0.77875788970692
Sex	MGB032	M	0.136298263760565	0.156051010616906	18	18	0.397168017956517	0.782988378257133
Type	MGB041	Mucosal	0.297014129689651	0.358119842119294	18	10	0.431113864433224	0.826301573497012
Sex	MGB040	M	0.217762555109006	0.302846500986513	18	18	0.483938636490486	0.902480159941716
Sex	MGB054	M	-0.261878225225008	0.371825220348081	18	4	0.503204937098597	0.913714227889557
Sex	MGB037	M	0.119493740195637	0.191761264006123	18	18	0.543212429109838	0.93704144021447
Type	MGB054	Mucosal	-0.146787647326322	0.227033177103666	18	4	0.536183342606316	0.93704144021447
Sequencing_Run	MGB015	Two	0.0913617407713386	0.179061478166323	18	18	0.625463824444108	0.985799099881339
Sex	MGB015	M	0.0754738746468737	0.171361531684327	18	18	0.672052976580339	0.985799099881339
Sequencing_Run	MGB033	Two	-0.0277555773201449	0.147293537876887	18	18	0.853238141848391	0.985799099881339
Sequencing_Run	MGB055	Two	-0.0280601198342832	0.133040880160971	18	18	0.835993870297633	0.985799099881339
Sex	MGB055	M	-0.0247657965384026	0.128287876461722	18	18	0.849693486170141	0.985799099881339
Sequencing_Run	MGB034	Two	-0.186421366516149	0.409434861853402	18	9	0.667006693353959	0.985799099881339
Sequencing_Run	MGB035	Two	-0.0377963974044732	0.131396897206485	18	18	0.777828317259506	0.985799099881339
Sequencing_Run	MGB052	Two	-0.0575513747542027	0.223468302664844	18	18	0.800511007715538	0.985799099881339
Sequencing_Run	MGB031	Two	-0.0595489056920607	0.172216585982078	18	18	0.734649638125874	0.985799099881339
Sequencing_Run	MGB053	Two	-0.125991015190542	0.388328473436746	18	10	0.755508280458371	0.985799099881339
Sex	MGB053	M	0.117107864247351	0.367808439200922	18	10	0.759494979111642	0.985799099881339
Sequencing_Run	MGB054	Two	-0.0656019837693319	0.390781116198672	18	4	0.87150355206901	0.985799099881339
Sequencing_Run	MGB005	Two	0.0281786177008341	0.156814264344659	18	18	0.859967516104526	0.985799099881339
Sex	MGB049	M	-0.0391954862739776	0.156339264774725	18	12	0.805681955965921	0.985799099881339
Sequencing_Run	MGB006	Two	-0.0488932452442506	0.16156086151164	18	18	0.766621229286424	0.985799099881339
Sex	MGB007	M	0.0546713398172589	0.137170182093671	18	18	0.696225598704772	0.985799099881339
Sequencing_Run	MGB022	Two	-0.090093297754077	0.204484325726501	18	18	0.666238198531952	0.985799099881339
Sex	MGB022	M	-0.0335701446233315	0.197178941430783	18	18	0.867247670325769	0.985799099881339
Sequencing_Run	MGB047	Two	0.0430307031872257	0.201052309439189	18	18	0.836921749138402	0.985799099881339
Sequencing_Run	MGB040	Two	-0.128699147319869	0.314066817194047	18	18	0.688166676960332	0.985799099881339
Sex	MGB041	M	-0.196704833588377	0.455258379917993	18	10	0.6790966788935	0.985799099881339
Sequencing_Run	MGB037	Two	-0.00883288179457483	0.198865925976779	18	18	0.965199904845229	0.997992437271578
Sequencing_Run	MGB036	Two	0.000330442280731765	0.129008205955548	18	18	0.997992437271578	0.997992437271578
Sequencing_Run	MGB032	Two	-0.00510705195744075	0.161832624992252	18	18	0.975270329537515	0.997992437271578
