metadata	feature	value	coef	stderr	N	N.not.0	pval	qval
Type	MGB035	Mucosal	-0.521960952852837	0.0740871068593629	54	54	1.17203042643948e-08	1.40643651172738e-06
Type	MGB036	Mucosal	-0.515815376946632	0.0833183262041413	54	54	2.05042805506566e-07	1.13667616830066e-05
Type	MGB043	Mucosal	-0.551004157245159	0.0903480656414835	54	54	2.84169042075166e-07	1.13667616830066e-05
Type	MGB029	Mucosal	-0.487892918527192	0.0834369480395134	54	54	6.56827321144334e-07	1.970481963433e-05
Type	MGB033	Mucosal	-0.561150630383078	0.0984970433409841	54	54	1.03696822443457e-06	2.48872373864297e-05
Type	MGB031	Mucosal	-0.528748821775186	0.110144841030306	54	54	2.0071134304409e-05	0.00040142268608818
Type	MGB034	Mucosal	-0.786128108238356	0.16816767822435	54	53	3.05870625684805e-05	0.000524349644031094
Type	MGB037	Mucosal	-0.408148262138427	0.0986921632280186	54	54	0.000161222527560938	0.00241833791341408
Type	MGB024	Mucosal	-0.33702176915099	0.0908143616448196	54	54	0.000576501097073122	0.00768668129430829
Type	MGB041	Mucosal	-0.725928143307431	0.20277690863639	54	9	0.000878020660706128	0.0105362479284735
Type	MGB006	Mucosal	-0.331599274619896	0.0979264630243698	54	54	0.00153044896648308	0.0166958069070881
Type	MGB047	Mucosal	-0.310282017145429	0.0947657552653498	54	54	0.00207991650322974	0.0207991650322974
Type	MGB005	Mucosal	-0.207523159142261	0.078778997807173	54	54	0.0116278001629611	0.107333539965794
Type	MGB055	Mucosal	-0.239486775528776	0.0956193700637189	54	54	0.0161037854734834	0.128830283787867
Site	MGB034	Ileum	0.491201648546389	0.195220657405906	54	53	0.0158718162343714	0.128830283787867
Type	MGB007	Mucosal	-0.207659841983032	0.084935799845987	54	54	0.0186362275574912	0.139771706681184
Type	MGB022	Mucosal	-0.212695291677411	0.0899503623483691	54	54	0.0224430525112037	0.158421547137908
Type	MGB032	Mucosal	-0.18747130277959	0.0813294844746153	54	54	0.0260284099204004	0.173522732802669
