	observed_otus
Mouse9A-DTT98	311
Mouse5A-DTT29	116
Mouse5A-FP28	96
Mouse6A-DTT35	166
Mouse1B-DTT15	269
Mouse1B-DTT18	211
Mouse10A-DTT109	412
Mouse9A-DTT100	151
Mouse10A-FP110	234
Mouse9A-DTT101	156
Mouse3A-FP16	135
Mouse5A-FP26	224
Mouse7A-FP40	196
Mouse1A-FP05	152
Mouse6A-FP32	299
Mouse10A-FP109	224
Mouse3A-FP17	159
Mouse10A-DTT110	249
Mouse9A-DTT99	278
Mouse9A-DTT97	313
Mouse7A-FP38	270
Mouse1A-FP02	270
Mouse5A-DTT27	265
Mouse10A-FP111	258
Mouse8A-DTT90	250
Mouse2A-FP11	124
Mouse3A-FP18	169
Mouse4A-DTT19	275
Mouse5A-DTT30	137
Mouse5A-DTT28	248
Mouse9A-FP97	261
Mouse9A-FP98	250
Mouse6A-FP31	283
Mouse10A-DTT111	248
Mouse4A-FP22	49
Mouse1A-FP03	227
Mouse10A-DTT113	163
Mouse4A-FP23	60
Mouse1A-FP01	277
Mouse6A-FP35	189
Mouse7A-DTT38	274
Mouse7A-DTT41	113
Mouse4A-DTT22	71
Mouse8A-FP87	267
Mouse2A-FP07	253
Mouse3A-FP13	238
Mouse9A-DTT102	193
Mouse10A-DTT112	217
Mouse1A-FP06	102
Mouse8A-FP85	260
Mouse6A-DTT31	314
Mouse7A-DTT42	174
Mouse1B-DTT16	156
Mouse1A-FP04	129
Mouse10A-DTT114	279
Mouse2A-FP12	129
Mouse2A-FP10	118
Mouse7A-FP42	132
Mouse7A-FP41	143
Mouse10A-FP113	135
Mouse9A-FP102	209
Mouse1B-DTT14	295
Mouse8A-DTT85	322
Mouse3A-FP15	273
Mouse8A-DTT86	280
Mouse9A-FP101	173
Mouse10A-FP112	238
Mouse4A-FP20	283
Mouse1B-DTT13	321
Mouse6A-DTT34	88
Mouse5A-FP29	243
Mouse6A-FP34	145
Mouse6A-FP36	118
Mouse2A-FP09	298
Mouse5A-DTT26	275
Mouse5A-FP25	169
Mouse5A-FP30	121
Mouse7A-FP39	292
Mouse4A-FP24	76
Mouse4A-DTT21	239
Mouse4A-DTT24	208
Mouse1B-DTT17	221
Mouse8A-FP90	129
Mouse10A-FP114	197
Mouse3A-FP14	232
Mouse4A-FP21	292
Mouse8A-FP86	258
Mouse8A-DTT88	180
Mouse9A-FP99	275
Mouse2A-FP08	286
Mouse5A-DTT25	255
Mouse7A-DTT39	288
Mouse8A-DTT89	145
Mouse4A-DTT20	252
Mouse6A-DTT32	280
Mouse6A-DTT33	261
Mouse6A-DTT36	121
Mouse4A-DTT23	123
Mouse7A-FP37	225
Mouse7A-DTT37	257
Mouse6A-FP33	304
Mouse4A-FP19	292
Mouse8A-FP89	207
Mouse8A-DTT87	252
Mouse7A-DTT40	203
Mouse9A-FP100	144
Mouse5A-FP27	89
Mouse8A-FP88	135
