feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Deferribacterota	Type	Mucosal	2.19610272807468	0.338896802054545	54	32	6.55665041188637e-08	2.62266016475455e-06
k__Bacteria.p__Actinobacteriota	Type	Mucosal	-1.55305144054331	0.268569961741469	54	8	6.57503599096535e-07	1.31500719819307e-05
k__Bacteria.p__Proteobacteria	Type	Mucosal	-0.863450696785581	0.156004056861277	54	32	1.79630493978038e-06	2.3950732530405e-05
k__Bacteria.p__Bacteroidota	Type	Mucosal	-0.532616212432972	0.138014402046115	54	54	0.000371144836845813	0.00371144836845813
k__Bacteria.p__Desulfobacterota	Site	Cecum	0.666162610447151	0.191998392037384	54	9	0.00123645618159257	0.00989164945274059
k__Bacteria.p__Firmicutes	Type	Mucosal	-0.419165834399489	0.128827104334029	54	54	0.00208952727106393	0.0139301818070929
k__Bacteria.p__Cyanobacteria	Type	Mucosal	0.702986472236912	0.261470428773842	54	0	0.0102556207915982	0.0586035473805614
k__Bacteria.p__Verrucomicrobiota	Type	Mucosal	0.811289347924558	0.339300034474194	54	2	0.0212327246239137	0.106163623119568
k__Bacteria.p__Firmicutes	Site	Proximal_Colon	0.357643621448941	0.156003627014204	54	54	0.0263003153535183	0.113773631952273
k__Bacteria.p__Desulfobacterota	Site	Proximal_Colon	0.428087898275311	0.191998392037384	54	9	0.0312877487868751	0.113773631952273
k__Bacteria.p__Desulfobacterota	Type	Mucosal	-0.363722542603988	0.163144157424465	54	9	0.0309770469457143	0.113773631952273
k__Bacteria.p__Bacteroidota	Site	Cecum	-0.320086549000064	0.16247372544799	54	54	0.0555895865525087	0.181704274119779
k__Bacteria.p__Firmicutes	Sex	M	-0.262473730074989	0.143024669281116	54	54	0.0726817096479116	0.181704274119779
k__Bacteria.p__Actinobacteriota	Sequencing_Run	Two	-0.910142304061394	0.422799002288939	54	8	0.0669230388747415	0.181704274119779
k__Bacteria.p__Actinobacteriota	Sex	M	0.846404270945322	0.403334373590086	54	8	0.070438007151375	0.181704274119779
k__Bacteria.p__Deferribacterota	Site	Proximal_Colon	-0.754318726168421	0.40250786809825	54	32	0.0681500330538698	0.181704274119779
k__Bacteria.p__Bacteroidota	Sex	M	-0.439240330710059	0.268613556091727	54	54	0.145142810051695	0.341512494239282
k__Bacteria.p__Firmicutes	Sequencing_Run	Two	0.186735341008228	0.148323664018002	54	54	0.214128906780603	0.468417581371878
k__Bacteria.p__Deferribacterota	Sex	M	-0.717025433063861	0.531215023364272	54	32	0.222498351151642	0.468417581371878
k__Bacteria.p__Cyanobacteria	Site	Cecum	-0.365570132906099	0.304138693901011	54	0	0.236316297483994	0.472632594967988
k__Bacteria.p__Verrucomicrobiota	Site	Proximal_Colon	-0.447061963741285	0.399288545505119	54	2	0.269479003360134	0.513293339733588
k__Bacteria.p__Actinobacteriota	Site	Cecum	0.32025401954346	0.319643282946458	54	8	0.322157827256098	0.542139557805056
k__Bacteria.p__Verrucomicrobiota	Site	Cecum	-0.397605334289864	0.399288545505119	54	2	0.325283734683034	0.542139557805056
k__Bacteria.p__Desulfobacterota	Sequencing_Run	Two	-0.365413600584913	0.338216801702512	54	9	0.31630758413273	0.542139557805056
k__Bacteria.p__Verrucomicrobiota	Sex	M	0.660382007952929	0.667263163216321	54	2	0.357938829150337	0.57270212664054
k__Bacteria.p__Desulfobacterota	Sex	M	0.292659993619161	0.320339796629612	54	9	0.390538179499622	0.57857508074018
k__Bacteria.p__Cyanobacteria	Site	Proximal_Colon	0.265263531872808	0.304138693901011	54	0	0.388226669202212	0.57857508074018
k__Bacteria.p__Firmicutes	Site	Cecum	0.128554381853288	0.156003627014204	54	54	0.413988617849573	0.591412311213676
k__Bacteria.p__Verrucomicrobiota	Sequencing_Run	Two	0.567977849988576	0.704524886473717	54	2	0.449999021538173	0.59999869538423
k__Bacteria.p__Proteobacteria	Sex	M	-0.328917741162095	0.406185959686865	54	32	0.445527000807541	0.59999869538423
k__Bacteria.p__Bacteroidota	Site	Proximal_Colon	0.0986333324260438	0.16247372544799	54	54	0.547140948560695	0.683926185700868
k__Bacteria.p__Proteobacteria	Site	Cecum	-0.115246125628554	0.182176972513126	54	32	0.530528050195394	0.683926185700868
k__Bacteria.p__Bacteroidota	Sequencing_Run	Two	0.146232297762039	0.28354807281032	54	54	0.622278247871571	0.711175140424653
k__Bacteria.p__Proteobacteria	Site	Proximal_Colon	0.0921954197600574	0.182176972513126	54	32	0.615532315211268	0.711175140424653
k__Bacteria.p__Deferribacterota	Sequencing_Run	Two	0.313703437441507	0.55758275109528	54	32	0.593768724413131	0.711175140424653
k__Bacteria.p__Proteobacteria	Sequencing_Run	Two	-0.146618088431853	0.431018459754894	54	32	0.744292241905495	0.826991379894994
k__Bacteria.p__Cyanobacteria	Sequencing_Run	Two	0.150497369605929	0.906087263477074	54	0	0.873025034505752	0.898055405570008
k__Bacteria.p__Cyanobacteria	Sex	M	0.138461502574525	0.851684498005307	54	0	0.875604020430757	0.898055405570008
k__Bacteria.p__Deferribacterota	Site	Cecum	0.0835371299806805	0.40250786809825	54	32	0.836626891151689	0.898055405570008
k__Bacteria.p__Actinobacteriota	Site	Proximal_Colon	-0.0404431138734574	0.319643282946458	54	8	0.899923063393332	0.899923063393332
