feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
MF0028	Site	Jejunum	-1.26107883896875	0.0920500477637608	262	261	5.14060285350772e-31	2.71423830665207e-28
MF0077	Site	Ileum	1.86129018644306	0.13550786555548	262	46	3.89105370528651e-31	2.71423830665207e-28
MF0028	Site	Ileum	-1.19193519147737	0.0920500477637608	262	261	1.22777629605565e-28	4.32177256211588e-26
MF0069	Site	Ileum	2.77770784175642	0.217946218180782	262	37	5.3333871002185e-28	1.40801419445768e-25
MF0077	Site	Jejunum	1.71902060175453	0.13550786555548	262	46	8.1785538368648e-28	1.72731057034585e-25
MF0028	Site	Duodenum	-1.16516033844363	0.0926264145122528	262	261	1.735451685856e-27	3.05439496710655e-25
MF0069	Site	Jejunum	2.6947647976765	0.217946218180783	262	37	8.41027352166887e-27	1.26874983412605e-24
MF0095	Site	Jejunum	-1.27357758585166	0.103268365920442	262	249	1.06518848200095e-26	1.40604879624126e-24
MF0101	Site	Jejunum	-1.73307404928845	0.143145447669589	262	204	5.30127980445918e-26	6.22016830389877e-24
MF0095	Site	Duodenum	-1.24201644794942	0.103923016994936	262	249	1.62085945768385e-25	1.71162758731414e-23
MF0006	Site	Ileum	-1.16958581731309	0.0999239900223594	262	262	9.79373399849838e-25	9.40198463855845e-23
MF0101	Site	Duodenum	-1.67384141354777	0.144055851132487	262	204	1.72066583624497e-24	1.51418593589557e-22
MF0006	Site	Jejunum	-1.16031838451957	0.0999239900223594	262	262	1.90161001238987e-24	1.54469244083362e-22
MF0095	Site	Ileum	-1.18596822183426	0.103268365920442	262	249	4.72053991215858e-24	3.56063581945676e-22
MF0056	Site	Ileum	-1.5724342022227	0.137817777422853	262	226	7.90863992394437e-24	5.56768250645683e-22
MF0019	Site	Duodenum	-0.948256263898142	0.0887439952914293	262	253	4.3925120590055e-22	2.89905795894363e-20
MF0088	Site	Jejunum	-1.78761836178743	0.165872349719045	262	171	6.95282936804034e-22	4.31893400744153e-20
MF0103	Site	Ileum	-1.84377076258422	0.171936049618336	262	248	1.01776362714541e-21	5.97087994591974e-20
MF0019	Site	Jejunum	-0.926610741546907	0.0882068066743592	262	253	1.64009430951106e-21	8.71716528336423e-20
MF0041	Site	Duodenum	1.21270192034454	0.11387882582461	262	128	1.65097827336444e-21	8.71716528336423e-20
MF0079	Site	Ileum	2.57796763581271	0.242809327261906	262	40	2.16257348281046e-21	1.08746552278469e-19
MF0056	Site	Jejunum	-1.45614976075398	0.137817777422853	262	226	3.0555981433435e-21	1.46668710880488e-19
MF0069	Site	Duodenum	2.30824112262658	0.219367247956384	262	37	4.12090251152354e-21	1.89203176181255e-19
MF0009	Site	Ileum	-0.946053794013023	0.0909426073087525	262	262	9.68525149561494e-21	4.26151065807057e-19
MF0070	Site	Ileum	-0.919360556720093	0.0899070374293999	262	253	1.22800625747407e-20	5.18709843157046e-19
MF0079	Site	Jejunum	2.51197237361103	0.242809327261906	262	40	1.43583543215463e-20	5.83170083213573e-19
MF0006	Site	Duodenum	-1.03903200967077	0.100575633213101	262	262	1.5709899163491e-20	6.14431611727649e-19
MF0072	Site	Jejunum	1.41326779150029	0.137202211648056	262	126	1.99849884268279e-20	7.53719563526079e-19
MF0072	Site	Duodenum	1.41566068187291	0.138050771099839	262	126	2.68865827610634e-20	9.77246362252956e-19
MF0052	Site	Ileum	2.54547221766555	0.248347152560824	262	25	2.77626807458226e-20	9.77246362252956e-19
MF0002	Site	Duodenum	-0.870170129851962	0.0852910936232645	262	260	3.80235222740968e-20	1.29525288778859e-18
MF0084	Site	Ileum	2.54540655753462	0.251569819259567	262	25	6.88621507572757e-20	2.2724509749901e-18
MF0047	Site	Jejunum	-0.656569290890707	0.0650197355442577	262	262	7.86579472353859e-20	2.51705431153235e-18
MF0047	Site	Ileum	-0.653070873595252	0.0650197355442577	262	262	1.13897706158181e-19	3.53752875597172e-18
MF0066	Site	Ileum	-0.830660529687179	0.0841576020619994	262	257	1.56576966881582e-19	4.72415077219859e-18
MF0001	Site	Ileum	-1.47328177770588	0.148679513462359	262	250	2.87859864922387e-19	8.44388937105669e-18
MF0082	Site	Ileum	2.49014153426741	0.252244264025139	262	25	3.73285788503648e-19	1.0653778179996e-17
MF0070	Site	Jejunum	-0.873641954539042	0.0899070374293999	262	253	4.63208719670872e-19	1.28723265255905e-17
MF0041	Site	Jejunum	1.11134984599492	0.113189275790254	262	128	5.29621287680925e-19	1.43405148664374e-17
MF0103	Site	Jejunum	-1.68320738765747	0.171936049618336	262	248	6.50882306659421e-19	1.71832928958087e-17
MF0019	Site	Ileum	-0.844629047986769	0.0882068066743592	262	253	1.26589222101381e-18	3.26044435461118e-17
MF0009	Site	Jejunum	-0.872695548837974	0.0909426073087525	262	262	2.44636964501593e-18	6.15087225032577e-17
MF0063	Site	Ileum	-0.736130808870393	0.0769416426574356	262	258	2.97537866564402e-18	7.30697644400019e-17
MF0063	Site	Jejunum	-0.727531963299801	0.0769416426574356	262	258	6.31691788844434e-18	1.51606029322664e-16
MF0021	Site	Ileum	-0.707921507788067	0.0755625656374135	262	261	1.11052840679179e-17	2.60603999460474e-16
MF0035	Site	Ileum	-0.67940186185004	0.0735709310778925	262	261	1.35602851965943e-17	3.08123982475677e-16
MF0041	Site	Ileum	1.05686738953939	0.113189275790254	262	128	1.37138514927621e-17	3.08123982475677e-16
