feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
MF0080	Sequencing_Run	April_2017	5.44903904123036	0.635026447096019	269	1	1.07233183405652e-15	1.13238241676369e-12
MF0069	Sequencing_Run	April_2017	2.30026590235149	0.324029793534239	269	115	1.37198210207892e-11	7.24406549897668e-09
MF0044	Sequencing_Run	April_2017	-0.677896552386573	0.10031002673691	269	269	1.00200826980337e-10	3.52706910970786e-08
MF0059	Sequencing_Run	April_2017	1.97303115633686	0.299014939980845	269	127	2.55060386102207e-10	6.73359419309827e-08
MF0037	Sequencing_Run	April_2017	4.44771230914935	0.685262514660275	269	12	4.72606392659208e-10	9.12052717380384e-08
MF0052	Sequencing_Run	April_2017	2.06968893299097	0.319508285361948	269	114	5.18211771238854e-10	9.12052717380384e-08
MF0067	Sequencing_Run	April_2017	-0.550639878218192	0.0888901240622665	269	269	2.51344793077858e-09	3.79171573557454e-07
MF0006	Sequencing_Run	April_2017	-0.803107434223394	0.130709937387816	269	269	3.21835235031447e-09	4.2482251024151e-07
MF0073	Sequencing_Run	April_2017	-0.57553726903527	0.0968823930657046	269	269	9.72925820448586e-09	1.14156629599301e-06
MF0009	Sequencing_Run	April_2017	-0.745534399636932	0.130816712941632	269	269	3.46851287762445e-08	3.66274959877142e-06
MF0015	Site	Duodenum	0.484980067023783	0.0917880567421083	269	248	2.78234062416573e-07	2.6710469991991e-05
MF0082	Sequencing_Run	April_2017	1.69668474593416	0.322101525862371	269	114	3.053954499552e-07	2.68747995960576e-05
MF0068	Sequencing_Run	April_2017	-0.471307381693691	0.0907775686216399	269	269	4.535898081673e-07	3.68454490326668e-05
MF0077	Site	Ileum	0.646710600492869	0.124969750935989	269	140	5.16768368702321e-07	3.89790998106894e-05
MF0076	Sequencing_Run	April_2017	0.962644034298778	0.195478060333673	269	115	1.5692850302858e-06	0.00011047766613212
MF0011	Sequencing_Run	April_2017	-0.400209542343613	0.0825915044907742	269	269	2.27654259384312e-06	0.000150251811193646
MF0006	Site	Ileum	-0.398968400748378	0.0826362906516134	269	269	2.59698096796675e-06	0.000153053566757146
