df,feature,Phylum,Order,Family,Genus,annotation
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella_9,k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella_9,Bacteroidota,Bacteroidales (o),Prevotellaceae (f),Prevotella_9,Prevotella_9
k__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Peptostreptococcaceae.g__Romboutsia,k__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Peptostreptococcaceae.g__Romboutsia,Firmicutes,Peptostreptococcales.Tissierellales (o),Peptostreptococcaceae (f),Romboutsia,Romboutsia
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Hungatella,k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Hungatella,Firmicutes,Lachnospirales (o),Lachnospiraceae (f),Hungatella,Hungatella
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnoclostridium,k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnoclostridium,Firmicutes,Lachnospirales (o),Lachnospiraceae (f),Lachnoclostridium,Lachnoclostridium
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales.f__Burkholderiaceae.g__Burkholderia.Caballeronia.Paraburkholderia,k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales.f__Burkholderiaceae.g__Burkholderia.Caballeronia.Paraburkholderia,Proteobacteria,Burkholderiales (o),Burkholderiaceae (f),Burkholderia.Caballeronia.Paraburkholderia,Burkholderia.Caballeronia.Paraburkholderia
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Eisenbergiella,k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Eisenbergiella,Firmicutes,Lachnospirales (o),Lachnospiraceae (f),Eisenbergiella,Eisenbergiella
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Enterococcaceae.g__Enterococcus,k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Enterococcaceae.g__Enterococcus,Firmicutes,Lactobacillales (o),Enterococcaceae (f),Enterococcus,Enterococcus
k__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae.g__Adlercreutzia,k__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae.g__Adlercreutzia,Actinobacteriota,Coriobacteriales (o),Eggerthellaceae (f),Adlercreutzia,Adlercreutzia
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__.Eubacterium..hallii.group,k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__.Eubacterium..hallii.group,Firmicutes,Lachnospirales (o),Lachnospiraceae (f),.Eubacterium..hallii.group,.Eubacterium..hallii.group
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus,k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus,Firmicutes,Lactobacillales (o),Lactobacillaceae (f),Lactobacillus,Lactobacillus
k__Bacteria.p__Firmicutes.c__Bacilli.o__Staphylococcales.f__Staphylococcaceae.g__Staphylococcus,k__Bacteria.p__Firmicutes.c__Bacilli.o__Staphylococcales.f__Staphylococcaceae.g__Staphylococcus,Firmicutes,Staphylococcales (o),Staphylococcaceae (f),Staphylococcus,Staphylococcus
